Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with De'Andre Hunter,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-321,ATL,HOU,1,32.13333333333333,10.0,15.0,.667,1.0,3.0,.333,1,2.0,.500,1.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,22.0,16.9,+12,12.0,9.0,0.75,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,10.0,103.0,5.15,16.5,115.20000000000002,5.760000000000001,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+10),W (+10)
2.0,2.0,2022-10-21,24-323,ATL,ORL,1,32.53333333333333,5.0,12.0,.417,1.0,3.0,.333,1,1.0,1.000,0.0,6.0,6.0,1.0,0.0,0.0,1.0,3.0,12.0,5.9,+6,9.0,4.0,0.4444444444444444,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,5.0,88.0,4.4,5.500000000000001,96.10000000000002,4.8050000000000015,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+10),W (+10)
3.0,3.0,2022-10-23,24-325,ATL,CHO,1,31.216666666666665,4.0,11.0,.364,1.0,5.0,.200,1,2.0,.500,2.0,3.0,5.0,4.0,1.0,0.0,1.0,3.0,10.0,7.4,-2,6.0,3.0,0.5,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,6.0,70.0,3.5,6.999999999999999,90.70000000000002,4.535000000000001,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,L (-17),L (-17)
4.0,4.0,2022-10-26,24-328,ATL,DET,1,27.066666666666663,7.0,10.0,.700,2.0,3.0,.667,1,3.0,.333,0.0,3.0,3.0,1.0,0.0,0.0,2.0,6.0,17.0,9.2,+3,7.0,5.0,0.7142857142857143,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,6.0,76.0,3.8,8.799999999999999,92.29999999999998,4.614999999999999,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+5),W (+5)
5.0,5.0,2022-10-28,24-330,ATL,DET,1,17.533333333333335,5.0,10.0,.500,2.0,5.0,.400,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,12.0,5.7,+8,5.0,3.0,0.6,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,4.0,110.0,5.5,5.699999999999999,133.4,6.67,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+24),W (+24)
6.0,6.0,2022-10-29,24-331,ATL,MIL,1,31.416666666666668,4.0,10.0,.400,2.0,4.0,.500,4,4.0,1.000,0.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,14.0,6.9,-5,6.0,2.0,0.3333333333333333,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,3.0,56.0,2.8,5.300000000000002,72.3,3.615,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,L (-8),L (-8)
7.0,7.0,2022-10-31,24-333,ATL,TOR,1,22.33333333333333,4.0,10.0,.400,3.0,4.0,.750,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,11.0,3.6,-21,6.0,1.0,0.1666666666666666,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,2.0,57.0,2.85,3.6,73.60000000000001,3.6800000000000006,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,L (-30),L (-30)
8.0,8.0,2022-11-02,24-335,ATL,NYK,1,35.15,9.0,21.0,.429,2.0,5.0,.400,1,3.0,.333,1.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,21.0,11.2,+22,16.0,7.0,0.4375,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,3.0,82.0,4.1,10.800000000000002,96.5,4.825,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+13),W (+13)
9.0,9.0,2022-11-05,24-338,ATL,NOP,1,39.31666666666667,6.0,13.0,.462,2.0,6.0,.333,1,2.0,.500,2.0,4.0,6.0,1.0,0.0,1.0,2.0,4.0,15.0,8.3,+12,7.0,4.0,0.5714285714285714,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,6.0,84.0,4.2,7.899999999999995,105.4,5.2700000000000005,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+3),W (+3)
10.0,10.0,2022-11-07,24-340,ATL,MIL,1,23.916666666666668,3.0,9.0,.333,0.0,1.0,.000,4,5.0,.800,1.0,5.0,6.0,1.0,0.0,0.0,4.0,3.0,10.0,2.2,+1,8.0,3.0,0.375,50,57,41,53,60,2,27,56,6,60,31,66,61,17,13,21,63.0,72.0,54.0,65.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.7936507936507936,0.7916666666666666,0.7592592592592593,0.8153846153846154,0.8108108108108109,,1.0,0.75,0.8,0.6,0.8450704225352113,0.6739130434782609,0.825,0.8356164383561644,0.7391304347826086,0.8125,0.7241379310344828,67,20,6,8,39.0,54.0,77.0,0.2597402597402597,0.1538461538461538,0.1481481481481481,20,-1.0,83.0,4.15,0.5999999999999979,100.4,5.0200000000000005,11.5,2.5,-3.3,-1.9,-1.4,0.105962311,0.563,0.348,0.252,-0.7,1.4,W (+19),W (+19)
