Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Derrick Favors,Shared Games with Donovan Williams,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci
0,1,,2022-10-19,29-198,ATL,,HOU,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
1,2,,2022-10-21,29-200,ATL,,ORL,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
2,3,,2022-10-23,29-202,ATL,,CHO,L (-17),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
3,4,,2022-10-26,29-205,ATL,@,DET,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
4,5,1,2022-10-28,29-207,ATL,@,DET,W (+24),0,3.05,0.0,0.0,,0.0,0.0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,0,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
5,6,,2022-10-29,29-208,ATL,@,MIL,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
6,7,2,2022-10-31,29-210,ATL,@,TOR,L (-30),0,6.333333333333333,0.0,1.0,.000,0.0,1.0,.000,4,4,1.000,0,1,1,1,0,0,1,1,4,2.9,-6,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
7,8,3,2022-11-02,29-212,ATL,@,NYK,W (+13),0,1.1166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
8,9,,2022-11-05,29-215,ATL,,NOP,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
9,10,4,2022-11-07,29-217,ATL,,MIL,W (+19),0,3.85,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-4,1.0,0.0,0.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
