Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-075,MIN,,OKC,W (+7),1,31:45,4.0,17.0,.235,1.0,7.0,.143,2,4.0,.500,1.0,7.0,8.0,7.0,0.0,0.0,2.0,5.0,11.0,3.6,+8,10.0,3.0,0.3,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,3.0,70.0,3.684210526315789,2.799999999999999,82.30000000000001,4.331578947368421
1,2,2,2022-10-21,21-077,MIN,,UTA,L (-6),1,41:16,12.0,23.0,.522,3.0,9.0,.333,3,5.0,.600,1.0,4.0,5.0,2.0,0.0,1.0,5.0,0.0,30.0,16.9,-6,14.0,9.0,0.6428571428571429,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,5.0,61.0,3.210526315789474,15.700000000000006,61.3,3.2263157894736842
2,3,3,2022-10-23,21-079,MIN,@,OKC,W (+10),1,33:32,13.0,19.0,.684,3.0,7.0,.429,1,3.0,.333,2.0,9.0,11.0,3.0,1.0,0.0,4.0,4.0,30.0,22.7,+22,12.0,10.0,0.8333333333333334,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,19.0,62.0,3.263157894736842,22.300000000000008,68.09999999999998,3.5842105263157884
3,4,4,2022-10-24,21-080,MIN,,SAS,L (-9),1,35:22,3.0,15.0,.200,1.0,8.0,.125,2,3.0,.667,0.0,10.0,10.0,2.0,0.0,0.0,3.0,1.0,9.0,0.3,-14,7.0,2.0,0.2857142857142857,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,0.0,65.0,3.421052631578948,-0.5000000000000004,68.39999999999998,3.5999999999999988
4,5,5,2022-10-26,21-082,MIN,,SAS,W (+12),1,38:26,12.0,21.0,.571,7.0,12.0,.583,3,4.0,.750,0.0,3.0,3.0,9.0,2.0,0.0,5.0,3.0,34.0,26.7,+16,9.0,5.0,0.5555555555555556,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,18.0,84.0,4.421052631578948,25.5,88.50000000000001,4.657894736842106
5,6,6,2022-10-28,21-084,MIN,,LAL,W (+9),1,38:11,11.0,22.0,.500,3.0,8.0,.375,4,6.0,.667,0.0,4.0,4.0,2.0,1.0,0.0,2.0,4.0,29.0,17.2,+4,14.0,8.0,0.5714285714285714,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,6.0,78.0,4.105263157894737,15.6,84.8,4.463157894736842
6,7,7,2022-10-30,21-086,MIN,@,SAS,L (-9),1,36:18,7.0,18.0,.389,1.0,4.0,.250,3,3.0,1.000,0.0,2.0,2.0,6.0,2.0,1.0,1.0,4.0,18.0,13.1,-3,14.0,6.0,0.4285714285714285,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,7.0,57.0,3.0,11.9,67.0,3.526315789473684
7,8,8,2022-11-01,21-088,MIN,@,PHO,L (-9),1,39:53,8.0,21.0,.381,5.0,10.0,.500,3,5.0,.600,0.0,6.0,6.0,1.0,3.0,1.0,3.0,5.0,24.0,12.9,-12,11.0,3.0,0.2727272727272727,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,6.0,65.0,3.421052631578948,11.700000000000006,72.2,3.8000000000000003
8,9,9,2022-11-04,21-091,MIN,,MIL,L (-13),1,37:00,10.0,19.0,.526,3.0,9.0,.333,1,2.0,.500,1.0,2.0,3.0,3.0,1.0,0.0,3.0,4.0,24.0,14.1,-16,10.0,7.0,0.7,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,7.0,58.0,3.0526315789473686,13.7,57.70000000000001,3.0368421052631582
9,10,10,2022-11-05,21-092,MIN,,HOU,W (+12),1,32:44,7.0,13.0,.538,2.0,5.0,.400,3,3.0,1.000,0.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,19.0,12.6,+20,8.0,5.0,0.625,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,6.0,93.0,4.894736842105263,11.4,100.69999999999996,5.299999999999998
