Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-054,MIN,,OKC,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,73.0,4.055555555555555,0.0,85.1,4.727777777777778
1,2,1,2022-10-21,23-056,MIN,,UTA,L (-6),0,9:19,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.2,-1,2.0,0.0,0.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,2.0,64.0,3.555555555555556,0.1999999999999999,76.8,4.266666666666667
2,3,2,2022-10-23,23-058,MIN,@,OKC,W (+10),0,13:04,5.0,7.0,.714,2.0,4.0,.500,2,4.0,.500,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,14.0,11.1,+2,3.0,3.0,1.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,7.0,74.0,4.111111111111111,10.3,80.1,4.449999999999999
3,4,3,2022-10-24,23-059,MIN,,SAS,L (-9),0,12:43,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,4.3,-1,6.0,3.0,0.5,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,3.0,62.0,3.4444444444444446,4.3,63.59999999999999,3.5333333333333328
4,5,4,2022-10-26,23-061,MIN,,SAS,W (+12),0,5:13,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,+3,1.0,1.0,1.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,5.0,97.0,5.388888888888889,4.0,110.0,6.111111111111111
5,6,,2022-10-28,23-063,MIN,,LAL,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,84.0,4.666666666666667,0.0,100.4,5.577777777777778
6,7,5,2022-10-30,23-065,MIN,@,SAS,L (-9),0,8:33,5.0,7.0,.714,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,10.1,+12,5.0,4.0,0.8,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,7.0,57.0,3.1666666666666665,10.1,68.8,3.822222222222222
7,8,6,2022-11-01,23-067,MIN,@,PHO,L (-9),0,15:46,5.0,6.0,.833,1.0,2.0,.500,2,2.0,1.000,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,12.7,+10,4.0,4.0,1.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,9.0,62.0,3.4444444444444446,11.9,72.00000000000001,4.000000000000001
8,9,7,2022-11-04,23-070,MIN,,MIL,L (-13),0,22:01,3.0,7.0,.429,0.0,3.0,.000,2,2.0,1.000,0.0,5.0,5.0,0.0,0.0,1.0,1.0,3.0,8.0,4.3,+1,4.0,3.0,0.75,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,4.0,61.0,3.388888888888889,3.499999999999999,67.9,3.7722222222222226
9,10,8,2022-11-05,23-071,MIN,,HOU,W (+12),0,13:15,4.0,7.0,.571,2.0,4.0,.500,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,1.0,5.0,6.0,11.0,1.5,+8,3.0,2.0,0.6666666666666666,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,1.0,98.0,5.444444444444445,1.0999999999999996,111.0,6.166666666666667
