Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,14,2022-11-30,24-204,TOR,@,NOP,L (-18),0,2:37,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,1.0,88.0,4.888888888888889,0.2999999999999999,89.99999999999999,4.999999999999999
22,22,,2022-12-02,24-206,TOR,@,BRK,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,44.0,2.4444444444444446,0.0,61.9,3.4388888888888887
23,23,15,2022-12-03,24-207,TOR,,ORL,W (+13),0,6:15,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.6,-13,1.0,1.0,1.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,2.0,84.0,4.666666666666667,2.6000000000000005,95.3,5.294444444444444
24,24,,2022-12-05,24-209,TOR,,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,58.0,3.2222222222222223,0.0,74.5,4.138888888888889
25,25,16,2022-12-07,24-211,TOR,,LAL,W (+13),0,4:51,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.3,-7,3.0,1.0,0.3333333333333333,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,2.0,83.0,4.611111111111111,3.3000000000000003,90.9,5.050000000000001
26,26,,2022-12-09,24-213,TOR,@,ORL,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,70.0,3.888888888888889,0.0,77.99999999999999,4.333333333333332
27,27,,2022-12-11,24-215,TOR,@,ORL,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,36.0,2.0,0.0,56.1,3.1166666666666667
28,28,,2022-12-14,24-218,TOR,,SAC,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,78.0,4.333333333333333,0.0,94.5,5.25
29,29,17,2022-12-16,24-220,TOR,,BRK,L (-3),0,28:17,5.0,11.0,.455,2.0,5.0,.400,1,2.0,.500,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,13.0,6.5,+3,6.0,3.0,0.5,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,1.0,60.0,3.333333333333333,6.1,76.2,4.233333333333333
30,30,18,2022-12-18,24-222,TOR,,GSW,L (-16),0,37:10,6.0,16.0,.375,4.0,8.0,.500,0,0.0,,4.0,2.0,6.0,2.0,1.0,0.0,0.0,1.0,16.0,12.6,-9,8.0,2.0,0.25,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,9.0,56.0,3.111111111111111,12.6,65.5,3.638888888888889
31,31,19,2022-12-19,24-223,TOR,@,PHI,L (-3),0,18:55,2.0,7.0,.286,1.0,4.0,.250,0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,5.0,2.5,-6,3.0,1.0,0.3333333333333333,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,2.0,63.0,3.5,2.5,70.4,3.9111111111111114
32,32,20,2022-12-21,24-225,TOR,@,NYK,W (+7),0,25:51,3.0,8.0,.375,2.0,5.0,.400,0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,5.7,+16,3.0,1.0,0.3333333333333333,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,3.0,65.0,3.611111111111111,5.699999999999999,83.1,4.616666666666666
33,33,21,2022-12-23,24-227,TOR,@,CLE,W (+11),0,22:48,3.0,7.0,.429,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,9.0,8.9,+1,1.0,0.0,0.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,9.0,98.0,5.444444444444445,8.9,100.8,5.6
34,34,22,2022-12-27,24-231,TOR,,LAC,L (-11),0,25:53,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,6.9,+5,3.0,2.0,0.6666666666666666,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,5.0,69.0,3.8333333333333335,6.900000000000001,84.0,4.666666666666667
35,35,23,2022-12-29,24-233,TOR,,MEM,L (-13),0,30:12,2.0,12.0,.167,1.0,7.0,.143,1,2.0,.500,2.0,6.0,8.0,5.0,0.0,0.0,0.0,2.0,6.0,3.9,+5,5.0,1.0,0.2,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,5.0,72.0,4.0,3.5000000000000018,85.90000000000002,4.772222222222223
36,36,24,2022-12-30,24-234,TOR,,PHO,W (+9),0,18:14,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,-2.6,-7,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,0.0,84.0,4.666666666666667,-2.6,107.59999999999998,5.977777777777777
37,37,25,2023-01-02,24-237,TOR,@,IND,L (-8),0,8:56,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.5,-18,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,-2.0,81.0,4.5,-2.5,92.70000000000002,5.150000000000001
38,38,26,2023-01-04,24-239,TOR,,MIL,L (-3),0,11:35,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.0,-6,1.0,0.0,0.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,1.0,50.0,2.7777777777777777,-2.0,66.79999999999998,3.7111111111111104
39,39,27,2023-01-06,24-241,TOR,,NYK,L (-4),0,3:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-9,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,1.0,90.0,5.0,0.7,95.2,5.288888888888889
40,40,28,2023-01-08,24-243,TOR,,POR,W (+12),0,12:47,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.6,+2,1.0,1.0,1.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,2.0,72.0,4.0,1.6000000000000003,88.19999999999999,4.8999999999999995
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,29,2023-01-10,24-245,TOR,,CHO,W (+12),0,18:10,1.0,7.0,.143,1.0,4.0,.250,1,2.0,.500,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,+9,3.0,0.0,0.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,0.0,103.0,5.722222222222222,0.6000000000000001,118.5,6.583333333333333
43,42,30,2023-01-12,24-247,TOR,,CHO,W (+10),0,13:30,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.6,+5,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,3.0,96.0,5.333333333333333,1.5999999999999994,117.90000000000002,6.550000000000001
44,43,31,2023-01-14,24-249,TOR,,ATL,L (-11),0,19:17,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,7.0,7.0,+2,3.0,2.0,0.6666666666666666,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,7.0,60.0,3.333333333333333,6.999999999999998,65.10000000000001,3.616666666666667
45,44,32,2023-01-16,24-251,TOR,@,NYK,W (+2),0,2:34,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,-1.0,91.0,5.055555555555555,-0.7,112.1,6.227777777777778
46,45,,2023-01-17,24-252,TOR,@,MIL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,85.0,4.722222222222222,0.0,103.1,5.727777777777778
47,46,,2023-01-19,24-254,TOR,@,MIN,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,80.0,4.444444444444445,0.0,96.8,5.377777777777777
48,47,33,2023-01-21,24-256,TOR,,BOS,L (-2),0,5:26,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-11,2.0,0.0,0.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,-1.0,98.0,5.444444444444445,-1.5,99.6,5.533333333333333
49,48,,2023-01-22,24-257,TOR,,NYK,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,87.0,4.833333333333333,0.0,106.5,5.916666666666667
50,49,,2023-01-25,24-260,TOR,@,SAC,W (+18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,95.0,5.277777777777778,0.0,105.4,5.855555555555556
