Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-07,24-181,TOR,@,CHI,L (-14),0,6:02,1.0,2.0,.500,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,-1,1.0,1.0,1.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,2.0,69.0,3.8333333333333335,3.2,71.9,3.994444444444445
11,12,,2022-11-09,24-183,TOR,,HOU,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,99.0,5.5,0.0,108.7,6.038888888888889
12,13,7,2022-11-11,24-185,TOR,@,OKC,L (-19),0,11:57,3.0,7.0,.429,3.0,4.0,.750,3,4.0,.750,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,12.0,5.7,-3,3.0,0.0,0.0,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,1.0,67.0,3.7222222222222223,4.499999999999999,87.20000000000002,4.844444444444445
13,14,8,2022-11-12,24-186,TOR,@,IND,L (-14),0,22:48,3.0,9.0,.333,1.0,5.0,.200,1,1.0,1.000,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,8.0,5.1,+10,4.0,2.0,0.5,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,3.0,53.0,2.9444444444444446,4.6999999999999975,67.99999999999999,3.777777777777777
14,15,9,2022-11-14,24-188,TOR,@,DET,W (+4),0,15:16,3.0,6.0,.500,2.0,4.0,.500,4,4.0,1.000,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,12.0,9.9,+8,2.0,1.0,0.5,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,7.0,108.0,6.0,8.299999999999999,100.6,5.588888888888889
15,16,,2022-11-16,24-190,TOR,,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,,81.0,4.5,0.0,86.9,4.827777777777778
16,17,10,2022-11-19,24-193,TOR,@,ATL,L (-2),0,28:13,7.0,12.0,.583,3.0,6.0,.500,0,0.0,,1.0,4.0,5.0,3.0,2.0,0.0,1.0,6.0,17.0,14.0,+9,6.0,4.0,0.6666666666666666,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,14.0,75.0,4.166666666666667,13.999999999999998,93.1,5.172222222222222
17,18,11,2022-11-23,24-197,TOR,,BRK,L (-14),1,30:04,3.0,12.0,.250,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,8.0,2.4,-19,9.0,1.0,0.1111111111111111,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,0.0,37.0,2.055555555555556,2.400000000000001,58.29999999999999,3.2388888888888885
18,19,12,2022-11-26,24-200,TOR,,DAL,W (+5),0,6:04,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7,+6,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,0.0,78.0,4.333333333333333,-0.7,77.0,4.277777777777778
19,20,13,2022-11-28,24-202,TOR,,CLE,W (+12),0,1:52,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,0.0,0.0,,50,44,23,43,40,20,7,33,3,14,41,5,45,32,9,48,34,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.6578947368421053,0.7586206896551724,0.7419354838709677,0.6231884057971014,0.6060606060606061,0.8,0.7777777777777778,0.7857142857142857,0.6,0.7,0.6119402985074627,0.625,0.6338028169014085,0.5818181818181818,1.0,0.6233766233766234,0.6296296296296297,14,72.0,69.0,0.1944444444444444,0.0,18,-1.0,83.0,4.611111111111111,-0.7,81.7,4.538888888888889
