Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,19,2022-12-16,28-258,TOR,,BRK,L (-3),1,37:13,7.0,15.0,.467,1.0,2.0,.500,2,2.0,1.000,3.0,4.0,7.0,5.0,1.0,0.0,3.0,4.0,17.0,12.5,-9,13.0,6.0,0.4615384615384615,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,10.0,51.0,2.833333333333333,11.699999999999998,70.60000000000001,3.9222222222222225
30,30,20,2022-12-18,28-260,TOR,,GSW,L (-16),1,36:58,9.0,20.0,.450,3.0,5.0,.600,6,7.0,.857,2.0,3.0,5.0,5.0,0.0,0.0,1.0,2.0,27.0,20.2,-17,15.0,6.0,0.4,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,9.0,56.0,3.111111111111111,17.799999999999997,60.3,3.3499999999999996
31,31,21,2022-12-19,28-261,TOR,@,PHI,L (-3),1,47:42,13.0,27.0,.481,3.0,8.0,.375,9,11.0,.818,0.0,15.0,15.0,6.0,1.0,0.0,5.0,2.0,38.0,27.4,+3,19.0,10.0,0.5263157894736842,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,17.0,48.0,2.6666666666666665,23.800000000000008,49.1,2.727777777777778
32,32,22,2022-12-21,28-263,TOR,@,NYK,W (+7),1,41:13,17.0,25.0,.680,2.0,6.0,.333,16,18.0,.889,3.0,6.0,9.0,7.0,1.0,0.0,1.0,2.0,52.0,48.5,+8,19.0,15.0,0.7894736842105263,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,25.0,43.0,2.388888888888889,42.1,46.7,2.5944444444444446
33,33,23,2022-12-23,28-265,TOR,@,CLE,W (+11),1,41:33,9.0,22.0,.409,2.0,5.0,.400,6,8.0,.750,2.0,5.0,7.0,9.0,2.0,1.0,5.0,4.0,26.0,18.7,+1,17.0,7.0,0.4117647058823529,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,10.0,97.0,5.388888888888889,16.3,93.4,5.188888888888889
34,34,24,2022-12-27,28-269,TOR,,LAC,L (-11),1,40:32,13.0,24.0,.542,0.0,4.0,.000,10,15.0,.667,2.0,7.0,9.0,5.0,1.0,1.0,2.0,2.0,36.0,28.3,-1,20.0,13.0,0.65,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,11.0,63.0,3.5,24.300000000000008,66.6,3.6999999999999997
35,35,25,2022-12-29,28-271,TOR,,MEM,L (-13),1,38:11,8.0,19.0,.421,0.0,1.0,.000,9,11.0,.818,2.0,8.0,10.0,4.0,2.0,1.0,1.0,6.0,25.0,20.0,-24,18.0,8.0,0.4444444444444444,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,11.0,66.0,3.6666666666666665,16.400000000000006,73.00000000000001,4.055555555555556
36,36,26,2022-12-30,28-272,TOR,,PHO,W (+9),1,40:48,8.0,17.0,.471,2.0,5.0,.400,8,10.0,.800,2.0,0.0,2.0,6.0,0.0,0.0,2.0,5.0,26.0,18.1,+20,12.0,6.0,0.5,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,79.0,4.388888888888889,14.9,90.09999999999998,5.005555555555555
37,37,27,2023-01-02,28-275,TOR,@,IND,L (-8),1,39:08,9.0,17.0,.529,2.0,4.0,.500,6,7.0,.857,1.0,6.0,7.0,7.0,0.0,0.0,3.0,3.0,26.0,20.5,-6,13.0,7.0,0.5384615384615384,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,13.0,66.0,3.6666666666666665,18.1,72.10000000000001,4.005555555555556
38,38,28,2023-01-04,28-277,TOR,,MIL,L (-3),1,40:19,4.0,18.0,.222,0.0,2.0,.000,3,4.0,.750,4.0,4.0,8.0,4.0,0.0,1.0,3.0,5.0,11.0,2.1,+1,16.0,4.0,0.25,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,-1.0,52.0,2.888888888888889,0.8999999999999986,63.89999999999998,3.549999999999999
39,39,29,2023-01-06,28-279,TOR,,NYK,L (-4),1,39:58,4.0,14.0,.286,1.0,4.0,.250,9,11.0,.818,4.0,9.0,13.0,5.0,0.0,0.0,5.0,4.0,18.0,11.4,+1,10.0,3.0,0.3,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,6.0,85.0,4.722222222222222,7.800000000000004,88.1,4.894444444444444
40,40,30,2023-01-08,28-281,TOR,,POR,W (+12),1,38:05,8.0,19.0,.421,2.0,4.0,.500,9,11.0,.818,2.0,2.0,4.0,6.0,2.0,1.0,4.0,3.0,27.0,19.8,+11,15.0,6.0,0.4,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,6.0,68.0,3.7777777777777777,16.2,73.6,4.088888888888889
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,31,2023-01-10,28-283,TOR,,CHO,W (+12),1,35:50,10.0,16.0,.625,2.0,6.0,.333,6,9.0,.667,3.0,5.0,8.0,7.0,0.0,0.0,3.0,1.0,28.0,24.7,+3,10.0,8.0,0.8,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,15.0,88.0,4.888888888888889,22.3,96.8,5.377777777777777
43,42,32,2023-01-12,28-285,TOR,,CHO,W (+10),1,37:50,11.0,13.0,.846,3.0,3.0,1.000,10,12.0,.833,1.0,6.0,7.0,3.0,0.0,1.0,4.0,2.0,35.0,30.0,+6,10.0,8.0,0.8,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,17.0,82.0,4.555555555555555,26.0,93.5,5.194444444444445
44,43,33,2023-01-14,28-287,TOR,,ATL,L (-11),1,33:54,5.0,16.0,.313,0.0,4.0,.000,5,7.0,.714,1.0,6.0,7.0,6.0,0.0,1.0,3.0,6.0,15.0,7.0,-13,12.0,5.0,0.4166666666666667,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,3.0,64.0,3.555555555555556,4.999999999999998,67.10000000000001,3.7277777777777783
45,44,34,2023-01-16,28-289,TOR,@,NYK,W (+2),1,46:05,7.0,19.0,.368,0.0,7.0,.000,6,7.0,.857,2.0,6.0,8.0,9.0,0.0,3.0,1.0,6.0,20.0,17.3,+9,12.0,7.0,0.5833333333333334,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,13.0,77.0,4.277777777777778,14.9,96.5,5.361111111111111
46,45,35,2023-01-17,28-290,TOR,@,MIL,L (-8),1,40:11,8.0,13.0,.615,1.0,4.0,.250,6,11.0,.545,3.0,6.0,9.0,3.0,0.0,1.0,4.0,1.0,23.0,17.4,-17,9.0,7.0,0.7777777777777778,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,8.0,77.0,4.277777777777778,15.0,88.1,4.894444444444444
47,46,36,2023-01-19,28-292,TOR,@,MIN,L (-2),1,40:35,6.0,16.0,.375,0.0,0.0,,1,2.0,.500,1.0,6.0,7.0,9.0,0.0,1.0,4.0,2.0,13.0,8.5,0,16.0,6.0,0.375,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,8.0,72.0,4.0,8.100000000000001,88.69999999999999,4.927777777777777
48,47,37,2023-01-21,28-294,TOR,,BOS,L (-2),1,43:07,14.0,23.0,.609,0.0,4.0,.000,1,2.0,.500,1.0,8.0,9.0,10.0,0.0,1.0,6.0,4.0,29.0,21.3,+10,19.0,14.0,0.7368421052631579,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,18.0,79.0,4.388888888888889,20.90000000000001,77.19999999999999,4.288888888888888
49,48,38,2023-01-22,28-295,TOR,,NYK,W (+9),1,33:57,9.0,21.0,.429,3.0,6.0,.500,3,6.0,.500,3.0,4.0,7.0,6.0,1.0,1.0,1.0,4.0,24.0,18.3,-8,15.0,6.0,0.4,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,11.0,76.0,4.222222222222222,17.1,89.4,4.966666666666667
50,49,39,2023-01-25,28-298,TOR,@,SAC,W (+18),1,34:52,11.0,24.0,.458,2.0,8.0,.250,2,2.0,1.000,4.0,7.0,11.0,7.0,2.0,2.0,1.0,1.0,26.0,25.4,+15,16.0,9.0,0.5625,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,21.0,74.0,4.111111111111111,24.6,80.79999999999998,4.488888888888888
51,50,40,2023-01-27,28-300,TOR,@,GSW,L (-12),1,39:49,8.0,26.0,.308,1.0,6.0,.167,4,5.0,.800,2.0,5.0,7.0,3.0,0.0,0.0,0.0,4.0,21.0,9.0,-7,20.0,7.0,0.35,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,0.0,82.0,4.555555555555555,7.399999999999997,86.7,4.816666666666666
52,51,41,2023-01-28,28-301,TOR,@,POR,W (+18),1,39:08,9.0,17.0,.529,1.0,2.0,.500,5,5.0,1.000,0.0,3.0,3.0,4.0,0.0,0.0,1.0,4.0,24.0,16.8,+17,15.0,8.0,0.5333333333333333,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,8.0,88.0,4.888888888888889,14.800000000000002,91.3,5.072222222222222
53,52,42,2023-01-30,28-303,TOR,@,PHO,L (-8),1,38:20,7.0,17.0,.412,1.0,4.0,.250,4,4.0,1.000,1.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,19.0,7.3,+1,13.0,6.0,0.4615384615384615,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,-1.0,90.0,5.0,5.700000000000003,85.8,4.766666666666667
54,53,43,2023-02-01,28-305,TOR,@,UTA,L (-3),1,39:28,9.0,22.0,.409,0.0,0.0,,3,6.0,.500,5.0,5.0,10.0,5.0,0.0,0.0,3.0,6.0,21.0,11.1,-8,22.0,9.0,0.4090909090909091,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,90.0,5.0,9.900000000000002,106.8,5.933333333333334
55,54,44,2023-02-03,28-307,TOR,@,HOU,W (+6),1,36:22,10.0,20.0,.500,1.0,3.0,.333,2,3.0,.667,2.0,4.0,6.0,4.0,2.0,0.0,3.0,5.0,23.0,15.0,-2,17.0,9.0,0.5294117647058824,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,9.0,74.0,4.111111111111111,14.2,85.3,4.738888888888889
56,55,45,2023-02-05,28-309,TOR,@,MEM,W (+3),1,28:17,7.0,17.0,.412,2.0,6.0,.333,3,4.0,.750,2.0,4.0,6.0,5.0,1.0,0.0,2.0,5.0,19.0,12.6,-13,11.0,5.0,0.4545454545454545,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,8.0,71.0,3.9444444444444446,11.4,74.69999999999999,4.1499999999999995
57,56,46,2023-02-08,28-312,TOR,,SAS,W (+14),1,39:42,15.0,21.0,.714,3.0,3.0,1.000,4,5.0,.800,1.0,9.0,10.0,7.0,1.0,0.0,2.0,3.0,37.0,34.0,+22,18.0,12.0,0.6666666666666666,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,27.0,54.0,3.0,32.400000000000006,53.3,2.961111111111111
58,57,47,2023-02-10,28-314,TOR,,UTA,L (-6),1,39:08,12.0,21.0,.571,5.0,7.0,.714,6,7.0,.857,1.0,5.0,6.0,4.0,3.0,0.0,3.0,4.0,35.0,28.1,-6,14.0,7.0,0.5,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,17.0,64.0,3.555555555555556,25.699999999999992,62.1,3.45
59,58,48,2023-02-12,28-316,TOR,,DET,W (+1),1,38:20,10.0,19.0,.526,1.0,3.0,.333,7,10.0,.700,1.0,3.0,4.0,6.0,0.0,2.0,2.0,2.0,28.0,21.9,+6,16.0,9.0,0.5625,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,9.0,70.0,3.888888888888889,19.1,88.5,4.916666666666667
