Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Juancho Hernangómez,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Luke Kornet,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Luke Kornet,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-004,SAS,,CHO,L (-27),1,26:59,7.0,13.0,.538,0.0,0.0,,0,0.0,,4.0,5.0,9.0,2.0,0.0,0.0,3.0,2.0,14.0,9.6,-10,13.0,7.0,0.5384615384615384,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,9.0,56.0,1.8666666666666667,9.6,75.4,2.5133333333333336
1,2,2,2022-10-21,27-006,SAS,@,IND,W (+3),1,28:36,4.0,6.0,.667,0.0,0.0,,13,21.0,.619,2.0,6.0,8.0,5.0,1.0,1.0,2.0,1.0,21.0,21.2,+12,6.0,4.0,0.6666666666666666,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,7.0,69.0,2.3,16.0,78.79999999999998,2.626666666666666
2,3,3,2022-10-22,27-007,SAS,@,PHI,W (+9),1,27:01,6.0,9.0,.667,0.0,0.0,,1,2.0,.500,7.0,5.0,12.0,3.0,0.0,1.0,1.0,5.0,13.0,14.9,0,9.0,6.0,0.6666666666666666,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,17.0,62.0,2.066666666666667,14.499999999999996,79.3,2.643333333333333
3,4,4,2022-10-24,27-009,SAS,@,MIN,W (+9),1,30:31,7.0,12.0,.583,0.0,0.0,,0,0.0,,8.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,14.0,17.2,0,12.0,7.0,0.5833333333333334,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,19.0,66.0,2.2,17.200000000000003,66.2,2.2066666666666666
4,5,5,2022-10-26,27-011,SAS,@,MIN,L (-12),1,29:06,5.0,8.0,.625,0.0,0.0,,2,4.0,.500,5.0,5.0,10.0,4.0,0.0,0.0,2.0,1.0,12.0,13.0,0,8.0,5.0,0.625,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,12.0,104.0,3.466666666666667,12.200000000000005,105.20000000000002,3.5066666666666673
5,6,6,2022-10-28,27-013,SAS,,CHI,W (+5),1,30:11,10.0,12.0,.833,0.0,0.0,,1,2.0,.500,3.0,10.0,13.0,4.0,1.0,1.0,2.0,1.0,21.0,23.4,+9,12.0,10.0,0.8333333333333334,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,24.0,48.0,1.6,23.000000000000004,53.99999999999998,1.7999999999999994
6,7,7,2022-10-30,27-015,SAS,,MIN,W (+9),1,33:30,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,13.0,14.0,4.0,2.0,3.0,3.0,3.0,4.0,10.7,-4,2.0,2.0,1.0,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,22.0,89.0,2.966666666666667,10.699999999999996,106.5,3.55
7,8,8,2022-11-02,27-018,SAS,,TOR,L (-43),1,20:40,3.0,6.0,.500,0.0,0.0,,0,0.0,,5.0,1.0,6.0,2.0,0.0,1.0,5.0,2.0,6.0,3.1,-26,6.0,3.0,0.5,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,4.0,119.0,3.966666666666667,3.1,120.9,4.03
8,9,9,2022-11-04,27-020,SAS,,LAC,L (-7),1,26:21,2.0,6.0,.333,0.0,0.0,,0,2.0,.000,2.0,5.0,7.0,3.0,3.0,1.0,1.0,2.0,4.0,6.7,-21,6.0,2.0,0.3333333333333333,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,9.0,55.0,1.8333333333333333,6.699999999999998,67.10000000000001,2.236666666666667
9,10,10,2022-11-05,27-021,SAS,@,DEN,L (-25),1,28:35,7.0,12.0,.583,0.0,0.0,,0,2.0,.000,3.0,5.0,8.0,2.0,1.0,1.0,2.0,2.0,14.0,11.5,-23,12.0,7.0,0.5833333333333334,11,17,22,4,42,18,30,41,36,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873,26,13,6,23,17,11,2,14,22,26,23,5,24,11,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,69.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3421052631578947,0.2241379310344827,0.1935483870967742,0.3333333333333333,0.2575757575757575,0.44,0.0,0.0476190476190476,0.0,0.2641509433962264,0.3283582089552239,0.0,0.3661971830985915,0.4181818181818181,0.5555555555555556,0.3116883116883117,0.2037037037037037,30,10.0,82.0,2.7333333333333334,11.499999999999996,91.6,3.0533333333333332
