Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-079,TOR,,CLE,W (+3),1,32:20,7.0,14.0,.500,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,7.0,2.0,1.0,3.0,4.0,15.0,12.3,+20,13.0,6.0,0.4615384615384615,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,54.0,3.0,12.3,72.7,4.038888888888889
1,2,2,2022-10-21,21-081,TOR,@,BRK,L (-4),1,35:53,7.0,14.0,.500,1.0,2.0,.500,2,2.0,1.000,2.0,5.0,7.0,3.0,2.0,1.0,3.0,2.0,17.0,13.9,+2,12.0,6.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,65.0,3.611111111111111,13.099999999999994,81.69999999999999,4.538888888888888
2,3,3,2022-10-22,21-082,TOR,@,MIA,L (-3),1,13:14,5.0,9.0,.556,0.0,1.0,.000,1,3.0,.333,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,7.6,-8,8.0,5.0,0.625,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,3.0,76.0,4.222222222222222,7.200000000000001,86.6,4.811111111111111
3,4,,2022-10-24,21-084,TOR,@,MIA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,,85.0,4.722222222222222,0.0,83.4,4.633333333333334
4,5,4,2022-10-26,21-086,TOR,,PHI,W (+10),1,32:40,6.0,11.0,.545,1.0,4.0,.250,3,3.0,1.000,1.0,9.0,10.0,5.0,1.0,0.0,0.0,0.0,16.0,18.6,+3,7.0,5.0,0.7142857142857143,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,18.0,98.0,5.444444444444445,17.4,100.0,5.555555555555555
5,6,5,2022-10-28,21-088,TOR,,PHI,L (-22),1,28:54,4.0,7.0,.571,3.0,4.0,.750,2,2.0,1.000,2.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,13.0,11.6,-21,3.0,1.0,0.3333333333333333,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,62.0,3.4444444444444446,10.8,66.19999999999999,3.677777777777777
6,7,6,2022-10-31,21-091,TOR,,ATL,W (+30),1,33:23,7.0,14.0,.500,5.0,9.0,.556,2,3.0,.667,0.0,7.0,7.0,8.0,1.0,0.0,2.0,3.0,21.0,19.1,+31,5.0,2.0,0.4,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,18.0,93.0,5.166666666666667,18.300000000000004,105.99999999999996,5.888888888888887
7,8,7,2022-11-02,21-093,TOR,@,SAS,W (+43),1,28:00,7.0,13.0,.538,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,5.0,0.0,1.0,2.0,0.0,15.0,12.5,+30,9.0,6.0,0.6666666666666666,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,113.0,6.277777777777778,12.499999999999998,117.6,6.533333333333333
8,9,8,2022-11-04,21-095,TOR,@,DAL,L (-1),1,38:05,4.0,12.0,.333,1.0,6.0,.167,2,2.0,1.000,3.0,8.0,11.0,10.0,1.0,0.0,5.0,0.0,11.0,11.7,+1,6.0,3.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,14.0,50.0,2.7777777777777777,10.9,68.5,3.8055555555555554
9,10,9,2022-11-06,21-097,TOR,,CHI,W (+9),1,40:05,8.0,19.0,.421,2.0,7.0,.286,1,2.0,.500,2.0,8.0,10.0,4.0,1.0,0.0,2.0,1.0,19.0,13.7,+5,12.0,6.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,81.0,4.5,13.3,95.70000000000002,5.316666666666667
