Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,23-049,TOR,@,CHI,L (-14),0,13:52,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,10.0,10.0,-16,6.0,4.0,0.6666666666666666,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,8.0,63.0,3.5,9.199999999999998,65.9,3.6611111111111114
11,12,12,2022-11-09,23-051,TOR,,HOU,W (+7),0,12:29,2.0,8.0,.250,0.0,2.0,.000,0,0.0,,4.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,4.0,1.2,-11,6.0,2.0,0.3333333333333333,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,2.0,97.0,5.388888888888889,1.1999999999999984,107.5,5.972222222222222
12,13,,2022-11-11,23-053,TOR,@,OKC,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,68.0,3.7777777777777777,0.0,91.70000000000002,5.094444444444445
13,14,,2022-11-12,23-054,TOR,@,IND,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,56.0,3.111111111111111,0.0,72.69999999999997,4.038888888888888
14,15,,2022-11-14,23-056,TOR,@,DET,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,115.0,6.388888888888889,0.0,108.9,6.050000000000001
15,16,,2022-11-16,23-058,TOR,,MIA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,81.0,4.5,0.0,86.9,4.827777777777778
16,17,,2022-11-19,23-061,TOR,@,ATL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,89.0,4.944444444444445,0.0,107.1,5.949999999999999
17,18,,2022-11-23,23-065,TOR,,BRK,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213
18,19,,2022-11-26,23-068,TOR,,DAL,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,78.0,4.333333333333333,0.0,76.30000000000001,4.23888888888889
19,20,,2022-11-28,23-070,TOR,,CLE,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,82.0,4.555555555555555,0.0,81.0,4.5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,23-072,TOR,@,NOP,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,89.0,4.944444444444445,0.0,90.3,5.016666666666667
22,22,,2022-12-02,23-074,TOR,@,BRK,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,44.0,2.4444444444444446,0.0,61.9,3.4388888888888887
23,23,,2022-12-03,23-075,TOR,,ORL,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,86.0,4.777777777777778,0.0,97.9,5.438888888888889
24,24,,2022-12-05,23-077,TOR,,BOS,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,58.0,3.2222222222222223,0.0,74.5,4.138888888888889
25,25,,2022-12-07,23-079,TOR,,LAL,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,85.0,4.722222222222222,0.0,94.2,5.233333333333333
26,26,,2022-12-09,23-081,TOR,@,ORL,L (-4),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,70.0,3.888888888888889,0.0,77.99999999999999,4.333333333333332
27,27,,2022-12-11,23-083,TOR,@,ORL,L (-12),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,36.0,2.0,0.0,56.1,3.1166666666666667
28,28,,2022-12-14,23-086,TOR,,SAC,L (-1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,78.0,4.333333333333333,0.0,94.5,5.25
