Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,28-236,TOR,,CLE,W (+3),1,38:41,4.0,9.0,.444,3.0,6.0,.500,4,4.0,1.000,1.0,1.0,2.0,5.0,4.0,0.0,1.0,3.0,15.0,16.6,+7,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,12.0,53.0,2.9444444444444446,15.0,70.0,3.888888888888889
1,2,2,2022-10-21,28-238,TOR,@,BRK,L (-4),1,37:55,7.0,11.0,.636,4.0,6.0,.667,0,0.0,,1.0,6.0,7.0,9.0,4.0,1.0,0.0,3.0,18.0,25.4,+3,5.0,3.0,0.6,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,28.0,48.0,2.6666666666666665,25.40000000000001,69.39999999999998,3.8555555555555543
2,3,3,2022-10-22,28-239,TOR,@,MIA,L (-3),1,38:49,2.0,9.0,.222,1.0,6.0,.167,2,2.0,1.000,1.0,1.0,2.0,10.0,3.0,0.0,1.0,5.0,7.0,9.5,+6,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,10.0,69.0,3.8333333333333335,8.7,85.1,4.727777777777778
3,4,4,2022-10-24,28-241,TOR,@,MIA,W (+8),1,39:13,6.0,16.0,.375,4.0,6.0,.667,8,9.0,.889,2.0,2.0,4.0,9.0,1.0,0.0,2.0,1.0,24.0,21.7,+13,10.0,2.0,0.2,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,11.0,74.0,4.111111111111111,18.5,64.9,3.605555555555556
4,5,5,2022-10-26,28-243,TOR,,PHI,W (+10),1,38:50,5.0,12.0,.417,2.0,5.0,.400,3,3.0,1.000,0.0,6.0,6.0,8.0,2.0,3.0,2.0,1.0,15.0,17.7,+8,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,17.0,99.0,5.5,16.500000000000004,100.90000000000002,5.605555555555557
5,6,6,2022-10-28,28-245,TOR,,PHI,L (-22),1,34:13,0.0,11.0,.000,0.0,8.0,.000,1,3.0,.333,1.0,2.0,3.0,5.0,1.0,0.0,1.0,3.0,1.0,-3.9,-19,3.0,0.0,0.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,-5.0,77.0,4.277777777777778,-4.3,81.29999999999998,4.516666666666666
6,7,,2022-10-31,28-248,TOR,,ATL,W (+30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,111.0,6.166666666666667,0.0,124.29999999999998,6.905555555555555
7,8,,2022-11-02,28-250,TOR,@,SAS,W (+43),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,123.0,6.833333333333333,0.0,130.1,7.227777777777778
8,9,,2022-11-04,28-252,TOR,@,DAL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,64.0,3.555555555555556,0.0,79.40000000000002,4.411111111111112
9,10,7,2022-11-06,28-254,TOR,,CHI,W (+9),1,39:20,9.0,22.0,.409,5.0,13.0,.385,7,7.0,1.000,0.0,5.0,5.0,11.0,0.0,0.0,1.0,1.0,30.0,26.0,+27,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,76.0,4.222222222222222,23.2,85.80000000000001,4.7666666666666675
