Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2023-01-08,23-138,TOR,,POR,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,65.0,3.823529411764706,0.0,75.4,4.435294117647059
1,2,,2023-01-10,23-140,TOR,,CHO,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,76.0,4.470588235294118,0.0,78.79999999999998,4.6352941176470575
2,3,,2023-01-12,23-142,TOR,,CHO,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,79.0,4.647058823529412,0.0,79.3,4.664705882352941
3,4,,2023-01-14,23-144,TOR,,ATL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,85.0,5.0,0.0,66.2,3.894117647058824
4,5,,2023-01-16,23-146,TOR,@,NYK,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,116.0,6.823529411764706,0.0,105.20000000000002,6.188235294117648
5,6,,2023-01-17,23-147,TOR,@,MIL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,72.0,4.235294117647059,0.0,53.99999999999998,3.176470588235293
6,7,1,2023-01-19,23-149,TOR,@,MIN,L (-2),0,11:34,3.0,4.0,.750,3.0,3.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,7.1,+10,1.0,0.0,0.0,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,5.0,106.0,6.235294117647059,7.099999999999998,106.5,6.264705882352941
7,8,,2023-01-21,23-151,TOR,,BOS,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,123.0,7.235294117647059,0.0,127.0,7.470588235294118
8,9,2,2023-01-22,23-152,TOR,,NYK,W (+9),0,5:30,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7,0.0,0.0,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,-1.0,65.0,3.823529411764706,-0.7,73.40000000000002,4.317647058823531
9,10,,2023-01-25,23-155,TOR,@,SAC,W (+18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,92.0,5.411764705882353,0.0,97.5,5.735294117647059
