Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Mikal Bridges,Torrey Craig,Shared Games with Dario Šarić,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Mikal Bridges,co_inf with Torrey Craig,co_inf with Dario Šarić,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022/10/19,25-220,PHO,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,80.0,4.0,0.0,88.49999999999999,4.424999999999999,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+2),W (+2)
2.0,,2022/10/21,25-222,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,95.0,4.75,0.0,97.4,4.87,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,L (-2),L (-2)
3.0,1.0,2022/10/23,25-224,PHO,LAC,0,13.333333333333334,2.0,5.0,0.4,2.0,5.0,0.4,2,2.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,6.9,4,0.0,0.0,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,4.0,99.0,4.95,6.1000000000000005,118.7,5.9350000000000005,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+17),W (+17)
4.0,2.0,2022/10/25,25-226,PHO,GSW,0,15.133333333333333,1.0,2.0,0.5,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.9,8,2.0,1.0,0.5,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,1.0,83.0,4.15,0.8999999999999997,107.09999999999998,5.354999999999999,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+29),W (+29)
5.0,3.0,2022/10/28,25-229,PHO,NOP,0,17.283333333333335,2.0,4.0,0.5,1.0,3.0,0.333,0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,4.5,13,1.0,1.0,1.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,5.0,95.0,4.75,4.5,104.3,5.215,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+13),W (+13)
6.0,4.0,2022/10/30,25-231,PHO,HOU,0,15.2,3.0,6.0,0.5,2.0,5.0,0.4,2,4.0,0.5,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,10.0,7.8,3,1.0,1.0,1.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,3.0,85.0,4.25,7.0,99.2,4.96,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+15),W (+15)
7.0,5.0,2022/11/1,25-233,PHO,MIN,0,16.833333333333332,2.0,8.0,0.25,2.0,5.0,0.4,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.2,-6,3.0,0.0,0.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,-3.0,81.0,4.05,1.4000000000000012,80.9,4.045,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+9),W (+9)
8.0,6.0,2022/11/4,25-236,PHO,POR,0,19.25,2.0,8.0,0.25,1.0,5.0,0.2,1,1.0,1,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,6.0,0.9,-5,3.0,1.0,0.333333333,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,-2.0,79.0,3.95,0.5000000000000009,90.8,4.54,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,L (-2),L (-2)
9.0,7.0,2022/11/5,25-237,PHO,POR,0,19.316666666666663,3.0,6.0,0.5,2.0,4.0,0.5,0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,7.4,11,2.0,1.0,0.5,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,6.0,95.0,4.75,7.4,87.0,4.35,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,W (+20),W (+20)
10.0,8.0,2022/11/7,25-239,PHO,PHI,0,11.133333333333333,0.0,4.0,0,0.0,3.0,0,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.2,6,1.0,0.0,0.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,-2.0,62.0,3.1,-2.2,70.89999999999999,3.5449999999999995,10.9,1.2,-1.4,-1.1,-0.3,0.0371284472582895,0.537,0.663,0.17,0.1,0.5,L (-12),L (-12)
