Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
0,1,,2022-10-19,32-105,PHO,,DAL,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,,2022-10-21,32-107,PHO,@,POR,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,,2022-10-23,32-109,PHO,@,LAC,W (+17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,,2022-10-25,32-111,PHO,,GSW,W (+29),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,,2022-10-28,32-114,PHO,,NOP,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,,2022-10-30,32-116,PHO,,HOU,W (+15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,,2022-11-01,32-118,PHO,,MIN,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,,2022-11-04,32-121,PHO,,POR,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,,2022-11-05,32-122,PHO,,POR,W (+20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,,2022-11-07,32-124,PHO,@,PHI,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
