Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,31-304,PHO,DAL,0.0,8.633333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-7.0,1.0,1.0,1.0,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,2.0,78.0,4.105263157894737,2.0,86.49999999999999,4.552631578947367,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+2),W (+2)
2.0,2.0,2022-10-21,31-306,PHO,POR,0.0,10.5,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.3,-3.0,0.0,0.0,,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,2.0,93.0,4.894736842105263,2.3,95.1,5.005263157894737,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,L (-2),L (-2)
3.0,3.0,2022-10-23,31-308,PHO,LAC,0.0,24.83333333333333,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,,3.0,6.0,9.0,2.0,0.0,0.0,0.0,1.0,8.0,9.2,1.0,2.0,1.0,0.5,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,12.0,91.0,4.789473684210527,9.199999999999998,115.6,6.084210526315789,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+17),W (+17)
4.0,4.0,2022-10-25,31-310,PHO,GSW,0.0,10.483333333333333,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,7.0,77.0,4.052631578947368,7.999999999999999,100.0,5.2631578947368425,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+29),W (+29)
5.0,5.0,2022-10-28,31-313,PHO,NOP,0.0,17.3,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,,4.0,2.0,6.0,2.0,0.0,0.0,1.0,1.0,13.0,14.6,7.0,5.0,5.0,1.0,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,14.0,86.0,4.526315789473684,14.6,94.2,4.957894736842105,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+13),W (+13)
6.0,6.0,2022-10-30,31-315,PHO,HOU,0.0,18.316666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,-0.1,-1.0,0.0,0.0,,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,2.0,86.0,4.526315789473684,-0.1000000000000005,106.3,5.594736842105263,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+15),W (+15)
7.0,7.0,2022-11-01,31-317,PHO,MIN,0.0,11.683333333333334,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,3.7,-12.0,0.0,0.0,,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,5.0,73.0,3.842105263157895,3.3000000000000007,79.00000000000001,4.157894736842106,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+9),W (+9)
8.0,8.0,2022-11-04,31-320,PHO,POR,0.0,23.066666666666663,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,2.0,4.0,6.0,2.0,0.0,0.0,0.0,3.0,8.0,6.7,-4.0,3.0,2.0,0.6666666666666666,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,7.0,70.0,3.684210526315789,6.300000000000001,85.00000000000001,4.473684210526317,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,L (-2),L (-2)
9.0,9.0,2022-11-05,31-321,PHO,POR,1.0,21.633333333333333,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,0.0,5.0,5.0,4.0,1.0,3.0,1.0,4.0,5.0,7.1,22.0,2.0,1.0,0.5,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,12.0,89.0,4.684210526315789,7.100000000000001,87.3,4.594736842105263,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,W (+20),W (+20)
10.0,10.0,2022-11-07,31-323,PHO,PHI,1.0,22.5,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,-5.0,2.0,0.0,0.0,58,17,45,59,71,34,64,50,30,57,66,70,37,53,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,0.9508196721311476,0.4047619047619047,0.9375,1.0,0.9594594594594594,0.5964912280701754,0.9552238805970148,0.9433962264150944,0.967741935483871,0.95,0.0,0.9565217391304348,0.9722222222222222,0.925,0.6385542168674698,8,16,7,20,21,43.0,67.0,47.0,25.0,42.0,63.0,0.1702127659574468,0.3809523809523809,0.1627906976744186,0.0,0.8,0.3333333333333333,19,0.0,60.0,3.1578947368421053,0.5000000000000004,68.2,3.5894736842105264,11.6,4.0,-0.6,-1.3,0.7,0.063096898808885,0.566,0.506,0.09,0.7,1.5,L (-12),L (-12)
