Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1.0,2022/10/19,26-359,PHO,DAL,0,10.15,2,5,0.4,0.0,2.0,0,3,4,0.75,1,1,2.0,0,0,1,1,4,7,3,-6,3.0,2.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,0.0,80,4.210526316,1.8,86.7,4.563157895,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+2),W (+2)
2,2.0,2022/10/21,26-361,PHO,POR,0,14.466666666666669,2,5,0.4,1.0,2.0,0.5,1,2,0.5,2,2,4.0,0,0,0,1,4,6,2.3,-3,3.0,1.0,0.333333333,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,93,4.894736842,1.9,95.5,5.026315789,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-2),L (-2)
3,3.0,2022/10/23,26-363,PHO,LAC,0,17.316666666666666,4,8,0.5,0.0,2.0,0,1,1,1,2,8,10.0,1,0,0,0,0,9,9.5,13,6.0,4.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,92,4.842105263,9.1,115.7,6.089473684,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+17),W (+17)
4,4.0,2022/10/25,27-000,PHO,GSW,0,22.15,6,12,0.5,1.0,4.0,0.25,4,5,0.8,2,5,7.0,0,0,2,1,1,17,13.5,27,8.0,5.0,0.625,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,8.0,76,4.0,11.9,96.1,5.057894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+29),W (+29)
5,5.0,2022/10/28,27-003,PHO,NOP,0,17.0,4,9,0.444,0.0,4.0,0,0,0,,0,2,2.0,2,0,1,0,2,8,5.2,18,5.0,4.0,0.8,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,96,5.052631579,5.2,103.6,5.452631579,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+13),W (+13)
6,6.0,2022/10/30,27-005,PHO,HOU,0,23.433333333333334,6,9,0.667,0.0,1.0,0,4,4,1,5,2,7.0,0,1,1,2,5,16,13.9,0,8.0,6.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,10.0,78,4.105263158,12.3,93.9,4.942105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+15),W (+15)
7,7.0,2022/11/1,27-007,PHO,MIN,0,16.45,2,6,0.333,0.0,4.0,0,0,0,,0,1,1.0,1,0,1,0,4,4,0.7,-4,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,77,4.052631579,0.7,81.6,4.294736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+9),W (+9)
8,8.0,2022/11/4,27-010,PHO,POR,0,14.716666666666669,3,3,1,1.0,1.0,1,2,2,1,4,2,6.0,1,0,0,2,2,9,9.4,3,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,9.0,68,3.578947368,8.6,82.7,4.352631579,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-2),L (-2)
9,9.0,2022/11/5,27-011,PHO,POR,0,18.3,2,4,0.5,0.0,1.0,0,1,2,0.5,2,1,3.0,4,1,1,2,1,5,6.4,17,3.0,2.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,6.0,95,5.0,6.0,88.4,4.652631579,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+20),W (+20)
10,10.0,2022/11/7,27-013,PHO,PHI,0,6.8,1,2,0.5,0.0,0.0,,0,0,,0,2,2.0,1,1,2,0,5,2,2.7,-3,2.0,1.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,6.0,54,2.842105263,2.7,66.0,3.473684211,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-12),L (-12)
