Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Torrey Craig,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Darius Bazley,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Landry Shamet,Shared Games with Terrence Ross,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Landry Shamet,Saben Lee,Terrence Ross,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Torrey Craig,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Landry Shamet,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,29-044,BRK,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,80.0,2.2857142857142856,0.0,88.49999999999999,2.528571428571428,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-22),L (-22)
2.0,,2022-10-21,29-046,BRK,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,95.0,2.7142857142857144,0.0,97.4,2.782857142857143,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,W (+4),W (+4)
3.0,,2022-10-24,29-049,BRK,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,103.0,2.942857142857143,0.0,122.1,3.4885714285714284,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-10),L (-10)
4.0,,2022-10-26,29-051,BRK,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,84.0,2.4,0.0,108.0,3.085714285714286,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-11),L (-11)
5.0,,2022-10-27,29-052,BRK,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,100.0,2.857142857142857,0.0,108.1,3.0885714285714285,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-4),L (-4)
6.0,,2022-10-29,29-054,BRK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,88.0,2.5142857142857142,0.0,106.2,3.0342857142857143,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-9),L (-9)
7.0,,2022-10-31,29-056,BRK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,78.0,2.2285714285714286,0.0,82.30000000000001,2.351428571428572,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,W (+7),W (+7)
8.0,,2022-11-01,29-057,BRK,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,77.0,2.2,0.0,91.3,2.6085714285714285,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,L (-9),L (-9)
9.0,,2022-11-04,29-060,BRK,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,101.0,2.8857142857142857,0.0,94.40000000000002,2.697142857142857,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,W (+42),W (+42)
10.0,,2022-11-05,29-061,BRK,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21,15,1,10,22,22,2,22,22,10,25,9,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414,11,10,8,12,8,13,16,16,16,23,3,9,14,16,11,3,12,15,5,14,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,40.0,25.0,63.0,79.0,0.180327868852459,0.2,0.0,0.1884057971014492,0.2222222222222222,0.2025316455696202,0.2916666666666667,0.2711864406779661,0.1486486486486486,0.0697674418604651,0.1791044776119403,0.2830188679245283,0.125,0.0,0.2222222222222222,35,,60.0,1.7142857142857142,0.0,68.69999999999999,1.9628571428571424,13.5,1.2,-2.0,-1.7,-0.2,0.0071896126193797,0.55,0.248,0.13,0.0,0.4,W (+4),W (+4)
