Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022/11/9,24-069,PHO,MIN,0,3.2333333333333334,0.0,1.0,0,0.0,1.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,6,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,-1.0,88.0,4.631578947368421,-0.7,97.7,5.142105263157895,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+12),W (+12)
12.0,11.0,2022/11/11,24-071,PHO,ORL,0,7.816666666666666,0.0,2.0,0,0.0,1.0,0,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.8,4,1.0,0.0,0.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,-1.0,98.0,5.157894736842105,-1.7999999999999998,91.0,4.789473684210527,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-17),L (-17)
13.0,12.0,2022/11/14,24-074,PHO,MIA,0,6.6,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,5,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,3.0,80.0,4.2105263157894735,1.6,91.59999999999998,4.821052631578946,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-1),L (-1)
14.0,13.0,2022/11/16,24-076,PHO,GSW,0,8.633333333333333,0.0,2.0,0,0.0,1.0,0,0,0.0,,2.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,1.9,-6,1.0,0.0,0.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,4.0,92.0,4.842105263157895,1.9,97.7,5.142105263157895,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+11),W (+11)
15.0,14.0,2022/11/18,24-078,PHO,UTA,0,3.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-1.9,2,0.0,0.0,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,0.0,82.0,4.315789473684211,-1.9,106.0,5.578947368421052,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,L (-1),L (-1)
16.0,15.0,2022/11/20,24-080,PHO,NYK,0,13.333333333333334,3.0,9.0,0.333,1.0,3.0,0.333,0,0.0,,3.0,2.0,5.0,1.0,0.0,1.0,2.0,3.0,7.0,2.8,3,6.0,2.0,0.333333333,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,3.0,109.0,5.7368421052631575,2.799999999999997,108.2,5.694736842105264,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+21),W (+21)
17.0,16.0,2022/11/22,24-082,PHO,LAL,0,6.916666666666667,0.0,2.0,0,0.0,1.0,0,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7,-1,1.0,0.0,0.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,0.0,80.0,4.2105263157894735,-0.7,89.39999999999999,4.705263157894737,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+10),W (+10)
18.0,17.0,2022/11/25,24-085,PHO,DET,0,14.15,2.0,4.0,0.5,0.0,2.0,0,3,4.0,0.75,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,7.0,8.2,-3,2.0,2.0,1.0,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,5.0,95.0,5.0,6.999999999999999,93.4,4.915789473684211,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+6),W (+6)
19.0,,2022/11/26,24-086,PHO,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,,109.0,5.7368421052631575,0.0,113.9,5.994736842105263,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+1),W (+1)
20.0,,2022/11/28,24-088,PHO,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,13,43,53,64,30,58,48,26,51,62,34,46,70,61,42,48,59,74,57,67,53,31,60,18,69,40,83,79,0.885245902,0.30952381,0.895833333,0.898305085,0.864864865,0.526315789,0.865671642,0.905660377,0.838709677,0.85,0,0.898550725,0.85,0.554216867,0.886075949,8,16,7,16,21,43,67,47,25,42,63,0.170212766,0.380952381,0.162790698,0,0.64,0.333333333,19,,91.0,4.789473684210527,0.0,103.79999999999995,5.46315789473684,13.3,2.8,-0.2,-0.8,0.5,0.0567657473977894,0.531,0.476,0.464,0.6,1.1,W (+5),W (+5)
