Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1,2022/10/19,37-166,PHO,DAL,1,30.28333333,1,6,0.167,0,2,0,4,4,1,0,3,3,9,2,0,3,3,6,7.2,-9,4,1,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7,73,3.842105263,5.6,82.9,4.363157895,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+2),W (+2)
2,2,2022/10/21,37-168,PHO,POR,1,36.15,5,11,0.455,0,1,0,0,0,,0,4,4,12,5,0,1,5,10,15.9,0,10,5,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19,76,4,15.9,81.5,4.289473684,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-2),L (-2)
3,3,2022/10/23,37-170,PHO,LAC,1,32.61666667,3,11,0.273,1,8,0.125,0,0,,3,5,8,11,1,1,2,2,7,10.7,15,3,2,0.666666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,15,88,4.631578947,10.7,114.1,6.005263158,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+17),W (+17)
4,4,2022/10/25,37-172,PHO,GSW,1,35.21666667,5,10,0.5,4,5,0.8,2,2,1,0,7,7,9,1,0,2,4,16,16.8,21,5,1,0.2,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19,65,3.421052632,16,92,4.842105263,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+29),W (+29)
5,5,2022/10/28,37-175,PHO,NOP,1,30.63333333,1,7,0.143,0,1,0,5,6,0.833,1,4,5,9,1,0,3,1,7,7.9,-3,6,1,0.166666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6,94,4.947368421,5.9,102.9,5.415789474,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+13),W (+13)
6,6,2022/10/30,37-177,PHO,HOU,1,31.23333333,3,7,0.429,0,4,0,4,5,0.8,0,1,1,15,0,0,0,1,10,16.3,19,3,3,1,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,14,74,3.894736842,14.7,91.5,4.815789474,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+15),W (+15)
7,7,2022/11/1,37-179,PHO,MIN,1,33.86666667,5,12,0.417,1,5,0.2,4,6,0.667,1,7,8,12,3,0,1,2,15,20.2,18,7,4,0.571428571,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19,59,3.105263158,18.6,63.7,3.352631579,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+9),W (+9)
8,8,2022/11/4,37-182,PHO,POR,1,33.8,1,4,0.25,1,3,0.333,4,4,1,0,2,2,11,2,1,0,2,7,14.8,4,1,0,0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,15,62,3.263157895,13.2,78.1,4.110526316,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-2),L (-2)
9,9,2022/11/5,37-183,PHO,POR,1,24.35,3,7,0.429,2,4,0.5,7,7,1,0,5,5,4,0,0,1,2,15,13.8,16,3,1,0.333333333,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9,92,4.842105263,11,83.4,4.389473684,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+20),W (+20)
10,10,2022/11/7,37-185,PHO,PHI,1,13.75,1,1,1,0,0,,0,0,,0,2,2,2,2,0,2,1,2,3.3,-10,1,1,1,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,5,55,2.894736842,3.3,65.4,3.442105263,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-12),L (-12)
