Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Torrey Craig,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Darius Bazley,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Landry Shamet,Shared Games with Terrence Ross,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Landry Shamet,Saben Lee,Terrence Ross,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Torrey Craig,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Landry Shamet,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022/10/19,34-020,BRK,NOP,1,31.766666666666666,11.0,21.0,0.524,2.0,6.0,0.333,8,9.0,0.889,0.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,32.0,21.8,-23,15.0,9.0,0.6,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,8.0,72.0,2.0,18.59999999999999,69.89999999999999,1.9416666666666664,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-22),L (-22)
2.0,2.0,2022/10/21,34-022,BRK,TOR,1,35.45,8.0,18.0,0.444,3.0,9.0,0.333,8,10.0,0.8,1.0,4.0,5.0,6.0,0.0,2.0,5.0,2.0,27.0,18.5,-8,9.0,5.0,0.555555556,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,7.0,88.0,2.4444444444444446,15.299999999999994,82.10000000000001,2.280555555555556,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+4),W (+4)
3.0,3.0,2022/10/24,34-025,BRK,MEM,1,39.016666666666666,14.0,20.0,0.7,1.0,3.0,0.333,8,9.0,0.889,1.0,4.0,5.0,4.0,0.0,0.0,1.0,4.0,37.0,30.3,-10,17.0,13.0,0.764705882,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,16.0,87.0,2.4166666666666665,27.1,95.0,2.638888888888889,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-10),L (-10)
4.0,4.0,2022/10/26,34-027,BRK,MIL,1,38.86666666666667,10.0,23.0,0.435,1.0,4.0,0.25,12,13.0,0.923,0.0,6.0,6.0,3.0,0.0,2.0,5.0,3.0,33.0,19.6,-17,19.0,9.0,0.473684211,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,3.0,81.0,2.25,14.8,93.2,2.588888888888889,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-11),L (-11)
5.0,5.0,2022/10/27,34-028,BRK,DAL,1,41.23333333333333,12.0,21.0,0.571,2.0,5.0,0.4,11,11.0,1,1.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,37.0,30.8,-6,16.0,10.0,0.625,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,13.0,87.0,2.4166666666666665,26.40000000000001,81.7,2.2694444444444444,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-4),L (-4)
6.0,6.0,2022/10/29,34-030,BRK,IND,1,38.78333333333333,8.0,20.0,0.4,1.0,5.0,0.2,9,9.0,1,1.0,4.0,5.0,2.0,3.0,4.0,3.0,0.0,26.0,21.3,-3,15.0,7.0,0.466666667,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,8.0,80.0,2.2222222222222223,17.69999999999999,88.50000000000001,2.458333333333334,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-9),L (-9)
7.0,7.0,2022/10/31,34-032,BRK,IND,1,39.06666666666667,13.0,22.0,0.591,2.0,5.0,0.4,8,8.0,1,0.0,9.0,9.0,7.0,1.0,1.0,3.0,2.0,36.0,31.3,8,17.0,11.0,0.647058824,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,21.0,57.0,1.5833333333333333,28.10000000000001,54.2,1.5055555555555555,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+7),W (+7)
8.0,8.0,2022/11/1,34-033,BRK,CHI,1,37.98333333333333,9.0,16.0,0.563,2.0,4.0,0.5,12,12.0,1,0.0,9.0,9.0,6.0,1.0,2.0,7.0,3.0,32.0,25.5,-7,12.0,7.0,0.583333333,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,15.0,62.0,1.7222222222222223,20.700000000000003,70.60000000000001,1.9611111111111112,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-9),L (-9)
9.0,9.0,2022/11/4,34-036,BRK,WAS,1,33.18333333333333,10.0,21.0,0.476,2.0,6.0,0.333,6,6.0,1,0.0,9.0,9.0,11.0,0.0,1.0,2.0,1.0,28.0,26,35,15.0,8.0,0.533333333,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,20.0,81.0,2.25,23.60000000000001,70.8,1.9666666666666663,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+42),W (+42)
10.0,10.0,2022/11/5,34-037,BRK,CHO,1,37.333333333333336,10.0,20.0,0.5,1.0,4.0,0.25,6,6.0,1,0.0,8.0,8.0,2.0,0.0,3.0,3.0,2.0,27.0,19.1,13,16.0,9.0,0.5625,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,11.0,49.0,1.3611111111111112,16.7,52.0,1.4444444444444444,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+4),W (+4)
