Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022/10/19,24-088,PHO,DAL,1,30.416666666666668,8.0,11.0,0.727,0.0,0.0,,2,3.0,0.667,1.0,9.0,10.0,2.0,1.0,0.0,1.0,4.0,18.0,16.3,15,11.0,8.0,0.727272727,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,16.0,64.0,3.3684210526315788,15.499999999999996,73.0,3.842105263157895,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+2),W (+2)
2.0,2.0,2022/10/21,24-090,PHO,POR,1,38.48333333333333,12.0,22.0,0.545,1.0,1.0,1,1,3.0,0.333,1.0,5.0,6.0,3.0,1.0,1.0,4.0,5.0,26.0,14.6,1,21.0,11.0,0.523809524,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,8.0,87.0,4.578947368421052,14.200000000000006,83.19999999999999,4.378947368421052,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,L (-2),L (-2)
3.0,3.0,2022/10/23,24-092,PHO,LAC,1,28.75,6.0,11.0,0.545,0.0,1.0,0,1,1.0,1,2.0,6.0,8.0,1.0,0.0,1.0,4.0,5.0,13.0,6.3,7,10.0,6.0,0.6,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,7.0,96.0,5.052631578947368,5.9,118.90000000000002,6.257894736842107,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+17),W (+17)
4.0,4.0,2022/10/25,24-094,PHO,GSW,1,25.066666666666663,6.0,14.0,0.429,0.0,1.0,0,4,4.0,1,5.0,9.0,14.0,4.0,1.0,0.0,4.0,5.0,16.0,12.6,2,13.0,6.0,0.461538462,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,13.0,71.0,3.736842105263158,11.0,97.0,5.105263157894737,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+29),W (+29)
5.0,5.0,2022/10/28,24-097,PHO,NOP,1,7.7,2.0,4.0,0.5,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.3,-5,4.0,2.0,0.5,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,3.0,97.0,5.105263157894737,3.3,105.5,5.552631578947368,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+13),W (+13)
6.0,,2022/10/30,24-099,PHO,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,,88.0,4.631578947368421,0.0,106.2,5.589473684210526,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+15),W (+15)
7.0,,2022/11/1,24-101,PHO,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,,78.0,4.105263157894737,0.0,82.30000000000001,4.331578947368421,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+9),W (+9)
8.0,6.0,2022/11/4,24-104,PHO,POR,1,29.5,10.0,14.0,0.714,2.0,2.0,1,2,2.0,1,4.0,4.0,8.0,1.0,0.0,0.0,4.0,5.0,24.0,16.9,3,12.0,8.0,0.666666667,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,13.0,64.0,3.3684210526315788,16.100000000000005,75.2,3.9578947368421056,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,L (-2),L (-2)
9.0,7.0,2022/11/5,24-105,PHO,POR,1,15.883333333333333,3.0,6.0,0.5,0.0,1.0,0,1,2.0,0.5,2.0,4.0,6.0,1.0,0.0,2.0,1.0,3.0,7.0,6.1,1,5.0,3.0,0.6,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,7.0,94.0,4.947368421052632,5.699999999999999,88.7,4.66842105263158,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,W (+20),W (+20)
10.0,8.0,2022/11/7,24-107,PHO,PHI,1,30.6,6.0,11.0,0.545,0.0,0.0,,2,2.0,1,3.0,4.0,7.0,0.0,1.0,1.0,0.0,4.0,14.0,12.1,-13,11.0,6.0,0.545454545,47,13,41,49,62,31,45,26,49,54,58,30,47,64,61,42,48,59,74,57,53,31,60,18,69,72,40,83,79,0.770491803,0.30952381,0.854166667,0.830508475,0.837837838,0.543859649,0.849056604,0.838709677,0.816666667,0,0.782608696,0.805555556,0.75,0.56626506,0.810126582,6,7,21,12,17,43,67,47,25,42,63,0.139534884,0,0.14893617,0.84,0.285714286,0.26984127,19,10.0,50.0,2.631578947368421,11.3,57.39999999999999,3.021052631578947,19.9,6.2,0.9,0.9,0.0,0.1290911041957291,0.617,0.027,0.225,1.5,3.3,L (-12),L (-12)
