Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
0,1,,2022-10-19,22-209,PHO,,DAL,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
1,2,,2022-10-21,22-211,PHO,@,POR,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
2,3,1,2022-10-23,22-213,PHO,@,LAC,W (+17),0,1.2333333333333334,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,1.0,0.0,0.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
3,4,,2022-10-25,22-215,PHO,,GSW,W (+29),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
4,5,2,2022-10-28,22-218,PHO,,NOP,W (+13),0,1.6333333333333333,1.0,3.0,.333,0.0,2.0,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-1,1.0,1.0,1.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
5,6,3,2022-10-30,22-220,PHO,,HOU,W (+15),0,1.0166666666666666,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
6,7,,2022-11-01,22-222,PHO,,MIN,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
7,8,,2022-11-04,22-225,PHO,,POR,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
8,9,4,2022-11-05,22-226,PHO,,POR,W (+20),0,5.433333333333334,1.0,5.0,.200,0.0,2.0,.000,0,0,,0,0,0,0,0,0,1,0,2,-2.1,-9,3.0,1.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
9,10,,2022-11-07,22-228,PHO,@,PHI,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
