Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Torrey Craig
0,1,1,2022/10/19,26-050,PHO,,DAL,W (+2),1,41.083333333333336,5.0,10.0,0.5,0.0,2.0,0,3,4,0.75,3,8,11,1,0,1,2,4,13,9.9,15,8.0,5.0,0.625,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
1,2,2,2022/10/21,26-052,PHO,@,POR,L (-2),1,37.68333333333333,6.0,10.0,0.6,0.0,0.0,,1,2,0.5,2,5,7,6,1,0,3,4,13,11.5,6,10.0,6.0,0.6,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
2,3,3,2022/10/23,26-054,PHO,@,LAC,W (+17),1,36.483333333333334,3.0,9.0,0.333,1.0,3.0,0.333,0,0,,1,3,4,4,0,1,1,3,7,4.8,9,6.0,2.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
3,4,4,2022/10/25,26-056,PHO,,GSW,W (+29),1,32.9,7.0,8.0,0.875,0.0,0.0,,3,3,1,3,3,6,2,1,2,1,3,17,18.8,21,8.0,7.0,0.875,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
4,5,5,2022/10/28,26-059,PHO,,NOP,W (+13),1,31.133333333333333,10.0,13.0,0.769,3.0,5.0,0.6,4,4,1,0,2,2,4,1,3,1,1,27,27,-1,8.0,7.0,0.875,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
5,6,6,2022/10/30,26-061,PHO,,HOU,W (+15),1,32.8,5.0,7.0,0.714,2.0,3.0,0.667,3,4,0.75,1,4,5,1,0,1,1,3,15,12.8,12,4.0,3.0,0.75,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
6,7,7,2022/11/1,26-063,PHO,,MIN,W (+9),1,38.2,7.0,10.0,0.7,1.0,2.0,0.5,4,4,1,2,1,3,4,1,1,1,1,19,19.6,20,8.0,6.0,0.75,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
7,8,8,2022/11/4,26-066,PHO,,POR,L (-2),1,37.71666666666667,4.0,9.0,0.444,2.0,3.0,0.667,2,2,1,0,5,5,2,2,0,1,2,12,10.4,7,6.0,2.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
8,9,9,2022/11/5,26-067,PHO,,POR,W (+20),1,27.0,3.0,7.0,0.429,1.0,2.0,0.5,4,5,0.8,0,1,1,2,2,1,0,0,11,11.3,18,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
9,10,10,2022/11/7,26-069,PHO,@,PHI,L (-12),1,43.516666666666666,6.0,12.0,0.5,1.0,2.0,0.5,2,2,1,0,5,5,1,0,1,0,1,15,11.5,-14,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
