Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2022-10-18,23-121,GSW,LAL,0,28.183333333333334,4.0,15.0,0.267,2.0,9.0,0.222,2,2.0,1.0,0.0,2.0,2.0,7.0,2.0,0.0,4.0,2.0,12.0,5.8,1,6.0,2.0,0.3333333333333333,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,69.0,4.3125,4.9999999999999964,78.39999999999999,4.9,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,W (+14),W (+14)
2.0,2,2022-10-21,23-124,GSW,DEN,0,27.33333333333333,2.0,5.0,0.4,0.0,2.0,0.0,3,4.0,0.75,0.0,1.0,1.0,7.0,3.0,0.0,4.0,0.0,7.0,8.1,-20,3.0,2.0,0.6666666666666666,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,58.0,3.625,6.9,74.6,4.6625,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-5),L (-5)
3.0,3,2022-10-23,23-126,GSW,SAC,0,27.05,7.0,14.0,0.5,3.0,5.0,0.6,7,9.0,0.778,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,24.0,18.2,-18,9.0,4.0,0.4444444444444444,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,54.0,3.375,15.400000000000002,67.29999999999998,4.206249999999999,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,W (+5),W (+5)
4.0,4,2022-10-25,23-128,GSW,PHO,0,27.08333333333333,6.0,12.0,0.5,2.0,5.0,0.4,3,4.0,0.75,0.0,2.0,2.0,5.0,0.0,0.0,1.0,5.0,17.0,11.7,-15,7.0,4.0,0.5714285714285714,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,56.0,3.5,10.500000000000002,53.400000000000006,3.3375000000000004,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-29),L (-29)
5.0,5,2022-10-27,23-130,GSW,MIA,0,21.35,4.0,7.0,0.571,1.0,4.0,0.25,2,2.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,2.0,2.0,11.0,11.1,-1,3.0,3.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,78.0,4.875,10.3,77.69999999999999,4.856249999999999,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,W (+13),W (+13)
6.0,6,2022-10-29,23-132,GSW,CHO,0,36.5,10.0,20.0,0.5,4.0,11.0,0.364,0,0.0,,0.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,24.0,15.5,2,9.0,6.0,0.6666666666666666,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,74.0,4.625,15.5,70.79999999999998,4.424999999999999,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-7),L (-7)
7.0,7,2022-10-30,23-133,GSW,DET,1,36.03333333333333,10.0,21.0,0.476,5.0,13.0,0.385,5,5.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,3.0,4.0,30.0,20.8,-1,8.0,5.0,0.625,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,50.0,3.125,18.8,52.8,3.3,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-14),L (-14)
8.0,8,2022-11-01,23-135,GSW,MIA,0,28.883333333333333,3.0,10.0,0.3,1.0,7.0,0.143,2,4.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,9.0,-1.4,-23,3.0,2.0,0.6666666666666666,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-6.0,84.0,5.25,-2.200000000000001,81.19999999999999,5.074999999999999,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-7),L (-7)
9.0,9,2022-11-03,23-137,GSW,ORL,0,24.316666666666663,4.0,12.0,0.333,1.0,5.0,0.2,2,3.0,0.667,1.0,1.0,2.0,2.0,0.0,0.0,4.0,2.0,11.0,1.4,-10,7.0,3.0,0.4285714285714285,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-4.0,87.0,5.4375,0.6000000000000014,88.5,5.53125,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-1),L (-1)
10.0,10,2022-11-04,23-138,GSW,NOP,1,38.4,5.0,18.0,0.278,3.0,10.0,0.3,7,7.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,5.0,2.0,20.0,11.9,-1,8.0,2.0,0.25,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,51.0,3.1875,9.1,48.39999999999999,3.0249999999999995,14.6,3.2,-1.9,-0.1,-1.8,0.1717420280939198,0.573,0.498,0.325,0.1,1.4,L (-9),L (-9)
