Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-18,27-237,GSW,LAL,1,29.466666666666665,8.0,14.0,.571,4.0,7.0,.571,0,0.0,,1.0,5.0,6.0,4.0,1.0,1.0,1.0,5.0,20.0,17.1,+25,7.0,4.0,0.5714285714285714,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,17.0,54.0,3.6,17.1,67.89999999999999,4.526666666666666,0.0649031067363888,W (+14),W (+14)
2.0,2.0,2022-10-21,27-240,GSW,DEN,1,37.41666666666666,8.0,17.0,.471,2.0,8.0,.250,5,7.0,.714,3.0,5.0,8.0,3.0,3.0,1.0,0.0,2.0,23.0,22.1,+7,9.0,6.0,0.6666666666666666,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,14.0,49.0,3.2666666666666666,20.1,62.49999999999999,4.166666666666666,0.0649031067363888,L (-5),L (-5)
3.0,3.0,2022-10-23,27-242,GSW,SAC,1,31.5,10.0,19.0,.526,2.0,6.0,.333,2,3.0,.667,1.0,4.0,5.0,1.0,3.0,2.0,0.0,2.0,24.0,20.5,+14,13.0,8.0,0.6153846153846154,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,13.0,46.0,3.066666666666667,19.700000000000003,64.19999999999999,4.279999999999999,0.0649031067363888,W (+5),W (+5)
4.0,4.0,2022-10-25,27-244,GSW,PHO,1,31.33333333333333,7.0,17.0,.412,2.0,7.0,.286,0,0.0,,2.0,4.0,6.0,3.0,1.0,1.0,0.0,4.0,16.0,11.7,-25,10.0,5.0,0.5,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,10.0,53.0,3.533333333333333,11.7,55.30000000000001,3.686666666666667,0.0649031067363888,L (-29),L (-29)
5.0,5.0,2022-10-27,27-246,GSW,MIA,1,36.68333333333333,5.0,10.0,.500,2.0,5.0,.400,6,6.0,1.000,3.0,7.0,10.0,2.0,1.0,1.0,2.0,4.0,18.0,16.7,+17,5.0,3.0,0.6,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,14.0,73.0,4.866666666666666,14.299999999999995,81.6,5.44,0.0649031067363888,W (+13),W (+13)
6.0,6.0,2022-10-29,27-248,GSW,CHO,1,40.86666666666667,4.0,13.0,.308,2.0,6.0,.333,0,0.0,,2.0,4.0,6.0,4.0,1.0,0.0,0.0,2.0,10.0,8.1,-3,7.0,2.0,0.2857142857142857,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,8.0,76.0,5.066666666666666,8.1,79.49999999999999,5.299999999999999,0.0649031067363888,L (-7),L (-7)
7.0,7.0,2022-10-30,27-249,GSW,DET,1,25.1,4.0,15.0,.267,1.0,3.0,.333,1,1.0,1.000,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,10.0,3.4,-25,12.0,3.0,0.25,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,-1.0,61.0,4.066666666666666,2.999999999999999,72.6,4.84,0.0649031067363888,L (-14),L (-14)
8.0,8.0,2022-11-01,27-251,GSW,MIA,1,34.65,8.0,12.0,.667,4.0,7.0,.571,1,2.0,.500,1.0,3.0,4.0,5.0,0.0,2.0,1.0,3.0,21.0,19.7,+8,5.0,4.0,0.8,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,17.0,61.0,4.066666666666666,19.3,61.19999999999998,4.079999999999999,0.0649031067363888,L (-7),L (-7)
9.0,9.0,2022-11-03,27-253,GSW,ORL,1,32.95,6.0,12.0,.500,2.0,5.0,.400,1,3.0,.333,1.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,15.0,8.8,+3,7.0,4.0,0.5714285714285714,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,5.0,78.0,5.2,8.399999999999999,91.7,6.113333333333333,0.0649031067363888,L (-1),L (-1)
10.0,,2022-11-04,27-254,GSW,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,52.0,3.466666666666667,0.0,65.09999999999998,4.339999999999999,0.0649031067363888,L (-9),L (-9)
