Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
24,24,19,2022-12-03,20-186,GSW,,HOU,W (+19),0,17:00,4.0,5.0,.800,3.0,3.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,10.1,-16,2.0,1.0,0.5,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,8.0,96.0,6.0,10.1,90.0,5.625
25,25,20,2022-12-05,20-188,GSW,,IND,L (-8),0,8:10,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.8,-8,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,1.0,70.0,4.375,-0.8000000000000002,74.3,4.64375
26,26,21,2022-12-07,20-190,GSW,@,UTA,L (-1),0,18:40,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,4.2,+11,1.0,0.0,0.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,3.0,66.0,4.125,4.2,82.69999999999999,5.168749999999999
27,27,22,2022-12-10,20-193,GSW,,BOS,W (+16),0,11:56,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.5,+2,1.0,1.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,4.0,84.0,5.25,1.4999999999999991,92.6,5.7875
28,28,23,2022-12-13,20-196,GSW,@,MIL,L (-17),0,10:24,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.3,+2,1.0,0.0,0.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,3.0,56.0,3.5,1.2999999999999996,65.79999999999998,4.112499999999999
29,29,24,2022-12-14,20-197,GSW,@,IND,L (-6),0,22:57,5.0,6.0,.833,2.0,3.0,.667,1,1.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,13.0,11.4,-2,3.0,3.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,9.0,58.0,3.625,10.999999999999998,66.5,4.15625
30,30,25,2022-12-16,20-199,GSW,@,PHI,L (-12),0,15:47,1.0,4.0,.250,1.0,4.0,.250,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,-6,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,3.0,75.0,4.6875,2.999999999999999,73.60000000000001,4.6000000000000005
31,31,26,2022-12-18,20-201,GSW,@,TOR,W (+16),0,10:51,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.8,+6,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,0.0,85.0,5.3125,-0.8,97.0,6.0625
32,32,27,2022-12-20,20-203,GSW,@,NYK,L (-38),1,31:41,4.0,9.0,.444,3.0,6.0,.500,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,11.0,9.3,-17,3.0,1.0,0.3333333333333333,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,7.0,35.0,2.1875,9.299999999999995,44.6,2.7875
33,33,28,2022-12-21,20-204,GSW,@,BRK,L (-30),1,30:55,7.0,11.0,.636,3.0,5.0,.600,0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,17.0,14.3,-14,6.0,4.0,0.6666666666666666,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,11.0,33.0,2.0625,14.300000000000004,39.2,2.45
34,34,29,2022-12-25,20-208,GSW,,MEM,W (+14),0,17:21,4.0,7.0,.571,1.0,3.0,.333,1,1.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,6.9,+2,4.0,3.0,0.75,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,4.0,91.0,5.6875,6.499999999999999,91.39999999999998,5.712499999999999
35,35,30,2022-12-27,20-210,GSW,,CHO,W (+5),0,13:07,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.6,+1,4.0,2.0,0.5,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,2.0,64.0,4.0,2.599999999999999,63.90000000000001,3.993750000000001
36,36,31,2022-12-28,20-211,GSW,,UTA,W (+5),0,12:56,1.0,2.0,.500,1.0,2.0,.500,1,2.0,.500,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,3.5,-3,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,2.0,81.0,5.0625,3.1000000000000014,76.8,4.8
37,37,32,2022-12-30,20-213,GSW,,POR,W (+6),0,8:28,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-7,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,-3.0,83.0,5.1875,-2.1,95.3,5.95625
38,38,33,2023-01-02,20-216,GSW,,ATL,W (+2),0,11:42,2.0,4.0,.500,0.0,2.0,.000,2,5.0,.400,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.8,-6,2.0,2.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,-2.0,102.0,6.375,2.0,107.0,6.6875
39,39,34,2023-01-04,20-218,GSW,,DET,L (-3),0,15:06,3.0,5.0,.600,1.0,3.0,.333,1,2.0,.500,0.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,8.0,6.9,+3,2.0,2.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,6.0,80.0,5.0,6.499999999999997,84.7,5.29375
40,40,35,2023-01-07,20-221,GSW,,ORL,L (-14),0,9:08,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5,1.0,0.0,0.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,0.0,73.0,4.5625,-0.3999999999999997,68.0,4.25
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-10,20-224,GSW,,PHO,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,69.0,4.3125,0.0,76.3,4.76875
43,42,36,2023-01-13,20-227,GSW,@,SAS,W (+31),0,18:03,4.0,7.0,.571,2.0,5.0,.400,2,4.0,.500,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,12.0,12.0,+7,2.0,2.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,7.0,128.0,8.0,11.2,123.39999999999998,7.712499999999999
44,43,37,2023-01-15,20-229,GSW,@,CHI,L (-14),0,6:03,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.7,-8,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,1.0,86.0,5.375,1.6999999999999995,86.69999999999999,5.418749999999999
45,44,38,2023-01-16,20-230,GSW,@,WAS,W (+9),0,5:23,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-2,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,-1.0,88.0,5.5,-1.1,97.7,6.10625
46,45,,2023-01-19,20-233,GSW,@,BOS,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,76.0,4.75,0.0,80.19999999999999,5.012499999999999
47,46,39,2023-01-20,20-234,GSW,@,CLE,W (+6),0,14:15,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,4.3,+1,0.0,0.0,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,7.0,78.0,4.875,4.299999999999999,90.1,5.63125
48,47,,2023-01-22,20-236,GSW,,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,84.0,5.25,0.0,94.4,5.9
49,48,,2023-01-25,20-239,GSW,,MEM,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,85.0,5.3125,0.0,95.1,5.94375
50,49,,2023-01-27,20-241,GSW,,TOR,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,116.0,7.25,0.0,113.8,7.1125
51,50,,2023-01-30,20-244,GSW,@,OKC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,102.0,6.375,0.0,110.0,6.875
52,51,,2023-02-01,20-246,GSW,@,MIN,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,67.0,4.1875,0.0,75.39999999999999,4.7124999999999995
53,52,40,2023-02-02,20-247,GSW,@,DEN,L (-17),0,15:52,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,1.0,0.0,0.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,0.0,79.0,4.9375,0.0,74.79999999999998,4.674999999999999
54,53,,2023-02-04,20-249,GSW,,DAL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,,92.0,5.75,0.0,95.9,5.99375
55,54,41,2023-02-06,20-251,GSW,,OKC,W (+27),0,10:35,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,2.9,+9,2.0,2.0,1.0,4,25,48,53,54,21,46,51,63,63,50,29,12,38,40,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,31.0,12.0,56.0,45.0,0.5,0.6756756756756757,0.7741935483870968,0.7361111111111112,0.7397260273972602,0.4666666666666667,0.8070175438596491,0.7611940298507462,0.7682926829268293,0.7682926829268293,0.7246376811594203,0.0,0.935483870967742,1.0,0.6785714285714286,0.8888888888888888,5,22.0,70.0,0.2272727272727272,0.0,16,2.0,122.0,7.625,2.9000000000000004,120.0,7.5
