Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,20-012,GSW,LAL,0,13.066666666666666,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,-2.9,-8,1.0,0.0,0.0,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,72.0,4.5,-2.9,86.3,5.39375,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,W (+14),W (+14)
2.0,2.0,2022-10-21,20-015,GSW,DEN,0,7.566666666666666,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.6,-10,2.0,2.0,1.0,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,61.0,3.8125,1.5999999999999996,79.89999999999999,4.99375,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-5),L (-5)
3.0,3.0,2022-10-23,20-017,GSW,SAC,0,7.366666666666666,1.0,2.0,.500,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.2,-11,2.0,1.0,0.5,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,60.0,3.75,0.4000000000000001,82.29999999999998,5.143749999999999,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,W (+5),W (+5)
4.0,4.0,2022-10-25,20-019,GSW,PHO,0,15.15,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.1,-13,3.0,1.0,0.3333333333333333,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,63.0,3.9375,0.3000000000000005,63.60000000000001,3.975000000000001,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-29),L (-29)
5.0,,2022-10-27,20-021,GSW,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,,87.0,5.4375,0.0,88.0,5.5,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,W (+13),W (+13)
6.0,5.0,2022-10-29,20-023,GSW,CHO,0,2.8166666666666664,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0,1.0,0.0,0.0,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,83.0,5.1875,0.6,85.69999999999999,5.356249999999999,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-7),L (-7)
7.0,6.0,2022-10-30,20-024,GSW,DET,0,19.183333333333334,1.0,3.0,.333,0.0,1.0,.000,2,2.0,1.000,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,3.6,-2,2.0,1.0,0.5,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,3.0,57.0,3.5625,2.8000000000000007,68.8,4.3,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-14),L (-14)
8.0,,2022-11-01,20-026,GSW,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,,78.0,4.875,0.0,79.0,4.9375,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-7),L (-7)
9.0,,2022-11-03,20-028,GSW,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,,83.0,5.1875,0.0,89.10000000000001,5.5687500000000005,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-1),L (-1)
10.0,7.0,2022-11-04,20-029,GSW,NOP,1,37.75,7.0,12.0,.583,1.0,3.0,.333,3,4.0,.750,0.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,18.0,12.7,+2,9.0,6.0,0.6666666666666666,2,27,53,60,58,18,50,67,67,56,51,25,11,44,34,8.0,37.0,62.0,72.0,73.0,45.0,57.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.25,0.7297297297297297,0.8548387096774194,0.8333333333333334,0.7945205479452054,0.4,0.8771929824561403,0.8170731707317073,0.8170731707317073,0.8115942028985508,0.0,0.8095238095238095,0.8064516129032258,0.9166666666666666,0.7857142857142857,0.7555555555555555,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,44.0,2.75,11.499999999999998,46.0,2.875,13.3,2.4,-1.7,-1.7,-0.1,0.0682866810212242,0.597,0.294,0.278,0.1,1.0,L (-9),L (-9)
