Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,32-252,GSW,LAL,1,19.65,6.0,13.0,.462,2.0,6.0,.333,4,5.0,.800,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,18.0,11.4,+11,7.0,4.0,0.5714285714285714,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,4.0,67.0,4.1875,9.8,73.6,4.6,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+14),W (+14)
2.0,2.0,2022-10-21,32-255,GSW,DEN,1,23.566666666666663,6.0,14.0,.429,4.0,10.0,.400,0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,16.0,8.3,+9,4.0,2.0,0.5,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,5.0,58.0,3.625,8.299999999999995,73.19999999999999,4.574999999999999,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-5),L (-5)
3.0,3.0,2022-10-23,32-257,GSW,SAC,1,27.05,3.0,10.0,.300,2.0,7.0,.286,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,8.0,4.1,+15,3.0,1.0,0.3333333333333333,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,4.0,55.0,3.4375,4.099999999999998,78.6,4.9125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+5),W (+5)
4.0,4.0,2022-10-25,32-259,GSW,PHO,1,18.53333333333333,1.0,8.0,.125,0.0,5.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,-2.3,-12,3.0,1.0,0.3333333333333333,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,-3.0,66.0,4.125,-2.3,66.20000000000002,4.137500000000001,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-29),L (-29)
5.0,5.0,2022-10-27,32-261,GSW,MIA,1,29.03333333333333,6.0,19.0,.316,5.0,14.0,.357,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,19.0,8.0,+7,5.0,1.0,0.2,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,0.0,87.0,5.4375,7.199999999999999,80.8,5.05,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+13),W (+13)
6.0,6.0,2022-10-29,32-263,GSW,CHO,1,31.816666666666663,5.0,14.0,.357,1.0,7.0,.143,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,11.0,6.1,-16,7.0,4.0,0.5714285714285714,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,4.0,80.0,5.0,6.099999999999998,80.20000000000002,5.012500000000001,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-7),L (-7)
7.0,,2022-10-30,32-264,GSW,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,,60.0,3.75,0.0,71.6,4.475,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-14),L (-14)
8.0,7.0,2022-11-01,32-266,GSW,MIA,1,30.616666666666667,7.0,19.0,.368,4.0,12.0,.333,1,1.0,1.000,0.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,19.0,8.1,+6,7.0,3.0,0.4285714285714285,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,2.0,76.0,4.75,7.699999999999997,71.30000000000001,4.456250000000001,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-7),L (-7)
9.0,8.0,2022-11-03,32-268,GSW,ORL,1,34.016666666666666,10.0,24.0,.417,7.0,15.0,.467,0,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,27.0,18.1,+13,9.0,3.0,0.3333333333333333,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,11.0,72.0,4.5,18.100000000000005,71.0,4.4375,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-1),L (-1)
10.0,,2022-11-04,32-269,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,,52.0,3.25,0.0,57.49999999999999,3.59375,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-9),L (-9)
