Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-18,19-334,GSW,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,71.0,4.4375,0.0,83.39999999999999,5.2125,0.0125089715984825,W (+14),W (+14)
2.0,,2022-10-21,19-337,GSW,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,63.0,3.9375,0.0,81.5,5.09375,0.0125089715984825,L (-5),L (-5)
3.0,,2022-10-23,19-339,GSW,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,59.0,3.6875,0.0,82.69999999999999,5.168749999999999,0.0125089715984825,W (+5),W (+5)
4.0,,2022-10-25,19-341,GSW,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,63.0,3.9375,0.0,63.90000000000002,3.993750000000001,0.0125089715984825,L (-29),L (-29)
5.0,,2022-10-27,19-343,GSW,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,87.0,5.4375,0.0,88.0,5.5,0.0125089715984825,W (+13),W (+13)
6.0,,2022-10-29,19-345,GSW,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,84.0,5.25,0.0,86.30000000000001,5.393750000000001,0.0125089715984825,L (-7),L (-7)
7.0,1.0,2022-10-30,19-346,GSW,DET,0,0.7666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,0.0,60.0,3.75,0.0,71.6,4.475,0.0125089715984825,L (-14),L (-14)
8.0,,2022-11-01,19-348,GSW,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,78.0,4.875,0.0,79.0,4.9375,0.0125089715984825,L (-7),L (-7)
9.0,,2022-11-03,19-350,GSW,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,83.0,5.1875,0.0,89.10000000000001,5.5687500000000005,0.0125089715984825,L (-1),L (-1)
10.0,2.0,2022-11-04,19-351,GSW,NOP,0,3.9,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-13,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,-1.0,53.0,3.3125,-0.7,58.19999999999999,3.6374999999999993,0.0125089715984825,L (-9),L (-9)
