Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,34-238,GSW,SAC,1.0,37.71666666666667,17.0,24.0,0.708,7.0,12.0,0.583,6.0,7.0,0.857,0.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,47.0,43.8,20.0,12.0,10.0,0.8333333333333334,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,32.0,48.0,3.0,41.400000000000006,43.8,2.7375,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+3),W (+3)
12.0,11.0,2022-11-11,34-242,GSW,CLE,1.0,34.0,15.0,23.0,0.652,6.0,11.0,0.545,4.0,6.0,0.667,0.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,40.0,31.2,7.0,12.0,9.0,0.75,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,19.0,60.0,3.75,29.60000000000001,48.39999999999999,3.0249999999999995,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+5),W (+5)
13.0,12.0,2022-11-13,34-244,GSW,SAC,1.0,36.85,9.0,17.0,0.529,3.0,9.0,0.333,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,0.0,27.0,20.3,0.0,8.0,6.0,0.75,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,61.0,3.8125,17.9,62.0,3.875,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,L (-7),L (-7)
14.0,13.0,2022-11-14,34-245,GSW,SAS,1.0,27.016666666666666,5.0,11.0,0.455,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,16.0,15.3,17.0,4.0,2.0,0.5,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,92.0,5.75,14.1,96.8,6.05,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+37),W (+37)
15.0,14.0,2022-11-16,34-247,GSW,PHO,1.0,36.23333333333333,17.0,28.0,0.607,7.0,11.0,0.636,9.0,9.0,1.0,0.0,9.0,9.0,6.0,0.0,1.0,3.0,2.0,50.0,41.0,-14.0,17.0,10.0,0.5882352941176471,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,26.0,45.0,2.8125,37.40000000000001,43.49999999999999,2.71875,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,L (-11),L (-11)
16.0,15.0,2022-11-18,34-249,GSW,NYK,1.0,33.833333333333336,9.0,19.0,0.474,5.0,13.0,0.385,1.0,3.0,0.333,0.0,6.0,6.0,10.0,2.0,0.0,5.0,2.0,24.0,18.5,18.0,6.0,4.0,0.6666666666666666,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,59.0,3.6875,18.10000000000001,63.79999999999999,3.9875,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+10),W (+10)
17.0,16.0,2022-11-20,34-251,GSW,HOU,1.0,36.98333333333333,11.0,20.0,0.55,7.0,14.0,0.5,4.0,5.0,0.8,0.0,6.0,6.0,15.0,3.0,2.0,1.0,3.0,33.0,37.5,22.0,6.0,4.0,0.6666666666666666,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,33.0,74.0,4.625,35.89999999999999,70.79999999999998,4.424999999999999,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+7),W (+7)
18.0,,2022-11-21,34-252,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,,39.0,2.4375,0.0,36.99999999999999,2.3125,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,L (-45),L (-45)
19.0,17.0,2022-11-23,34-254,GSW,LAC,1.0,31.683333333333334,9.0,20.0,0.45,4.0,10.0,0.4,0.0,0.0,,1.0,5.0,6.0,9.0,0.0,0.0,1.0,0.0,22.0,19.1,18.0,10.0,5.0,0.5,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,16.0,87.0,5.4375,19.1,85.6,5.35,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+17),W (+17)
20.0,18.0,2022-11-25,34-256,GSW,UTA,1.0,35.71666666666667,13.0,23.0,0.565,6.0,13.0,0.462,1.0,1.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,5.0,4.0,33.0,21.8,19.0,10.0,7.0,0.7,7,32,40,49,54,11,40,44,56,56,49,38,14,5,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,45.0,0.875,0.8648648648648649,0.6451612903225806,0.6805555555555556,0.7397260273972602,0.2444444444444444,0.7017543859649122,0.6567164179104478,0.6829268292682927,0.6829268292682927,0.7101449275362319,0.0,0.6031746031746031,0.4516129032258064,0.4166666666666667,0.4222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,86.0,5.375,21.4,84.6,5.2875,24.1,7.8,7.5,7.5,0.1,0.1689736491335999,0.656,0.564,0.248,4.7,5.8,W (+11),W (+11)
