Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-271,CLE,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,72.0,4.5,0.0,89.8,5.6125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-3),L (-3)
2.0,,2022-10-22,25-274,CLE,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,91.0,5.6875,0.0,103.59999999999998,6.474999999999999,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+32),W (+32)
3.0,,2022-10-23,25-275,CLE,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,72.0,4.5,0.0,93.79999999999998,5.862499999999999,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+10),W (+10)
4.0,,2022-10-26,25-278,CLE,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,56.0,3.5,0.0,76.0,4.75,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+11),W (+11)
5.0,,2022-10-28,25-280,CLE,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,73.0,4.5625,0.0,101.1,6.31875,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+9),W (+9)
6.0,1.0,2022-10-30,25-282,CLE,NYK,0,0.3,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,0.0,76.0,4.75,0.0,82.8,5.175,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+13),W (+13)
7.0,,2022-11-02,25-285,CLE,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,77.0,4.8125,0.0,88.20000000000002,5.512500000000001,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+1),W (+1)
8.0,2.0,2022-11-04,25-287,CLE,DET,0,5.15,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.9,-1,1.0,1.0,1.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,4.0,85.0,5.3125,2.9,98.2,6.1375,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+24),W (+24)
9.0,,2022-11-06,25-289,CLE,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,68.0,4.25,0.0,89.69999999999999,5.606249999999999,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+14),W (+14)
10.0,,2022-11-07,25-290,CLE,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,88.0,5.5,0.0,97.7,6.10625,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-2),L (-2)
