Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,25-354,CLE,SAC,0,14.4,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1,+8,0.0,0.0,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,67.0,4.1875,2.1,90.2,5.6375,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-7),L (-7)
12.0,,2022-11-11,25-356,CLE,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,55.0,3.4375,0.0,71.9,4.49375,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-5),L (-5)
13.0,,2022-11-13,25-358,CLE,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,62.0,3.875,0.0,94.4,5.9,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-5),L (-5)
14.0,,2022-11-16,25-361,CLE,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,60.0,3.75,0.0,79.50000000000001,4.968750000000001,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-15),L (-15)
15.0,,2022-11-18,25-363,CLE,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,78.0,4.875,0.0,100.5,6.28125,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+10),W (+10)
16.0,,2022-11-20,26-000,CLE,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,99.0,6.1875,0.0,105.40000000000002,6.587500000000001,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+26),W (+26)
17.0,,2022-11-21,26-001,CLE,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,81.0,5.0625,0.0,102.9,6.43125,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+12),W (+12)
18.0,12.0,2022-11-23,26-003,CLE,POR,0,18.08333333333333,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.2,+17,2.0,2.0,1.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,73.0,4.5625,3.2,92.6,5.7875,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+18),W (+18)
19.0,13.0,2022-11-25,26-005,CLE,MIL,1,36.28333333333333,2.0,7.0,.286,2.0,6.0,.333,1,2.0,.500,2.0,10.0,12.0,2.0,1.0,1.0,0.0,4.0,7.0,8.4,-22,1.0,0.0,0.0,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,14.0,47.0,2.9375,7.999999999999998,83.4,5.2125,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,L (-15),L (-15)
20.0,14.0,2022-11-27,26-007,CLE,DET,1,34.5,1.0,5.0,.200,1.0,5.0,.200,0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,1.0,4.0,3.0,0.1,-6,0.0,0.0,,37,42,35,36,2,43,39,7,36,14,28,12,29,22,23,74.0,77.0,69.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5,0.5454545454545454,0.5072463768115942,0.5294117647058824,0.6666666666666666,0.5443037974683544,0.5131578947368421,0.5833333333333334,0.5294117647058824,0.2258064516129032,0.4516129032258064,0.5454545454545454,0.6041666666666666,0.6666666666666666,0.6216216216216216,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,5.0,36.0,2.25,0.1,62.8,3.925,8.5,1.8,-0.7,-2.9,2.1,0.0223791417707767,0.55,0.718,0.13,0.3,0.4,W (+8),W (+8)
