Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-266,CLE,TOR,1.0,13.3,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,4.0,-1.1,-10.0,7.0,2.0,0.2857142857142857,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,-2.0,74.0,4.625,-1.100000000000001,90.9,5.68125,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,L (-3),L (-3)
2.0,,2022-10-22,22-269,CLE,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,91.0,5.6875,0.0,103.59999999999998,6.474999999999999,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+32),W (+32)
3.0,,2022-10-23,22-270,CLE,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,72.0,4.5,0.0,93.79999999999998,5.862499999999999,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+10),W (+10)
4.0,,2022-10-26,22-273,CLE,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,56.0,3.5,0.0,76.0,4.75,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+11),W (+11)
5.0,,2022-10-28,22-275,CLE,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,73.0,4.5625,0.0,101.1,6.31875,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+9),W (+9)
6.0,,2022-10-30,22-277,CLE,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,76.0,4.75,0.0,82.8,5.175,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+13),W (+13)
7.0,2.0,2022-11-02,22-280,CLE,BOS,1.0,42.35,9.0,20.0,0.45,5.0,11.0,0.455,6.0,7.0,0.857,0.0,5.0,5.0,12.0,3.0,0.0,1.0,3.0,29.0,28.9,10.0,9.0,4.0,0.4444444444444444,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,21.0,56.0,3.5,26.5,61.7,3.85625,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+1),W (+1)
8.0,,2022-11-04,22-282,CLE,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,89.0,5.5625,0.0,101.09999999999997,6.318749999999998,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+24),W (+24)
9.0,3.0,2022-11-06,22-284,CLE,LAL,1.0,38.95,7.0,18.0,0.389,3.0,9.0,0.333,7.0,7.0,1.0,1.0,3.0,4.0,7.0,0.0,0.0,5.0,4.0,24.0,14.1,6.0,9.0,4.0,0.4444444444444444,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,5.0,63.0,3.9375,11.299999999999994,78.4,4.9,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,W (+14),W (+14)
10.0,4.0,2022-11-07,22-285,CLE,LAC,1.0,37.78333333333333,8.0,17.0,0.471,2.0,9.0,0.222,1.0,3.0,0.333,1.0,0.0,1.0,12.0,1.0,0.0,5.0,1.0,19.0,14.2,-2.0,8.0,6.0,0.75,63,64,35,59,3,69,65,9,56,32,52,17,36,29,27,74.0,77.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8513513513513513,0.8311688311688312,0.7954545454545454,0.8676470588235294,1.0,0.8734177215189873,0.8552631578947368,0.75,0.8235294117647058,0.5161290322580645,0.8387096774193549,0.7727272727272727,0.75,0.8787878787878788,0.7297297297297297,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,80.0,5.0,13.8,83.9,5.24375,18.8,7.6,2.4,3.2,-0.7,0.1618685497012493,0.587,0.365,0.284,2.7,4.5,L (-2),L (-2)
