Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-194,CLE,TOR,0,27.666666666666668,6.0,12.0,.500,3.0,6.0,.500,2,2.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,17.0,10.4,+7,6.0,3.0,0.5,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,6.0,66.0,4.125,9.599999999999998,80.2,5.0125,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,L (-3),L (-3)
2.0,2.0,2022-10-22,27-197,CLE,CHI,0,25.73333333333333,5.0,8.0,.625,2.0,3.0,.667,3,3.0,1.000,0.0,2.0,2.0,4.0,0.0,0.0,1.0,5.0,15.0,11.8,+41,5.0,3.0,0.6,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,9.0,82.0,5.125,10.6,93.0,5.8125,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+32),W (+32)
3.0,3.0,2022-10-23,27-198,CLE,WAS,0,31.666666666666668,6.0,10.0,.600,3.0,5.0,.600,1,1.0,1.000,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,16.0,13.3,+3,5.0,3.0,0.6,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,9.0,63.0,3.9375,12.9,80.89999999999999,5.05625,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+10),W (+10)
4.0,4.0,2022-10-26,27-201,CLE,ORL,0,31.216666666666665,5.0,12.0,.417,1.0,5.0,.200,3,5.0,.600,2.0,5.0,7.0,3.0,0.0,1.0,1.0,2.0,14.0,10.7,+5,7.0,4.0,0.5714285714285714,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,7.0,49.0,3.0625,9.5,66.5,4.15625,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+11),W (+11)
5.0,5.0,2022-10-28,27-203,CLE,BOS,0,22.4,1.0,6.0,.167,1.0,5.0,.200,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,-1.1,-10,1.0,0.0,0.0,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,-2.0,75.0,4.6875,-1.499999999999999,102.6,6.4125,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+9),W (+9)
6.0,6.0,2022-10-30,27-205,CLE,NYK,0,15.2,1.0,7.0,.143,1.0,6.0,.167,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-3.3,-4,1.0,0.0,0.0,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,-5.0,81.0,5.0625,-3.3,86.1,5.38125,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+13),W (+13)
7.0,7.0,2022-11-02,27-208,CLE,BOS,0,12.616666666666667,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3,+2,0.0,0.0,,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,1.0,76.0,4.75,-1.2999999999999998,89.50000000000001,5.593750000000001,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+1),W (+1)
8.0,8.0,2022-11-04,27-210,CLE,DET,0,25.28333333333333,5.0,9.0,.556,4.0,6.0,.667,1,1.0,1.000,0.0,4.0,4.0,6.0,0.0,0.0,4.0,1.0,15.0,11.7,+24,3.0,1.0,0.3333333333333333,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,11.0,78.0,4.875,11.299999999999995,89.79999999999998,5.612499999999999,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+24),W (+24)
9.0,9.0,2022-11-06,27-212,CLE,LAL,0,19.25,3.0,5.0,.600,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,7.3,+19,2.0,2.0,1.0,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,4.0,64.0,4.0,6.499999999999999,83.2,5.2,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,W (+14),W (+14)
10.0,10.0,2022-11-07,27-213,CLE,LAC,0,3.4,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-5,1.0,1.0,1.0,69,64,42,63,3,74,71,11,63,39,57,22,45,31,35,74.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.9324324324324323,0.927536231884058,0.9545454545454546,0.9264705882352942,1.0,0.9367088607594936,0.9342105263157896,0.9166666666666666,0.9264705882352942,0.6290322580645161,0.9193548387096774,1.0,0.9375,0.9393939393939394,0.945945945945946,0.0,6,11.0,74.0,0.5454545454545454,0.0,16,1.0,87.0,5.4375,1.7,96.0,6.0,12.0,3.3,-0.7,-0.8,0.2,0.0726778924497555,0.579,0.589,0.204,0.5,1.4,L (-2),L (-2)
