Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,25-102,CLE,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,72.0,4.5,0.0,89.8,5.6125,0.0356328082563824,L (-3),L (-3)
2.0,1.0,2022-10-22,25-105,CLE,CHI,0,4.116666666666666,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,+6,1.0,0.0,0.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,91.0,5.6875,-0.3999999999999999,104.0,6.5,0.0356328082563824,W (+32),W (+32)
3.0,,2022-10-23,25-106,CLE,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,72.0,4.5,0.0,93.79999999999998,5.862499999999999,0.0356328082563824,W (+10),W (+10)
4.0,,2022-10-26,25-109,CLE,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,56.0,3.5,0.0,76.0,4.75,0.0356328082563824,W (+11),W (+11)
5.0,,2022-10-28,25-111,CLE,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,73.0,4.5625,0.0,101.1,6.31875,0.0356328082563824,W (+9),W (+9)
6.0,2.0,2022-10-30,25-113,CLE,NYK,0,0.3,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,76.0,4.75,0.0,82.8,5.175,0.0356328082563824,W (+13),W (+13)
7.0,,2022-11-02,25-116,CLE,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,77.0,4.8125,0.0,88.20000000000002,5.512500000000001,0.0356328082563824,W (+1),W (+1)
8.0,3.0,2022-11-04,25-118,CLE,DET,0,18.516666666666666,2.0,4.0,.500,0.0,1.0,.000,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,2.1,+13,3.0,2.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,89.0,5.5625,1.3000000000000005,99.79999999999998,6.237499999999999,0.0356328082563824,W (+24),W (+24)
9.0,,2022-11-06,25-120,CLE,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,68.0,4.25,0.0,89.69999999999999,5.606249999999999,0.0356328082563824,W (+14),W (+14)
10.0,,2022-11-07,25-121,CLE,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,88.0,5.5,0.0,97.7,6.10625,0.0356328082563824,L (-2),L (-2)
11.0,,2022-11-09,25-123,CLE,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,71.0,4.4375,0.0,92.3,5.76875,0.0356328082563824,L (-7),L (-7)
12.0,,2022-11-11,25-125,CLE,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,55.0,3.4375,0.0,71.9,4.49375,0.0356328082563824,L (-5),L (-5)
