Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Shared Games with Sam Merrill,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill
0,1,1,2022-10-19,34-042,CLE,@,TOR,L (-3),0,20.883333333333333,3.0,6.0,.500,1.0,4.0,.250,1,1,1.000,0,7,7,2,0,0,1,2,8,6.7,+4,2.0,2.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
1,2,2,2022-10-22,34-045,CLE,@,CHI,W (+32),0,22.833333333333332,5.0,9.0,.556,5.0,6.0,.833,0,0,,0,12,12,4,0,1,0,1,15,17.4,+27,3.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
2,3,3,2022-10-23,34-046,CLE,,WAS,W (+10),0,14.366666666666667,2.0,6.0,.333,1.0,4.0,.250,0,0,,0,7,7,0,0,0,1,1,5,2.3,+2,2.0,1.0,0.5,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
3,4,4,2022-10-26,34-049,CLE,,ORL,W (+11),0,18.983333333333334,1.0,7.0,.143,0.0,5.0,.000,2,2,1.000,0,7,7,4,0,0,1,1,4,3.0,+5,2.0,1.0,0.5,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
4,5,5,2022-10-28,34-051,CLE,@,BOS,W (+9),0,20.883333333333333,3.0,7.0,.429,2.0,4.0,.500,1,2,.500,0,5,5,0,0,0,1,2,9,4.6,-10,3.0,1.0,0.3333333333333333,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
5,6,6,2022-10-30,34-053,CLE,,NYK,W (+13),0,22.483333333333334,9.0,14.0,.643,8.0,13.0,.615,3,3,1.000,2,6,8,1,0,0,1,1,29,25.3,+16,1.0,1.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
6,7,7,2022-11-02,34-056,CLE,,BOS,W (+1),0,14.566666666666666,2.0,10.0,.200,0.0,5.0,.000,4,5,.800,1,4,5,0,0,0,1,1,8,1.9,-4,5.0,2.0,0.4,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
7,8,8,2022-11-04,34-058,CLE,@,DET,W (+24),0,23.433333333333334,7.0,10.0,.700,4.0,7.0,.571,3,4,.750,4,4,8,10,0,1,1,0,21,27.1,+30,3.0,3.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
8,9,9,2022-11-06,34-060,CLE,@,LAL,W (+14),0,20.066666666666666,4.0,10.0,.400,2.0,8.0,.250,0,0,,0,10,10,1,0,1,1,1,10,7.6,+22,2.0,2.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
9,10,10,2022-11-07,34-061,CLE,@,LAC,L (-2),0,25.083333333333332,4.0,8.0,.500,4.0,8.0,.500,5,6,.833,1,7,8,4,1,0,3,1,17,15.8,+16,0.0,0.0,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
