Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,26-086,DEN,@,IND,W (+3),0,21:35,1.0,5.0,.200,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.2,+5,4.0,1.0,0.25,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,2.0,82.0,4.823529411764706,1.1999999999999993,95.2,5.6000000000000005
11,12,12,2022-11-11,26-088,DEN,@,BOS,L (-19),0,36:41,5.0,14.0,.357,1.0,2.0,.500,5,5.0,1.000,5.0,5.0,10.0,6.0,2.0,0.0,1.0,1.0,16.0,18.0,-8,12.0,4.0,0.3333333333333333,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,14.0,48.0,2.823529411764706,16.0,69.09999999999998,4.06470588235294
12,13,13,2022-11-13,26-090,DEN,@,CHI,W (+23),0,31:30,5.0,9.0,.556,1.0,4.0,.250,1,1.0,1.000,1.0,10.0,11.0,6.0,0.0,1.0,6.0,2.0,12.0,9.5,+12,5.0,4.0,0.8,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,14.0,89.0,5.235294117647059,9.099999999999996,103.49999999999996,6.088235294117645
13,14,14,2022-11-16,26-093,DEN,,NYK,L (-3),0,21:52,5.0,10.0,.500,2.0,5.0,.400,0,0.0,,1.0,5.0,6.0,3.0,1.0,2.0,4.0,1.0,12.0,9.3,0,5.0,3.0,0.6,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,10.0,51.0,3.0,9.299999999999995,57.9,3.4058823529411764
14,15,15,2022-11-18,26-095,DEN,@,DAL,L (-28),1,29:44,7.0,12.0,.583,2.0,3.0,.667,2,2.0,1.000,0.0,4.0,4.0,7.0,1.0,0.0,1.0,3.0,18.0,17.3,-13,9.0,5.0,0.5555555555555556,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,15.0,41.0,2.411764705882353,16.5,53.900000000000006,3.170588235294118
15,16,16,2022-11-20,26-097,DEN,@,DAL,W (+1),1,35:47,5.0,13.0,.385,0.0,3.0,.000,2,2.0,1.000,1.0,3.0,4.0,8.0,1.0,1.0,2.0,3.0,12.0,10.6,-2,10.0,5.0,0.5,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,9.0,54.0,3.176470588235294,9.8,54.6,3.211764705882353
16,17,17,2022-11-22,26-099,DEN,,DET,L (-2),0,25:19,5.0,9.0,.556,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,5.0,1.0,0.0,2.0,1.0,11.0,10.4,-19,7.0,4.0,0.5714285714285714,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,10.0,72.0,4.235294117647059,10.4,91.0,5.352941176470588
17,18,18,2022-11-23,26-100,DEN,@,OKC,W (+5),1,44:58,7.0,14.0,.500,3.0,6.0,.500,0,0.0,,1.0,12.0,13.0,10.0,4.0,0.0,6.0,5.0,17.0,17.3,+6,8.0,4.0,0.5,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,24.0,80.0,4.705882352941177,17.300000000000004,112.5,6.617647058823529
18,19,19,2022-11-25,26-102,DEN,@,LAC,W (+10),1,31:17,4.0,7.0,.571,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,5.0,8.0,6.7,+12,5.0,4.0,0.8,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,9.0,69.0,4.0588235294117645,6.699999999999999,89.29999999999998,5.252941176470587
19,20,20,2022-11-28,26-105,DEN,,HOU,W (+16),1,34:58,4.0,10.0,.400,1.0,3.0,.333,3,3.0,1.000,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,12.0,10.5,+2,7.0,3.0,0.4285714285714285,67,41,74,34,38,41,17,64,55,74,60,67,22,58,51,68.0,56.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.9852941176470588,0.7321428571428571,0.9736842105263158,,0.7906976744186046,0.9743589743589745,0.9534883720930232,1.0,0.9846153846153848,0.9821428571428572,0.9736842105263158,0.967741935483871,0.9710144927536232,0.9565217391304348,0.9666666666666668,0.9622641509433962,13,17,2.0,68.0,59.0,0.1911764705882352,0.0,0.288135593220339,17,7.0,102.0,6.0,9.3,111.2,6.541176470588235
