Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,20-038,DEN,@,UTA,L (-21),0,1:28,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,1.0,0.0,0.0,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,-1.0,52.0,3.0588235294117645,-0.7,66.7,3.923529411764706
1,2,,2022-10-21,20-040,DEN,@,GSW,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588
2,3,,2022-10-22,20-041,DEN,,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,81.0,4.764705882352941,0.0,92.39999999999998,5.435294117647057
3,4,2,2022-10-24,20-043,DEN,@,POR,L (-25),0,2:40,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,+1,3.0,2.0,0.6666666666666666,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,3.0,59.0,3.4705882352941178,3.7,66.10000000000001,3.8882352941176475
4,5,3,2022-10-26,20-045,DEN,,LAL,W (+11),0,2:46,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,-7,2.0,1.0,0.5,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,0.0,104.0,6.117647058823529,0.6,111.0,6.529411764705882
5,6,4,2022-10-28,20-047,DEN,,UTA,W (+16),0,1:49,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,0.0,63.0,3.7058823529411766,0.0,69.9,4.111764705882353
6,7,,2022-10-30,20-049,DEN,@,LAL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,70.0,4.117647058823529,0.0,84.1,4.947058823529411
7,8,,2022-11-03,20-053,DEN,@,OKC,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,92.0,5.411764705882353,0.0,103.29999999999998,6.076470588235293
8,9,,2022-11-05,20-055,DEN,,SAS,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,95.0,5.588235294117647,0.0,101.3,5.958823529411765
9,10,,2022-11-07,20-057,DEN,@,SAS,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,80.0,4.705882352941177,0.0,91.7,5.394117647058824
