Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,,2022-12-18,24-172,DEN,,CHO,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,90.0,5.294117647058823,0.0,102.7,6.041176470588235
30,30,,2022-12-20,24-174,DEN,,MEM,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,77.0,4.529411764705882,0.0,88.9,5.229411764705882
31,31,17,2022-12-23,24-177,DEN,,POR,W (+13),1,26:59,7.0,13.0,.538,2.0,6.0,.333,2,3.0,.667,1.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,18.0,13.8,+1,7.0,5.0,0.7142857142857143,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,9.0,88.0,5.176470588235294,12.999999999999996,97.59999999999998,5.741176470588234
32,32,18,2022-12-25,24-179,DEN,,PHO,W (+3),1,34:52,3.0,11.0,.273,0.0,5.0,.000,1,2.0,.500,0.0,8.0,8.0,0.0,1.0,1.0,0.0,4.0,7.0,2.6,+11,6.0,3.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,4.0,88.0,5.176470588235294,2.2,102.0,6.0
33,33,19,2022-12-27,24-181,DEN,@,SAC,W (+7),1,29:34,12.0,20.0,.600,5.0,9.0,.556,1,2.0,.500,1.0,5.0,6.0,2.0,2.0,0.0,2.0,3.0,30.0,22.8,+14,11.0,7.0,0.6363636363636364,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,16.0,76.0,4.470588235294118,22.4,82.7,4.864705882352942
34,34,20,2022-12-28,24-182,DEN,@,SAC,L (-1),1,34:40,6.0,12.0,.500,4.0,8.0,.500,3,3.0,1.000,1.0,6.0,7.0,1.0,0.0,3.0,4.0,2.0,19.0,13.5,0,4.0,2.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,11.0,72.0,4.235294117647059,12.299999999999995,86.6,5.094117647058823
35,35,21,2022-12-30,24-184,DEN,,MIA,W (+5),1,25:20,4.0,11.0,.364,0.0,3.0,.000,2,4.0,.500,1.0,5.0,6.0,3.0,1.0,0.0,0.0,1.0,10.0,8.0,-5,8.0,4.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,5.0,89.0,5.235294117647059,7.199999999999999,96.5,5.676470588235294
36,36,22,2023-01-01,24-186,DEN,,BOS,W (+12),1,32:36,7.0,13.0,.538,3.0,7.0,.429,2,2.0,1.000,0.0,4.0,4.0,2.0,0.0,1.0,3.0,1.0,19.0,12.6,+11,6.0,4.0,0.6666666666666666,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,105.0,6.176470588235294,11.799999999999995,110.6,6.5058823529411764
37,37,23,2023-01-02,24-187,DEN,@,MIN,L (-13),1,27:26,6.0,9.0,.667,4.0,6.0,.667,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,18.0,12.6,-4,3.0,2.0,0.6666666666666666,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,67.0,3.941176470588236,11.799999999999995,74.79999999999998,4.399999999999999
38,38,24,2023-01-05,24-190,DEN,,LAC,W (+31),1,22:11,4.0,10.0,.400,1.0,5.0,.200,1,2.0,.500,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,10.0,4.3,+15,5.0,3.0,0.6,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,2.0,111.0,6.529411764705882,3.9,112.8,6.635294117647058
39,39,25,2023-01-06,24-191,DEN,,CLE,W (+13),1,32:54,5.0,13.0,.385,3.0,8.0,.375,3,4.0,.750,3.0,5.0,8.0,1.0,0.0,0.0,1.0,2.0,16.0,11.0,+13,5.0,2.0,0.4,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,7.0,103.0,6.0588235294117645,9.8,106.79999999999998,6.28235294117647
40,40,26,2023-01-09,24-194,DEN,,LAL,W (+13),1,25:53,5.0,13.0,.385,2.0,6.0,.333,0,0.0,,2.0,5.0,7.0,0.0,1.0,1.0,0.0,2.0,12.0,8.7,+13,7.0,3.0,0.4285714285714285,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,101.0,5.941176470588236,8.699999999999998,105.79999999999998,6.223529411764705
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,0.0,0.0,0.0,0.0,0.0
42,41,27,2023-01-11,24-196,DEN,,PHO,W (+29),1,22:43,4.0,9.0,.444,2.0,7.0,.286,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,11.0,5.9,+20,2.0,2.0,1.0,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,4.0,78.0,4.588235294117647,5.5,94.59999999999998,5.56470588235294
43,42,28,2023-01-13,24-198,DEN,@,LAC,W (+12),1,31:55,9.0,17.0,.529,2.0,8.0,.250,2,2.0,1.000,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,22.0,17.7,+13,9.0,7.0,0.7777777777777778,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,11.0,66.0,3.882352941176471,16.9,77.39999999999998,4.552941176470587
44,43,29,2023-01-15,24-200,DEN,,ORL,W (+3),1,28:00,6.0,13.0,.462,4.0,8.0,.500,0,0.0,,2.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,16.0,10.8,+1,5.0,2.0,0.4,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,77.0,4.529411764705882,10.799999999999995,90.4,5.31764705882353
45,44,30,2023-01-17,24-202,DEN,,POR,W (+9),1,30:34,9.0,13.0,.692,4.0,6.0,.667,1,1.0,1.000,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,23.0,17.9,+21,7.0,5.0,0.7142857142857143,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,13.0,75.0,4.411764705882353,17.500000000000004,85.39999999999999,5.023529411764706
46,45,31,2023-01-18,24-203,DEN,,MIN,W (+4),1,22:13,1.0,6.0,.167,0.0,3.0,.000,2,2.0,1.000,0.0,6.0,6.0,0.0,1.0,1.0,2.0,1.0,4.0,1.3,-3,3.0,1.0,0.3333333333333333,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,2.0,70.0,4.117647058823529,0.5000000000000013,93.6,5.5058823529411764
47,46,32,2023-01-20,24-205,DEN,,IND,W (+23),1,31:24,8.0,14.0,.571,3.0,8.0,.375,0,0.0,,0.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,19.0,15.4,+19,6.0,5.0,0.8333333333333334,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,14.0,101.0,5.941176470588236,15.4,111.79999999999998,6.576470588235293
48,47,,2023-01-22,24-207,DEN,,OKC,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,83.0,4.882352941176471,0.0,106.3,6.252941176470588
49,48,,2023-01-24,24-209,DEN,@,NOP,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,74.0,4.352941176470588,0.0,89.79999999999998,5.28235294117647
50,49,,2023-01-25,24-210,DEN,@,MIL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,65.0,3.823529411764706,0.0,71.19999999999999,4.188235294117646
51,50,33,2023-01-28,24-213,DEN,@,PHI,L (-7),1,28:31,7.0,11.0,.636,5.0,9.0,.556,1,1.0,1.000,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,20.0,16.1,+8,2.0,2.0,1.0,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,14.0,78.0,4.588235294117647,15.700000000000005,89.1,5.241176470588235
52,51,34,2023-01-31,24-216,DEN,,NOP,W (+9),1,30:18,5.0,12.0,.417,3.0,6.0,.500,0,0.0,,3.0,2.0,5.0,1.0,1.0,0.0,2.0,4.0,13.0,7.4,+18,6.0,2.0,0.3333333333333333,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,6.0,93.0,5.470588235294118,7.400000000000004,109.90000000000002,6.464705882352942
53,52,35,2023-02-02,24-218,DEN,,GSW,W (+17),1,27:24,6.0,12.0,.500,5.0,9.0,.556,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,17.0,11.2,+22,3.0,1.0,0.3333333333333333,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,7.0,104.0,6.117647058823529,11.2,124.3,7.311764705882353
54,53,36,2023-02-04,24-220,DEN,,ATL,W (+20),1,29:46,9.0,16.0,.563,3.0,8.0,.375,2,2.0,1.000,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,23.0,20.0,+15,8.0,6.0,0.75,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,12.0,100.0,5.882352941176471,19.200000000000003,105.50000000000004,6.205882352941179
55,54,37,2023-02-05,24-221,DEN,@,MIN,L (-30),1,31:48,7.0,16.0,.438,2.0,10.0,.200,6,8.0,.750,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,22.0,13.3,-9,6.0,5.0,0.8333333333333334,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,2.0,44.0,2.588235294117647,10.9,49.4,2.9058823529411764
56,55,38,2023-02-07,24-223,DEN,,MIN,W (+34),1,28:41,11.0,15.0,.733,4.0,6.0,.667,4,4.0,1.000,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,30.0,26.1,+43,9.0,7.0,0.7777777777777778,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,17.0,113.0,6.647058823529412,24.500000000000007,118.3,6.958823529411765
57,56,39,2023-02-09,24-225,DEN,@,ORL,L (-11),1,34:27,3.0,16.0,.188,3.0,12.0,.250,3,3.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,12.0,0.1,-5,4.0,0.0,0.0,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,-6.0,61.0,3.588235294117647,-1.1,72.3,4.252941176470588
58,57,40,2023-02-11,24-227,DEN,@,CHO,W (+14),1,32:10,6.0,14.0,.429,2.0,7.0,.286,0,0.0,,1.0,5.0,6.0,2.0,1.0,0.0,0.0,2.0,14.0,10.4,+14,7.0,4.0,0.5714285714285714,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,9.0,93.0,5.470588235294118,10.399999999999997,105.79999999999998,6.223529411764705
59,58,41,2023-02-13,24-229,DEN,@,MIA,W (+4),1,33:29,6.0,15.0,.400,5.0,13.0,.385,0,0.0,,1.0,5.0,6.0,0.0,1.0,1.0,2.0,2.0,17.0,10.0,+6,2.0,1.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,84.0,4.941176470588236,9.999999999999996,87.2,5.129411764705883
