Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,34-090,DEN,@,UTA,L (-21),0,6:28,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,-13,0.0,0.0,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,3.0,48.0,2.823529411764706,0.8999999999999998,65.1,3.829411764705882
1,2,2,2022-10-21,34-092,DEN,@,GSW,W (+5),0,13:36,4.0,4.0,1.000,0.0,0.0,,1,2.0,.500,3.0,2.0,5.0,0.0,0.0,1.0,2.0,1.0,9.0,8.4,+8,4.0,4.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,7.0,81.0,4.764705882352941,7.999999999999998,93.2,5.482352941176471
2,3,,2022-10-22,34-093,DEN,,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,81.0,4.764705882352941,0.0,92.39999999999998,5.435294117647057
3,4,3,2022-10-24,34-095,DEN,@,POR,L (-25),0,10:00,2.0,3.0,.667,0.0,0.0,,0,2.0,.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.8,-3,3.0,2.0,0.6666666666666666,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,2.0,60.0,3.5294117647058822,2.8000000000000003,67.0,3.9411764705882355
4,5,4,2022-10-26,34-097,DEN,,LAL,W (+11),0,10:26,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,2.5,-10,1.0,1.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,6.0,98.0,5.764705882352941,2.5,109.1,6.417647058823529
5,6,5,2022-10-28,34-099,DEN,,UTA,W (+16),0,20:32,4.0,6.0,.667,1.0,1.0,1.000,3,6.0,.500,4.0,9.0,13.0,1.0,0.0,0.0,4.0,5.0,12.0,8.4,+11,5.0,3.0,0.6,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,10.0,53.0,3.117647058823529,7.1999999999999975,62.69999999999999,3.6882352941176464
6,7,6,2022-10-30,34-101,DEN,@,LAL,L (-11),0,12:08,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,2.0,4.0,6.0,0.0,1.0,2.0,0.0,2.0,5.0,8.2,-11,2.0,2.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,10.0,60.0,3.5294117647058822,7.799999999999998,76.29999999999998,4.488235294117646
7,8,,2022-11-03,34-105,DEN,@,OKC,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,92.0,5.411764705882353,0.0,103.29999999999998,6.076470588235293
8,9,7,2022-11-05,34-107,DEN,,SAS,W (+25),0,16:37,5.0,6.0,.833,0.0,0.0,,0,0.0,,2.0,6.0,8.0,1.0,0.0,0.0,1.0,3.0,10.0,9.5,+5,6.0,5.0,0.8333333333333334,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,12.0,83.0,4.882352941176471,9.5,91.8,5.3999999999999995
9,10,8,2022-11-07,34-109,DEN,@,SAS,W (+6),0,14:03,1.0,2.0,.500,0.0,0.0,,2,2.0,1.000,3.0,5.0,8.0,1.0,0.0,0.0,2.0,1.0,4.0,4.9,-9,2.0,1.0,0.5,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,7.0,73.0,4.294117647058823,4.099999999999999,87.60000000000001,5.152941176470589
