Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,8.0,2022-11-07,28-255,TOR,CHI,1,34.36666666666667,10.0,19.0,.526,6.0,10.0,.600,1,1.0,1.000,0.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,27.0,22.4,-8,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,55.0,3.055555555555556,22.0,53.1,2.95,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-14),L (-14)
12.0,9.0,2022-11-09,28-257,TOR,HOU,1,35.11666666666667,12.0,26.0,.462,7.0,16.0,.438,1,1.0,1.000,0.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,32.0,24.8,-1,10.0,5.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,83.0,4.611111111111111,24.4,84.30000000000001,4.683333333333334,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+7),W (+7)
13.0,10.0,2022-11-11,28-259,TOR,OKC,1,28.58333333333333,5.0,12.0,.417,3.0,7.0,.429,2,5.0,.400,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,15.0,7.9,-22,5.0,2.0,0.4,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,2.0,66.0,3.6666666666666665,7.100000000000005,84.6,4.699999999999999,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-19),L (-19)
14.0,,2022-11-12,28-260,TOR,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,56.0,3.111111111111111,0.0,72.69999999999997,4.038888888888888,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-14),L (-14)
15.0,,2022-11-14,28-262,TOR,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,115.0,6.388888888888889,0.0,108.9,6.050000000000001,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+4),W (+4)
16.0,11.0,2022-11-16,28-264,TOR,MIA,1,39.266666666666666,7.0,21.0,.333,3.0,10.0,.300,6,7.0,.857,0.0,1.0,1.0,8.0,0.0,0.0,3.0,5.0,23.0,11.6,+10,11.0,4.0,0.3636363636363636,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,1.0,80.0,4.444444444444445,9.200000000000005,77.7,4.316666666666666,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+8),W (+8)
17.0,12.0,2022-11-19,28-267,TOR,ATL,1,44.45,4.0,18.0,.222,1.0,11.0,.091,6,6.0,1.000,1.0,1.0,2.0,5.0,0.0,0.0,2.0,3.0,15.0,5.3,-16,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,-4.0,93.0,5.166666666666667,2.900000000000001,104.2,5.788888888888889,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-2),L (-2)
18.0,,2022-11-23,28-271,TOR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,L (-14),L (-14)
19.0,13.0,2022-11-26,28-274,TOR,DAL,1,40.96666666666667,7.0,18.0,.389,3.0,9.0,.333,9,10.0,.900,1.0,5.0,6.0,7.0,1.0,0.0,3.0,2.0,26.0,20.1,+12,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,9.0,69.0,3.8333333333333335,16.499999999999996,59.8,3.322222222222222,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+5),W (+5)
20.0,14.0,2022-11-28,28-276,TOR,CLE,1,32.483333333333334,5.0,15.0,.333,3.0,6.0,.500,0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,13.0,6.8,+24,9.0,2.0,0.2222222222222222,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,78.0,4.333333333333333,6.800000000000001,74.2,4.122222222222223,17.0,6.5,2.5,2.0,0.5,0.1442619407823643,0.54,0.545,0.254,2.9,3.7,W (+12),W (+12)
