Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young
0,1,,2022-10-19,21-112,TOR,,CLE,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
1,2,,2022-10-21,21-114,TOR,@,BRK,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
2,3,,2022-10-22,21-115,TOR,@,MIA,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
3,4,,2022-10-24,21-117,TOR,@,MIA,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
4,5,,2022-10-26,21-119,TOR,,PHI,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
5,6,1,2022-10-28,21-121,TOR,,PHI,L (-22),0,3.2333333333333334,1.0,1.0,1.000,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-1,1.0,1.0,1.0,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
6,7,2,2022-10-31,21-124,TOR,,ATL,W (+30),0,5.366666666666666,2.0,2.0,1.000,0.0,0.0,,0,0,,0,2,2,0,0,0,0,1,4,3.6,+1,2.0,2.0,1.0,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
7,8,,2022-11-02,21-126,TOR,@,SAS,W (+43),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
8,9,,2022-11-04,21-128,TOR,@,DAL,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
9,10,,2022-11-06,21-130,TOR,,CHI,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
10,11,,2022-11-07,21-131,TOR,@,CHI,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
