Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-121,TOR,CLE,0,15.366666666666667,1.0,4.0,.250,0.0,0.0,,1,2.0,.500,2.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,3.0,1.7,+3,4.0,1.0,0.25,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,3.0,62.0,3.4444444444444446,1.3000000000000007,83.7,4.65,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+3),W (+3)
2.0,2.0,2022-10-21,22-123,TOR,BRK,0,19.75,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,2.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,-0.7,-3,2.0,0.0,0.0,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,0.0,76.0,4.222222222222222,-1.1000000000000003,95.9,5.327777777777778,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,L (-4),L (-4)
3.0,3.0,2022-10-22,22-124,TOR,MIA,0,12.3,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,-5,0.0,0.0,,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,1.0,78.0,4.333333333333333,0.8,93.0,5.166666666666667,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,L (-3),L (-3)
4.0,4.0,2022-10-24,22-126,TOR,MIA,1,17.616666666666667,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,2.0,1.7,-10,2.0,1.0,0.5,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,5.0,80.0,4.444444444444445,1.7000000000000006,81.7,4.538888888888889,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+8),W (+8)
5.0,5.0,2022-10-26,22-128,TOR,PHI,0,11.283333333333331,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,5.1,+4,2.0,2.0,1.0,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,8.0,108.0,6.0,5.1,112.3,6.238888888888889,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+10),W (+10)
6.0,6.0,2022-10-28,22-130,TOR,PHI,0,10.033333333333331,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,6.0,+3,1.0,1.0,1.0,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,5.0,67.0,3.7222222222222223,5.6,71.39999999999999,3.9666666666666655,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,L (-22),L (-22)
7.0,7.0,2022-10-31,22-133,TOR,ATL,1,21.45,4.0,7.0,.571,0.0,0.0,,1,3.0,.333,2.0,3.0,5.0,0.0,0.0,3.0,2.0,4.0,9.0,5.7,+23,7.0,4.0,0.5714285714285714,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,5.0,106.0,5.888888888888889,5.3000000000000025,118.99999999999996,6.611111111111109,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+30),W (+30)
8.0,8.0,2022-11-02,22-135,TOR,SAS,1,23.183333333333334,1.0,4.0,.250,0.0,0.0,,0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,0.7,+30,4.0,1.0,0.25,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,4.0,119.0,6.611111111111111,0.7,129.39999999999998,7.188888888888887,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+43),W (+43)
9.0,9.0,2022-11-04,22-137,TOR,DAL,1,11.816666666666666,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,-0.5,-12,1.0,1.0,1.0,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,1.0,63.0,3.5,-0.5,79.90000000000002,4.43888888888889,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,L (-1),L (-1)
10.0,10.0,2022-11-06,22-139,TOR,CHI,1,31.016666666666666,4.0,8.0,.500,0.0,1.0,.000,3,4.0,.750,2.0,5.0,7.0,2.0,0.0,6.0,1.0,3.0,11.0,12.9,+19,7.0,4.0,0.5714285714285714,54,29,48,46,20,8,32,3,19,44,48,8,47,33,9,53,38,76.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.7105263157894737,0.935483870967742,0.6956521739130435,0.696969696969697,0.8,0.8888888888888888,0.7619047619047619,0.6,0.95,0.8301886792452831,0.7164179104477612,1.0,0.6619718309859155,0.6,1.0,0.6883116883116883,0.7037037037037037,13,72.0,69.0,0.1805555555555555,0.0,18,13.0,79.0,4.388888888888889,11.7,97.3,5.405555555555555,11.4,1.7,-3.5,-4.3,0.8,0.0196671709531013,0.517,0.08,0.393,-0.3,0.7,W (+9),W (+9)
