Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,25-113,TOR,CHI,1.0,39.31666666666667,4.0,12.0,0.333,0.0,2.0,0.0,5.0,7.0,0.714,1.0,3.0,4.0,1.0,3.0,0.0,4.0,4.0,13.0,5.1,-12.0,10.0,4.0,0.4,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,-2.0,73.0,4.055555555555555,3.1,72.0,4.0,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-14),L (-14)
12.0,12.0,2022-11-09,25-115,TOR,HOU,1.0,38.68333333333333,10.0,20.0,0.5,4.0,9.0,0.444,3.0,4.0,0.75,1.0,9.0,10.0,1.0,3.0,1.0,1.0,3.0,27.0,22.2,18.0,11.0,6.0,0.5454545454545454,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,17.0,82.0,4.555555555555555,21.000000000000004,87.69999999999999,4.872222222222222,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+7),W (+7)
13.0,13.0,2022-11-11,25-117,TOR,OKC,1.0,31.35,6.0,15.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,3.0,1.0,13.0,7.9,-24.0,13.0,6.0,0.4615384615384615,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,4.0,64.0,3.555555555555556,7.4999999999999964,84.20000000000002,4.677777777777779,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-19),L (-19)
14.0,14.0,2022-11-12,25-118,TOR,IND,1.0,36.083333333333336,9.0,16.0,0.563,2.0,7.0,0.286,6.0,7.0,0.857,0.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,26.0,17.5,-17.0,9.0,7.0,0.7777777777777778,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,7.0,49.0,2.7222222222222223,15.1,57.59999999999999,3.2,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-14),L (-14)
15.0,15.0,2022-11-14,25-120,TOR,DET,1.0,36.8,6.0,19.0,0.316,1.0,6.0,0.167,6.0,7.0,0.857,2.0,5.0,7.0,3.0,0.0,2.0,3.0,2.0,19.0,10.3,1.0,13.0,5.0,0.3846153846153846,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,2.0,113.0,6.277777777777778,7.899999999999997,101.0,5.611111111111111,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+4),W (+4)
16.0,16.0,2022-11-16,25-122,TOR,MIA,1.0,43.016666666666666,13.0,18.0,0.722,1.0,3.0,0.333,5.0,6.0,0.833,3.0,7.0,10.0,3.0,0.0,1.0,3.0,2.0,32.0,27.4,8.0,15.0,12.0,0.8,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,19.0,62.0,3.4444444444444446,25.40000000000001,61.50000000000001,3.416666666666667,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+8),W (+8)
17.0,17.0,2022-11-19,25-125,TOR,ATL,1.0,42.18333333333333,10.0,24.0,0.417,0.0,6.0,0.0,7.0,7.0,1.0,0.0,3.0,3.0,5.0,2.0,0.0,5.0,4.0,27.0,14.0,-11.0,18.0,10.0,0.5555555555555556,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,1.0,88.0,4.888888888888889,11.2,95.9,5.327777777777778,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-2),L (-2)
18.0,18.0,2022-11-23,25-129,TOR,BRK,1.0,35.55,7.0,20.0,0.35,0.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,0.0,5.0,1.0,15.0,5.1,-29.0,17.0,7.0,0.4117647058823529,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,0.0,37.0,2.055555555555556,4.699999999999999,55.99999999999999,3.1111111111111107,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,L (-14),L (-14)
19.0,19.0,2022-11-26,25-132,TOR,DAL,1.0,43.15,9.0,19.0,0.474,2.0,4.0,0.5,6.0,7.0,0.857,4.0,5.0,9.0,2.0,2.0,2.0,5.0,3.0,26.0,18.8,-2.0,15.0,7.0,0.4666666666666667,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,10.0,68.0,3.7777777777777777,16.4,59.9,3.327777777777777,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+5),W (+5)
20.0,20.0,2022-11-28,25-134,TOR,CLE,1.0,36.73333333333333,8.0,13.0,0.615,4.0,6.0,0.667,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,20.0,17.1,16.0,7.0,4.0,0.5714285714285714,61,48,23,55,55,22,9,34,3,17,41,8,57,44,7,62,41,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8026315789473685,0.8275862068965517,0.7419354838709677,0.7971014492753623,0.8333333333333334,0.88,1.0,0.8095238095238095,0.6,0.85,0.7735849056603774,1.0,0.8028169014084507,0.8,0.7777777777777778,0.8051948051948052,0.7592592592592593,22,72.0,69.0,0.3055555555555556,0.0,18,12.0,70.0,3.888888888888889,17.1,63.900000000000006,3.5500000000000003,14.6,4.7,0.4,-0.3,0.7,0.1214609898422303,0.586,0.415,0.189,1.5,1.8,W (+12),W (+12)
