Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,23-049,TOR,CHI,0,13.866666666666667,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,10.0,10.0,-16,6.0,4.0,0.6666666666666666,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,8.0,63.0,3.5,9.199999999999998,65.9,3.661111111111112,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,L (-14),L (-14)
12.0,12.0,2022-11-09,23-051,TOR,HOU,0,12.483333333333333,2.0,8.0,.250,0.0,2.0,.000,0,0.0,,4.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,4.0,1.2,-11,6.0,2.0,0.3333333333333333,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,2.0,97.0,5.388888888888889,1.1999999999999984,107.5,5.972222222222222,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,W (+7),W (+7)
13.0,,2022-11-11,23-053,TOR,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,68.0,3.7777777777777777,0.0,91.70000000000002,5.094444444444445,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,L (-19),L (-19)
14.0,,2022-11-12,23-054,TOR,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,56.0,3.111111111111111,0.0,72.69999999999997,4.038888888888888,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,L (-14),L (-14)
15.0,,2022-11-14,23-056,TOR,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,115.0,6.388888888888889,0.0,108.9,6.050000000000001,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,W (+4),W (+4)
16.0,,2022-11-16,23-058,TOR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,81.0,4.5,0.0,86.9,4.827777777777778,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,W (+8),W (+8)
17.0,,2022-11-19,23-061,TOR,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,89.0,4.944444444444445,0.0,107.1,5.949999999999999,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,L (-2),L (-2)
18.0,,2022-11-23,23-065,TOR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,L (-14),L (-14)
19.0,,2022-11-26,23-068,TOR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,78.0,4.333333333333333,0.0,76.30000000000001,4.23888888888889,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,W (+5),W (+5)
20.0,,2022-11-28,23-070,TOR,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,,82.0,4.555555555555555,0.0,81.0,4.5,15.2,2.2,-2.3,-1.4,-0.8,0.0548951804625027,0.554,0.267,0.307,-0.1,0.8,W (+12),W (+12)
