Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,28-219,TOR,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,71.0,3.9444444444444446,0.0,75.10000000000001,4.172222222222223,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-14),L (-14)
12.0,,2022-11-09,28-221,TOR,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,99.0,5.5,0.0,108.7,6.038888888888889,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,W (+7),W (+7)
13.0,,2022-11-11,28-223,TOR,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,68.0,3.7777777777777777,0.0,91.70000000000002,5.094444444444445,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-19),L (-19)
14.0,,2022-11-12,28-224,TOR,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,56.0,3.111111111111111,0.0,72.69999999999997,4.038888888888888,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-14),L (-14)
15.0,,2022-11-14,28-226,TOR,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,115.0,6.388888888888889,0.0,108.9,6.050000000000001,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,W (+4),W (+4)
16.0,,2022-11-16,28-228,TOR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,81.0,4.5,0.0,86.9,4.827777777777778,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,W (+8),W (+8)
17.0,,2022-11-19,28-231,TOR,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,89.0,4.944444444444445,0.0,107.1,5.949999999999999,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-2),L (-2)
18.0,,2022-11-23,28-235,TOR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-14),L (-14)
19.0,,2022-11-26,28-238,TOR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,,78.0,4.333333333333333,0.0,76.30000000000001,4.23888888888889,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,W (+5),W (+5)
20.0,10.0,2022-11-28,28-240,TOR,CLE,1.0,30.183333333333334,7.0,14.0,0.5,1.0,3.0,0.333,3.0,4.0,0.75,1.0,10.0,11.0,5.0,0.0,0.0,2.0,4.0,18.0,14.2,5.0,11.0,6.0,0.5454545454545454,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,14.0,68.0,3.7777777777777777,13.000000000000002,68.0,3.7777777777777777,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,W (+12),W (+12)
21.0,11.0,2022-11-30,28-242,TOR,NOP,1.0,33.65,9.0,16.0,0.563,1.0,2.0,0.5,4.0,5.0,0.8,2.0,4.0,6.0,4.0,2.0,2.0,5.0,3.0,23.0,17.6,-12.0,14.0,8.0,0.5714285714285714,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,11.0,78.0,4.333333333333333,16.0,74.3,4.127777777777777,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,,
22.0,12.0,2022-12-02,28-244,TOR,BRK,1.0,32.18333333333333,7.0,15.0,0.467,1.0,2.0,0.5,9.0,11.0,0.818,1.0,6.0,7.0,4.0,1.0,0.0,0.0,5.0,24.0,19.8,-5.0,13.0,6.0,0.4615384615384615,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,10.0,34.0,1.8888888888888888,16.200000000000003,45.7,2.538888888888889,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-18),L (-18)
23.0,13.0,2022-12-03,28-245,TOR,ORL,1.0,30.616666666666667,9.0,15.0,0.6,1.0,4.0,0.25,7.0,7.0,1.0,2.0,6.0,8.0,10.0,3.0,0.0,1.0,1.0,26.0,30.9,25.0,11.0,8.0,0.7272727272727273,66,47,24,62,58,21,8,34,3,15,45,57,2,51,7,68,44,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,55.0,9.0,77.0,54.0,0.868421052631579,0.8103448275862069,0.7741935483870968,0.8985507246376812,0.8787878787878788,0.84,0.8888888888888888,0.8095238095238095,0.6,0.75,0.8490566037735849,0.8507462686567164,0.25,0.9272727272727272,0.7777777777777778,0.8831168831168831,0.8148148148148148,26,72.0,69.0,0.3611111111111111,0.0,18,24.0,62.0,3.4444444444444446,28.1,69.8,3.8777777777777778,20.3,7.8,3.1,3.3,-0.1,0.1858655716446942,0.565,0.219,0.361,3.4,5.2,L (-9),L (-9)
