Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Michael Foster Jr.,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey
0,1,,2022-11-23,23-153,PHI,@,CHO,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
1,2,,2022-11-25,23-155,PHI,@,ORL,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
2,3,1,2022-11-27,23-157,PHI,@,ORL,W (+30),0,3.8166666666666664,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,2,1,0,1,1,2,2.7,+4,1.0,1.0,1.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
3,4,,2022-11-28,23-158,PHI,,ATL,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
4,5,2,2022-11-30,23-160,PHI,@,CLE,L (-28),0,6.3,2.0,3.0,.667,0.0,1.0,.000,0,0,,0,0,0,0,0,0,2,0,4,0.7,+1,2.0,2.0,1.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
5,6,,2022-12-02,23-162,PHI,@,MEM,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
6,7,,2022-12-05,23-165,PHI,@,HOU,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
7,8,,2022-12-09,23-169,PHI,,LAL,W (+11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
8,9,,2022-12-11,23-171,PHI,,CHO,W (+18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
9,10,,2022-12-13,23-173,PHI,,SAC,W (+20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
10,11,,2022-12-16,23-176,PHI,,GSW,W (+12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
11,12,,2022-12-19,23-179,PHI,,TOR,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
12,13,,2022-12-21,23-181,PHI,,DET,W (+20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
