Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,24-143,PHI,BOS,0.0,20.55,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,3.2,-13.0,2.0,1.0,0.5,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,2.0,76.0,4.0,3.2,84.5,4.447368421052632,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-9),L (-9)
2.0,2.0,2022-10-20,24-145,PHI,MIL,0.0,19.566666666666663,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,7.3,5.0,5.0,3.0,0.6,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,5.0,76.0,4.0,7.3,64.8,3.4105263157894736,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-2),L (-2)
3.0,3.0,2022-10-22,24-147,PHI,SAS,0.0,15.583333333333334,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.7,-7.0,1.0,0.0,0.0,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,3.0,85.0,4.473684210526316,0.7,85.89999999999998,4.5210526315789465,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-9),L (-9)
4.0,4.0,2022-10-24,24-149,PHI,IND,0.0,17.0,3.0,6.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,11.0,10.8,11.0,2.0,1.0,0.5,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,9.0,90.0,4.7368421052631575,9.6,101.79999999999998,5.357894736842105,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+14),W (+14)
5.0,5.0,2022-10-26,24-151,PHI,TOR,0.0,21.683333333333334,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,5.0,3.0,0.0,0.0,2.0,12.0,15.7,-13.0,3.0,3.0,1.0,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,16.0,60.0,3.1578947368421053,15.7,72.9,3.836842105263158,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-10),L (-10)
6.0,6.0,2022-10-28,24-153,PHI,TOR,1.0,30.75,6.0,15.0,0.4,1.0,5.0,0.2,0.0,0.0,,2.0,3.0,5.0,6.0,5.0,0.0,1.0,1.0,13.0,15.0,9.0,10.0,5.0,0.5,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,13.0,88.0,4.631578947368421,14.999999999999998,78.7,4.142105263157895,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+22),W (+22)
7.0,7.0,2022-10-29,24-154,PHI,CHI,0.0,21.766666666666666,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,10.0,10.4,-2.0,4.0,2.0,0.5,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,10.0,80.0,4.2105263157894735,10.4,82.6,4.347368421052631,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+5),W (+5)
8.0,8.0,2022-10-31,24-156,PHI,WAS,1.0,32.68333333333333,7.0,10.0,0.7,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,16.0,12.9,-3.0,6.0,5.0,0.8333333333333334,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,10.0,83.0,4.368421052631579,12.900000000000002,95.7,5.036842105263158,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+7),W (+7)
9.0,,2022-11-02,24-158,PHI,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,,80.0,4.2105263157894735,0.0,84.0,4.421052631578948,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-10),L (-10)
10.0,9.0,2022-11-04,24-160,PHI,NYK,1.0,30.28333333333333,4.0,18.0,0.222,3.0,11.0,0.273,1.0,2.0,0.5,4.0,1.0,5.0,9.0,2.0,2.0,3.0,2.0,12.0,9.6,0.0,7.0,1.0,0.1428571428571428,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,7.0,64.0,3.3684210526315788,9.199999999999998,65.80000000000001,3.4631578947368427,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-2),L (-2)
