Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with De'Anthony Melton,Shared Games with Georges Niang,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,co_inf with Jalen McDaniels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-12-27,23-265,PHI,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,78.0,7.090909090909091,0.0,74.0,6.727272727272728,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,L (-5),L (-5)
2.0,,2022-12-30,23-268,PHI,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,81.0,7.363636363636363,0.0,57.2,5.2,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,L (-11),L (-11)
3.0,,2022-12-31,23-269,PHI,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,88.0,8.0,0.0,75.59999999999998,6.872727272727271,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+19),W (+19)
4.0,,2023-01-02,23-271,PHI,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,99.0,9.0,0.0,92.59999999999998,8.418181818181816,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+9),W (+9)
5.0,,2023-01-04,23-273,PHI,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,76.0,6.909090909090909,0.0,83.9,7.627272727272728,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+3),W (+3)
6.0,,2023-01-06,23-275,PHI,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,101.0,9.181818181818182,0.0,82.29999999999998,7.481818181818181,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,L (-14),L (-14)
7.0,,2023-01-08,23-277,PHI,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,90.0,8.181818181818182,0.0,82.89999999999999,7.536363636363635,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+12),W (+12)
8.0,,2023-01-10,23-279,PHI,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,93.0,8.454545454545455,0.0,92.6,8.418181818181818,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+31),W (+31)
9.0,,2023-01-12,23-281,PHI,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,80.0,7.272727272727272,0.0,65.60000000000001,5.963636363636365,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,L (-19),L (-19)
10.0,,2023-01-14,23-283,PHI,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0129870129870129,0.0,0.0128205128205128,0.0,0.0172413793103448,0.0151515151515151,0.0,0.0,0.0140845070422535,0.0,0.0175438596491228,0.0133333333333333,0.0144927536231884,0.0,0.0131578947368421,0.0135135135135135,0.0166666666666666,38.0,79.0,80.0,0.0,0.0,0.0,11,,71.0,6.454545454545454,0.0,68.0,6.181818181818182,21.3,0.1,2.3,3.3,-1.0,0.002116850127011,0.744,0.615,0.077,0.0,0.1,W (+1),W (+1)
