Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,28-265,PHI,BOS,0,10.733333333333333,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,-1.2,+4,3.0,1.0,0.3333333333333333,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,-1.0,79.0,4.157894736842105,-1.2000000000000002,88.9,4.678947368421053,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-9),L (-9)
2.0,2.0,2022-10-20,28-267,PHI,MIL,0,2.6,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,0.0,81.0,4.2631578947368425,0.0,72.1,3.794736842105263,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-2),L (-2)
3.0,3.0,2022-10-22,28-269,PHI,SAS,0,9.216666666666669,0.0,0.0,,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-12,0.0,0.0,,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,2.0,86.0,4.526315789473684,1.4,85.19999999999999,4.484210526315789,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-9),L (-9)
4.0,4.0,2022-10-24,28-271,PHI,IND,0,10.616666666666667,0.0,2.0,.000,0.0,0.0,,5,6.0,.833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.5,+7,2.0,0.0,0.0,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,-2.0,101.0,5.315789473684211,1.5000000000000004,109.89999999999998,5.784210526315788,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,W (+14),W (+14)
5.0,5.0,2022-10-26,28-273,PHI,TOR,0,4.25,0.0,0.0,,0.0,0.0,,0,2.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-4,0.0,0.0,,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,-1.0,77.0,4.052631578947368,-0.5,89.10000000000001,4.689473684210527,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-10),L (-10)
6.0,6.0,2022-10-28,28-275,PHI,TOR,0,17.366666666666667,4.0,4.0,1.000,0.0,0.0,,1,1.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,9.0,8.1,+12,4.0,4.0,1.0,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,7.0,94.0,4.947368421052632,7.699999999999999,85.99999999999999,4.526315789473683,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,W (+22),W (+22)
7.0,7.0,2022-10-29,28-276,PHI,CHI,0,11.983333333333333,1.0,4.0,.250,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,3.8,+10,4.0,1.0,0.25,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,4.0,86.0,4.526315789473684,3.3999999999999995,89.6,4.71578947368421,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,W (+5),W (+5)
8.0,8.0,2022-10-31,28-278,PHI,WAS,0,13.566666666666666,3.0,6.0,.500,0.0,0.0,,1,1.0,1.000,1.0,3.0,4.0,0.0,1.0,2.0,0.0,2.0,7.0,7.2,+8,6.0,3.0,0.5,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,7.0,86.0,4.526315789473684,6.8,101.79999999999998,5.357894736842105,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,W (+7),W (+7)
9.0,9.0,2022-11-02,28-280,PHI,WAS,0,12.4,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,-9,1.0,0.0,0.0,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,0.0,80.0,4.2105263157894735,-1.2,85.2,4.484210526315789,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-10),L (-10)
10.0,10.0,2022-11-04,28-282,PHI,NYK,1,29.08333333333333,4.0,6.0,.667,0.0,0.0,,6,8.0,.750,1.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,14.0,14.4,-4,6.0,4.0,0.6666666666666666,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,9.0,62.0,3.263157894736842,12.000000000000002,63.0,3.3157894736842106,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,L (-2),L (-2)
11.0,,2022-11-07,28-285,PHI,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,40,53,28,54,11,41,42,2,1,2,45,53,44,2,53,51,37,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7142857142857143,0.6883116883116883,0.7567567567567568,0.6923076923076923,0.6875,0.7068965517241379,0.6363636363636364,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.7066666666666667,0.6376811594202898,0.08,0.6973684210526315,0.6891891891891891,0.6166666666666667,5,2,38.0,79.0,80.0,0.0625,0.0526315789473684,0.0,19,,78.0,4.105263157894737,0.0,84.49999999999997,4.44736842105263,17.6,2.2,-1.3,-0.9,-0.4,0.0338696020321761,0.631,0.029,0.483,0.1,1.3,W (+12),W (+12)
