Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,28-216,PHI,BOS,1,37.266666666666666,9.0,18.0,.500,1.0,6.0,.167,7,9.0,.778,1.0,14.0,15.0,5.0,0.0,1.0,6.0,4.0,26.0,17.7,-13,12.0,8.0,0.6666666666666666,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,14.0,64.0,3.555555555555556,14.9,72.8,4.044444444444444,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-9),L (-9)
2.0,2.0,2022-10-20,28-218,PHI,MIL,1,36.15,6.0,21.0,.286,1.0,3.0,.333,2,3.0,.667,1.0,11.0,12.0,3.0,0.0,1.0,4.0,2.0,15.0,4.3,-10,18.0,5.0,0.2777777777777778,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,3.0,78.0,4.333333333333333,3.500000000000001,68.6,3.811111111111111,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-2),L (-2)
3.0,3.0,2022-10-22,28-220,PHI,SAS,1,35.95,14.0,25.0,.560,0.0,2.0,.000,12,15.0,.800,3.0,10.0,13.0,3.0,1.0,2.0,2.0,2.0,40.0,33.7,+6,23.0,14.0,0.6086956521739131,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,17.0,71.0,3.9444444444444446,28.9,57.69999999999997,3.205555555555554,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-9),L (-9)
4.0,4.0,2022-10-24,28-222,PHI,IND,1,28.28333333333333,8.0,13.0,.615,1.0,3.0,.333,9,9.0,1.000,1.0,4.0,5.0,2.0,1.0,3.0,3.0,5.0,26.0,21.5,+8,10.0,7.0,0.7,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,12.0,87.0,4.833333333333333,17.89999999999999,93.5,5.194444444444445,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,W (+14),W (+14)
5.0,5.0,2022-10-26,28-224,PHI,TOR,1,37.516666666666666,12.0,17.0,.706,2.0,4.0,.500,5,7.0,.714,0.0,5.0,5.0,3.0,0.0,0.0,2.0,2.0,31.0,23.9,-5,13.0,10.0,0.7692307692307693,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,13.0,63.0,3.5,21.9,66.7,3.705555555555556,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-10),L (-10)
6.0,,2022-10-28,28-226,PHI,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,,101.0,5.611111111111111,0.0,93.69999999999996,5.205555555555553,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,W (+22),W (+22)
7.0,6.0,2022-10-29,28-227,PHI,CHI,1,31.65,9.0,15.0,.600,1.0,2.0,.500,6,9.0,.667,2.0,5.0,7.0,4.0,1.0,0.0,5.0,4.0,25.0,17.0,+5,13.0,8.0,0.6153846153846154,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,8.0,82.0,4.555555555555555,14.599999999999994,78.4,4.355555555555556,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,W (+5),W (+5)
8.0,,2022-10-31,28-229,PHI,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,,93.0,5.166666666666667,0.0,108.6,6.033333333333333,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,W (+7),W (+7)
9.0,,2022-11-02,28-231,PHI,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,,80.0,4.444444444444445,0.0,84.0,4.666666666666667,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-10),L (-10)
10.0,,2022-11-04,28-233,PHI,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,64,27,64,12,51,1,2,40,42,62,54,2,60,60,50,56.0,77.0,37.0,78.0,16.0,58.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.7678571428571429,0.8311688311688312,0.7297297297297297,0.8205128205128205,0.75,0.8793103448275862,0.0,1.0,1.0,0.5633802816901409,0.0,0.7368421052631579,0.8266666666666667,0.782608695652174,0.08,0.7894736842105263,0.8108108108108109,0.8333333333333334,18,7,38.0,79.0,80.0,0.225,0.1842105263157894,0.0,18,,71.0,3.9444444444444446,0.0,75.0,4.166666666666667,31.4,12.3,9.2,6.8,2.3,0.2310541913632514,0.655,0.151,0.581,6.4,8.4,L (-2),L (-2)
