Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with Joel Embiid,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,33-053,PHI,BOS,1,37.28333333333333,9.0,14.0,.643,5.0,9.0,.556,12,12.0,1.000,0.0,8.0,8.0,7.0,0.0,0.0,3.0,3.0,35.0,31.9,+1,5.0,4.0,0.8,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,21.0,57.0,3.1666666666666665,27.1,60.6,3.3666666666666667,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-9),L (-9)
2.0,2.0,2022-10-20,33-055,PHI,MIL,1,40.333333333333336,13.0,24.0,.542,1.0,7.0,.143,4,4.0,1.000,0.0,8.0,8.0,9.0,2.0,1.0,2.0,2.0,31.0,28.0,+5,17.0,12.0,0.7058823529411765,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,21.0,60.0,3.333333333333333,26.4,45.7,2.538888888888889,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-2),L (-2)
3.0,3.0,2022-10-22,33-057,PHI,SAS,1,40.28333333333333,4.0,18.0,.222,1.0,6.0,.167,3,4.0,.750,4.0,5.0,9.0,12.0,1.0,2.0,2.0,3.0,12.0,12.5,0,12.0,3.0,0.25,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,12.0,76.0,4.222222222222222,11.299999999999994,75.29999999999998,4.183333333333333,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-9),L (-9)
4.0,4.0,2022-10-24,33-059,PHI,IND,1,34.65,10.0,18.0,.556,5.0,10.0,.500,4,4.0,1.000,0.0,9.0,9.0,11.0,2.0,0.0,1.0,2.0,29.0,31.0,+16,8.0,5.0,0.625,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,28.0,71.0,3.9444444444444446,29.4,81.99999999999999,4.5555555555555545,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,W (+14),W (+14)
5.0,5.0,2022-10-26,33-061,PHI,TOR,1,35.65,5.0,12.0,.417,3.0,6.0,.500,5,6.0,.833,0.0,7.0,7.0,9.0,0.0,1.0,3.0,2.0,18.0,16.5,-6,6.0,2.0,0.3333333333333333,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,14.0,62.0,3.4444444444444446,14.500000000000004,74.1,4.116666666666666,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-10),L (-10)
6.0,6.0,2022-10-28,33-063,PHI,TOR,1,33.71666666666667,4.0,9.0,.444,0.0,3.0,.000,3,3.0,1.000,1.0,3.0,4.0,4.0,0.0,2.0,5.0,2.0,11.0,6.3,+3,6.0,4.0,0.6666666666666666,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,4.0,97.0,5.388888888888889,5.099999999999998,88.59999999999998,4.922222222222221,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,W (+22),W (+22)
7.0,7.0,2022-10-29,33-064,PHI,CHI,1,36.0,2.0,13.0,.154,0.0,5.0,.000,11,11.0,1.000,0.0,6.0,6.0,11.0,2.0,0.0,3.0,0.0,15.0,15.2,-3,8.0,2.0,0.25,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,7.0,83.0,4.611111111111111,10.800000000000002,82.19999999999999,4.566666666666666,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,W (+5),W (+5)
8.0,8.0,2022-10-31,33-066,PHI,WAS,1,37.61666666666667,8.0,17.0,.471,2.0,6.0,.333,5,6.0,.833,0.0,7.0,7.0,17.0,2.0,0.0,4.0,2.0,23.0,25.1,+8,11.0,6.0,0.5454545454545454,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,22.0,71.0,3.9444444444444446,23.100000000000005,85.5,4.75,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,W (+7),W (+7)
9.0,9.0,2022-11-02,33-068,PHI,WAS,1,35.06666666666667,8.0,18.0,.444,3.0,8.0,.375,5,6.0,.833,0.0,5.0,5.0,10.0,1.0,0.0,3.0,2.0,24.0,19.9,-9,10.0,5.0,0.5,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,13.0,67.0,3.7222222222222223,17.900000000000002,66.10000000000001,3.672222222222224,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-10),L (-10)
10.0,,2022-11-04,33-070,PHI,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,56,18,55,8,51,1,2,36,41,55,45,2,52,54,47,56.0,77.0,37.0,78.0,16.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6428571428571429,0.7272727272727273,0.4864864864864865,0.7051282051282052,0.5,0.7727272727272727,0.0,1.0,1.0,0.5070422535211268,0.0,0.7192982456140351,0.7333333333333333,0.6521739130434783,0.08,0.6842105263157895,0.7297297297297297,0.7833333333333333,15,5,38.0,79.0,80.0,0.1875,0.131578947368421,0.0,18,,71.0,3.9444444444444446,0.0,75.0,4.166666666666667,21.6,8.4,5.4,5.1,0.3,0.1287044877222692,0.607,0.496,0.429,4.0,5.8,L (-2),L (-2)
