Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,37-186,PHI,,PHO,W (+12),1,29:51,2.0,2.0,1.000,0.0,0.0,,0,0.0,,2.0,6.0,8.0,1.0,0.0,1.0,1.0,1.0,4.0,6.6,+11,2.0,2.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,11.0,67.0,3.526315789473684,6.599999999999998,77.89999999999998,4.099999999999999
11,12,12,2022-11-10,37-189,PHI,@,ATL,L (-9),1,24:03,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,2.2,+1,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,4.0,55.0,2.894736842105264,2.2,60.89999999999999,3.2052631578947364
12,13,13,2022-11-12,37-191,PHI,,ATL,W (+12),1,31:07,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,5.0,6.0,2.0,2.0,0.0,1.0,3.0,2.0,5.1,+18,1.0,1.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,10.0,93.0,4.894736842105263,5.1,101.2,5.326315789473685
13,14,14,2022-11-13,37-192,PHI,,UTA,W (+7),1,29:45,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.2,+13,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,2.0,80.0,4.2105263157894735,0.1999999999999999,94.2,4.957894736842105
14,15,15,2022-11-18,37-197,PHI,,MIL,W (+8),1,32:21,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,3.0,4.0,2.0,1.0,0.0,2.0,4.0,0.0,-0.3,+11,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,4.0,76.0,4.0,-0.3000000000000002,91.19999999999996,4.799999999999998
15,16,16,2022-11-19,37-198,PHI,,MIN,L (-3),1,33:29,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0,-1.7,+9,1.0,0.0,0.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,3.0,63.0,3.3157894736842106,-1.7,70.8,3.7263157894736842
16,17,17,2022-11-22,37-201,PHI,,BRK,W (+9),1,37:04,0.0,6.0,.000,0.0,2.0,.000,0,0.0,,3.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,3.2,+12,4.0,0.0,0.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,5.0,84.0,4.421052631578948,3.2,92.5,4.868421052631579
17,18,18,2022-11-23,37-202,PHI,@,CHO,L (-6),1,33:41,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,2.0,5.0,7.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,-6,1.0,0.0,0.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,7.0,61.0,3.210526315789474,3.0,69.60000000000001,3.6631578947368424
18,19,19,2022-11-25,37-204,PHI,@,ORL,W (+8),1,25:14,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.5,+3,2.0,0.0,0.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,2.0,82.0,4.315789473684211,-0.4999999999999996,96.6,5.084210526315789
19,20,20,2022-11-27,37-206,PHI,@,ORL,W (+30),1,15:48,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,+13,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,3.0,119.0,6.2631578947368425,0.4999999999999998,127.2,6.6947368421052635
