Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,26-022,PHI,@,BOS,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,78.0,4.333333333333333,0.0,87.7,4.872222222222223
1,2,,2022-10-20,26-024,PHI,,MIL,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,81.0,4.5,0.0,72.1,4.0055555555555555
2,3,,2022-10-22,26-026,PHI,,SAS,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,88.0,4.888888888888889,0.0,86.6,4.811111111111111
3,4,1,2022-10-24,26-028,PHI,,IND,W (+14),0,6:13,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,+4,0.0,0.0,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,2.0,97.0,5.388888888888889,0.6,110.79999999999998,6.155555555555555
4,5,,2022-10-26,26-030,PHI,@,TOR,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,76.0,4.222222222222222,0.0,88.60000000000001,4.9222222222222225
5,6,2,2022-10-28,26-032,PHI,@,TOR,W (+22),0,8:50,1.0,4.0,.250,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.1,+7,4.0,1.0,0.25,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,-1.0,102.0,5.666666666666667,-0.1000000000000002,93.79999999999998,5.21111111111111
6,7,3,2022-10-29,26-033,PHI,@,CHI,W (+5),0,6:55,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,6.1,+5,4.0,3.0,0.75,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,85.0,4.722222222222222,6.1,86.89999999999999,4.8277777777777775
7,8,4,2022-10-31,26-035,PHI,@,WAS,W (+7),0,7:29,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.4,+5,1.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,0.0,93.0,5.166666666666667,-1.4,110.0,6.111111111111111
8,9,5,2022-11-02,26-037,PHI,,WAS,L (-10),0,15:22,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,5.0,-0.9,-9,3.0,1.0,0.3333333333333333,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,0.0,80.0,4.444444444444445,-0.9000000000000012,84.9,4.716666666666667
9,10,6,2022-11-04,26-039,PHI,,NYK,L (-2),0,17:28,3.0,7.0,.429,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,6.0,2.4,+3,5.0,3.0,0.6,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,3.0,68.0,3.7777777777777777,2.400000000000001,72.6,4.033333333333333
