Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-07,21-025,BRK,@,DAL,L (-2),0,29:42,5.0,13.0,.385,2.0,4.0,.500,7,9.0,.778,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,19.0,13.4,-7,9.0,3.0,0.3333333333333333,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,1.0,97.0,4.041666666666667,10.599999999999998,101.8,4.241666666666666
11,12,7,2022-11-09,21-027,BRK,,NYK,W (+27),0,22:05,3.0,8.0,.375,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.9,-8,7.0,3.0,0.4285714285714285,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,1.0,106.0,4.416666666666667,1.9000000000000004,103.49999999999996,4.312499999999998
12,13,8,2022-11-12,21-030,BRK,@,LAC,W (+15),0,25:03,1.0,6.0,.167,0.0,1.0,.000,2,2.0,1.000,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,1.1,+2,5.0,1.0,0.2,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,0.0,90.0,3.75,0.3000000000000007,108.4,4.516666666666667
13,14,9,2022-11-13,21-031,BRK,@,LAL,L (-13),0,22:34,4.0,9.0,.444,0.0,2.0,.000,7,9.0,.778,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,15.0,11.4,+8,7.0,4.0,0.5714285714285714,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,2.0,78.0,3.25,8.599999999999998,84.89999999999999,3.5374999999999996
14,15,10,2022-11-15,21-033,BRK,@,SAC,L (-32),0,20:41,4.0,8.0,.500,1.0,2.0,.500,3,4.0,.750,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,12.0,9.3,+14,6.0,3.0,0.5,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,4.0,80.0,3.333333333333333,8.099999999999998,95.2,3.966666666666667
15,16,11,2022-11-17,21-035,BRK,@,POR,W (+2),0,7:10,0.0,3.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1,-7,3.0,0.0,0.0,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,-4.0,95.0,3.9583333333333335,-3.1,87.69999999999997,3.6541666666666655
16,17,12,2022-11-20,21-038,BRK,,MEM,W (+12),0,4:14,0.0,1.0,.000,0.0,0.0,,0,2.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6,-9,1.0,0.0,0.0,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,-2.0,120.0,5.0,-1.6,119.2,4.966666666666667
17,18,13,2022-11-22,21-040,BRK,@,PHI,L (-9),0,3:08,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,+5,0.0,0.0,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,2.0,78.0,3.25,1.0,84.8,3.533333333333333
18,19,14,2022-11-23,21-041,BRK,@,TOR,W (+14),0,17:21,2.0,5.0,.400,0.0,1.0,.000,1,2.0,.500,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,2.4,-3,4.0,2.0,0.5,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,2.0,98.0,4.083333333333333,2.0,111.20000000000002,4.633333333333334
19,20,,2022-11-25,21-043,BRK,@,IND,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,77.0,3.208333333333333,0.0,77.6,3.233333333333333
