Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Blake Griffin,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Cam Thomas,Shared Games with Day'Ron Sharpe,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Shared Games with Cameron Johnson,Shared Games with Dorian Finney-Smith,Shared Games with Mikal Bridges,Shared Games with Spencer Dinwiddie,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Dru Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,co_inf with Cameron Johnson,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Nerlens Noel,co_inf with RaiQuan Gray,co_inf with Spencer Dinwiddie,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-20,23-007,LAC,@,LAL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,91.0,1.9361702127659568,0.0,88.19999999999999,1.8765957446808508
1,2,,2022-10-22,23-009,LAC,@,SAC,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,76.0,1.6170212765957446,0.0,75.89999999999999,1.6148936170212764
2,3,1,2022-10-23,23-010,LAC,,PHO,L (-17),0,2:53,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-2,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,1.0,72.0,1.5319148936170213,1.2999999999999998,71.9,1.5297872340425533
3,4,2,2022-10-25,23-012,LAC,@,OKC,L (-14),0,2:39,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,+2,1.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,2.0,62.0,1.319148936170213,0.5999999999999999,64.1,1.3638297872340424
4,5,3,2022-10-27,23-014,LAC,@,OKC,L (-8),0,1:47,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,+6,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,1.0,81.0,1.7234042553191489,2.6,93.3,1.9851063829787234
5,6,4,2022-10-30,23-017,LAC,,NOP,L (-21),0,4:31,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,0.0,97.0,2.0638297872340425,0.0,95.0,2.021276595744681
6,7,,2022-10-31,23-018,LAC,,HOU,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,88.0,1.872340425531915,0.0,105.10000000000002,2.2361702127659577
7,8,5,2022-11-02,23-020,LAC,@,HOU,W (+8),0,12:12,6.0,8.0,.750,0.0,0.0,,1,3.0,.333,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,13.0,11.8,+6,8.0,6.0,0.75,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,10.0,73.0,1.553191489361702,11.4,82.79999999999998,1.7617021276595741
8,9,,2022-11-04,23-022,LAC,@,SAS,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,102.0,2.1702127659574466,0.0,110.6,2.353191489361702
9,10,,2022-11-06,23-024,LAC,,UTA,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,82.0,1.74468085106383,0.0,95.5,2.0319148936170213
