Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Kessler Edwards,Shared Games with Markieff Morris,Shared Games with Patty Mills,Shared Games with Yuta Watanabe,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Nerlens Noel,co_inf with Payton Pritchard,co_inf with Spencer Dinwiddie,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-122,BRK,,NOP,L (-22),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,91.0,11.375,0.0,88.19999999999999,11.024999999999999
1,2,,2022-10-21,23-124,BRK,,TOR,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,76.0,9.5,0.0,75.89999999999999,9.487499999999999
2,3,,2022-10-24,23-127,BRK,@,MEM,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,73.0,9.125,0.0,73.19999999999999,9.149999999999999
3,4,,2022-10-26,23-129,BRK,@,MIL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,64.0,8.0,0.0,64.69999999999999,8.087499999999999
4,5,,2022-10-27,23-130,BRK,,DAL,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,82.0,10.25,0.0,95.9,11.9875
5,6,,2022-10-29,23-132,BRK,,IND,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,97.0,12.125,0.0,95.0,11.875
6,7,,2022-10-31,23-134,BRK,,IND,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,88.0,11.0,0.0,105.10000000000002,13.137500000000003
7,8,,2022-11-01,23-135,BRK,,CHI,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,83.0,10.375,0.0,94.19999999999996,11.774999999999995
8,9,,2022-11-04,23-138,BRK,@,WAS,W (+42),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,102.0,12.75,0.0,110.6,13.825
9,10,,2022-11-05,23-139,BRK,@,CHO,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,82.0,10.25,0.0,95.5,11.9375
