Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,29-136,BRK,,NOP,L (-22),1,34:09,4.0,7.0,.571,2.0,3.0,.667,0,0.0,,1.0,6.0,7.0,3.0,3.0,2.0,0.0,4.0,10.0,14.1,-27,4.0,2.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,18.0,73.0,3.1739130434782608,14.099999999999996,74.1,3.2217391304347824
1,2,2,2022-10-21,29-138,BRK,,TOR,W (+4),1,39:18,2.0,7.0,.286,1.0,4.0,.250,2,2.0,1.000,0.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,7.0,6.8,-5,3.0,1.0,0.3333333333333333,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,7.0,69.0,3.0,6.0,69.89999999999999,3.0391304347826082
2,3,3,2022-10-24,29-141,BRK,@,MEM,L (-10),1,35:43,3.0,12.0,.250,2.0,7.0,.286,0,0.0,,1.0,2.0,3.0,4.0,1.0,2.0,0.0,3.0,8.0,6.1,-9,5.0,1.0,0.2,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,6.0,67.0,2.9130434782608696,6.099999999999999,67.1,2.917391304347826
3,4,4,2022-10-26,29-143,BRK,@,MIL,L (-11),1,37:03,4.0,13.0,.308,4.0,9.0,.444,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,12.0,2.9,-3,4.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,-1.0,65.0,2.8260869565217392,2.9000000000000004,61.79999999999999,2.68695652173913
4,5,5,2022-10-27,29-144,BRK,,DAL,L (-4),1,40:45,4.0,11.0,.364,2.0,8.0,.250,0,0.0,,1.0,6.0,7.0,1.0,1.0,0.0,2.0,5.0,10.0,4.1,+11,3.0,2.0,0.6666666666666666,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,6.0,76.0,3.3043478260869565,4.099999999999998,91.8,3.991304347826087
5,6,6,2022-10-29,29-146,BRK,,IND,L (-9),1,37:47,4.0,7.0,.571,3.0,6.0,.500,0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,11.0,9.9,-12,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,10.0,87.0,3.782608695652174,9.9,85.1,3.6999999999999997
6,7,7,2022-10-31,29-148,BRK,,IND,W (+7),1,36:49,3.0,9.0,.333,2.0,6.0,.333,0,0.0,,2.0,6.0,8.0,5.0,1.0,1.0,2.0,4.0,8.0,7.7,+12,3.0,1.0,0.3333333333333333,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,12.0,76.0,3.3043478260869565,7.699999999999997,97.4,4.234782608695652
7,8,8,2022-11-01,29-149,BRK,,CHI,L (-9),1,33:42,8.0,12.0,.667,4.0,6.0,.667,0,0.0,,2.0,3.0,5.0,3.0,1.0,0.0,1.0,3.0,20.0,18.0,-11,6.0,4.0,0.6666666666666666,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,16.0,67.0,2.9130434782608696,17.999999999999996,76.2,3.3130434782608695
8,9,9,2022-11-04,29-152,BRK,@,WAS,W (+42),1,28:47,5.0,9.0,.556,3.0,5.0,.600,0,0.0,,1.0,2.0,3.0,8.0,1.0,0.0,0.0,3.0,13.0,15.4,+22,4.0,2.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,16.0,86.0,3.739130434782609,15.4,95.2,4.139130434782609
9,10,10,2022-11-05,29-153,BRK,@,CHO,W (+4),1,38:05,1.0,9.0,.111,1.0,5.0,.200,3,4.0,.750,1.0,3.0,4.0,5.0,0.0,0.0,0.0,3.0,6.0,3.6,+2,4.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,2.0,80.0,3.4782608695652173,2.4,93.10000000000002,4.047826086956523
10,11,11,2022-11-07,29-155,BRK,@,DAL,L (-2),1,40:57,5.0,12.0,.417,4.0,8.0,.500,1,2.0,.500,2.0,2.0,4.0,8.0,2.0,2.0,3.0,3.0,15.0,15.0,0,4.0,1.0,0.25,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,14.0,84.0,3.652173913043478,14.6,97.8,4.252173913043478
