Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,28-006,BRK,,NOP,L (-22),0,8:35,0.0,1.0,.000,0.0,1.0,.000,0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,+2,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,-3.0,94.0,3.9166666666666665,-1.5,89.69999999999999,3.7374999999999994
1,2,,2022-10-21,28-008,BRK,,TOR,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,76.0,3.1666666666666665,0.0,75.89999999999999,3.1624999999999996
2,3,2,2022-10-24,28-011,BRK,@,MEM,L (-10),0,6:06,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,-1.0,74.0,3.083333333333333,-1.1,74.29999999999998,3.0958333333333328
3,4,3,2022-10-26,28-013,BRK,@,MIL,L (-11),0,7:36,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.7,+12,1.0,1.0,1.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,4.0,60.0,2.5,4.699999999999999,59.99999999999999,2.4999999999999996
4,5,4,2022-10-27,28-014,BRK,,DAL,L (-4),0,22:29,2.0,3.0,.667,2.0,2.0,1.000,0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,0.0,5.0,6.0,6.0,+4,1.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,10.0,72.0,3.0,6.0,89.9,3.7458333333333336
5,6,5,2022-10-29,28-016,BRK,,IND,L (-9),0,12:54,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,2.9,-3,1.0,1.0,1.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,3.0,94.0,3.9166666666666665,2.9,92.1,3.8375
6,7,6,2022-10-31,28-018,BRK,,IND,W (+7),0,22:28,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,2.2,-16,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,2.0,86.0,3.583333333333333,2.2,102.9,4.2875000000000005
7,8,7,2022-11-01,28-019,BRK,,CHI,L (-9),0,27:48,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,10.0,10.8,-12,3.0,2.0,0.6666666666666666,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,10.0,73.0,3.0416666666666665,10.8,83.39999999999999,3.4749999999999996
8,9,8,2022-11-04,28-022,BRK,@,WAS,W (+42),0,24:02,6.0,8.0,.750,2.0,3.0,.667,0,0.0,,3.0,5.0,8.0,0.0,1.0,2.0,1.0,0.0,14.0,15.8,+21,5.0,4.0,0.8,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,16.0,86.0,3.583333333333333,15.799999999999995,94.8,3.9499999999999997
9,10,9,2022-11-05,28-023,BRK,@,CHO,W (+4),0,23:12,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,8.0,9.9,+10,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,11.0,71.0,2.958333333333333,9.9,85.60000000000002,3.5666666666666678
