,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,37,37,2022-01-03,30-167,DAL,,DEN,W (+14),1,26:38,5,6,.833,1,1,1.000,4,4,1.000,1,2,3,0,1,0,0,1,15,14.7,+15
38,38,38,2022-01-05,30-169,DAL,,GSW,W (+17),1,19:42,2,3,.667,0,0,,4,5,.800,4,2,6,1,2,0,0,3,8,11.2,+6
39,39,39,2022-01-07,30-171,DAL,@,HOU,W (+24),1,18:28,6,8,.750,0,0,,3,5,.600,3,2,5,1,0,1,1,2,15,13.3,+15
40,40,40,2022-01-09,30-173,DAL,,CHI,W (+14),1,25:24,3,5,.600,0,1,.000,4,4,1.000,1,3,4,2,0,0,0,1,10,10.3,+16
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2022-01-12,30-176,DAL,@,NYK,L (-23),1,16:49,2,2,1.000,0,0,,0,1,.000,1,1,2,0,0,1,2,2,4,1.9,-20
43,42,42,2022-01-14,30-178,DAL,@,MEM,W (+27),1,32:24,6,6,1.000,0,0,,1,3,.333,0,5,5,3,0,0,0,1,13,13.6,+18
44,43,43,2022-01-15,30-179,DAL,,ORL,W (+16),0,13:27,1,1,1.000,0,0,,4,4,1.000,2,3,5,1,0,0,0,3,6,7.5,+2
45,44,44,2022-01-17,30-181,DAL,,OKC,W (+2),0,20:07,3,3,1.000,0,0,,4,4,1.000,3,1,4,1,0,0,0,1,10,11.8,-1
46,45,45,2022-01-19,30-183,DAL,,TOR,W (+4),0,17:12,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,0,3,2,2.9,0
47,46,46,2022-01-20,30-184,DAL,,PHO,L (-8),0,14:21,2,3,.667,0,0,,2,3,.667,2,1,3,0,0,0,1,1,6,4.6,-2
48,47,47,2022-01-23,30-187,DAL,,MEM,W (+13),0,20:35,2,4,.500,0,0,,2,2,1.000,2,3,5,0,0,0,1,5,6,3.3,-5
49,48,48,2022-01-25,30-189,DAL,@,GSW,L (-38),0,4:27,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-1.4,-7
50,49,49,2022-01-26,30-190,DAL,@,POR,W (+20),0,18:29,5,5,1.000,0,0,,5,6,.833,2,3,5,0,2,1,0,4,15,16.5,+23
51,50,50,2022-01-29,30-193,DAL,,IND,W (+27),0,20:12,5,9,.556,0,1,.000,0,0,,1,2,3,0,2,2,0,2,10,9.6,+13
52,51,51,2022-01-30,30-194,DAL,@,ORL,L (-2),1,21:50,2,2,1.000,0,0,,4,4,1.000,1,2,3,1,1,0,3,4,8,5.8,-1
53,52,52,2022-02-02,30-197,DAL,,OKC,L (-6),1,12:33,1,2,.500,0,0,,2,2,1.000,1,0,1,2,0,1,1,4,4,3.2,-1
