,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,31,,2021-12-23,29-282,DAL,,MIL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,32,,2021-12-25,29-284,DAL,@,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,33,,2021-12-27,29-286,DAL,@,POR,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,34,,2021-12-29,29-288,DAL,@,SAC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,35,,2021-12-31,29-290,DAL,@,SAC,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,36,30,2022-01-02,29-292,DAL,@,OKC,W (+9),0,23:57,5,11,.455,2,7,.286,3,3,1.000,1,2,3,3,0,0,2,1,15,10.3,+11
37,37,31,2022-01-03,29-293,DAL,,DEN,W (+14),0,21:57,2,8,.250,1,4,.250,1,1,1.000,1,2,3,0,1,1,1,0,6,3.2,-7
38,38,32,2022-01-05,29-295,DAL,,GSW,W (+17),0,25:27,6,14,.429,2,6,.333,0,0,,0,3,3,1,1,1,1,1,14,8.5,+18
39,39,33,2022-01-07,29-297,DAL,@,HOU,W (+24),0,24:07,5,11,.455,5,10,.500,4,7,.571,0,4,4,7,0,0,0,1,19,17.8,+10
40,40,34,2022-01-09,29-299,DAL,,CHI,W (+14),0,27:58,4,10,.400,1,5,.200,0,0,,0,6,6,1,3,0,1,1,9,7.7,+8
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,35,2022-01-12,29-302,DAL,@,NYK,L (-23),0,29:01,5,11,.455,1,7,.143,2,2,1.000,0,1,1,3,2,0,0,4,13,10.1,-4
43,42,36,2022-01-14,29-304,DAL,@,MEM,W (+27),0,25:47,5,14,.357,3,9,.333,3,4,.750,0,2,2,2,1,0,0,2,16,10.0,+19
44,43,37,2022-01-15,29-305,DAL,,ORL,W (+16),0,23:07,4,13,.308,3,9,.333,6,7,.857,0,2,2,0,0,0,2,2,17,6.9,+6
45,44,38,2022-01-17,29-307,DAL,,OKC,W (+2),0,33:14,4,14,.286,3,7,.429,1,2,.500,0,5,5,2,1,0,2,0,12,5.3,0
46,45,39,2022-01-19,29-309,DAL,,TOR,W (+4),0,26:56,7,10,.700,2,5,.400,0,0,,0,2,2,1,0,0,3,2,16,9.3,-1
47,46,40,2022-01-20,29-310,DAL,,PHO,L (-8),0,28:17,4,10,.400,3,7,.429,0,0,,0,5,5,1,0,0,0,3,11,6.6,-6
48,47,41,2022-01-23,29-313,DAL,,MEM,W (+13),0,26:01,3,8,.375,2,5,.400,1,2,.500,0,4,4,0,0,0,3,2,9,1.6,+7
49,48,42,2022-01-25,29-315,DAL,@,GSW,L (-38),0,10:14,2,5,.400,1,3,.333,5,5,1.000,0,0,0,1,0,0,0,0,10,8.0,-4
