,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2021-12-11,25-196,CHI,@,MIA,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,2,1,2021-12-25,25-210,LAL,,BRK,L (-7),0,27:24,2,4,.500,1,3,.333,2,2,1.000,0,1,1,1,1,0,0,5,7,5.0,+6
2,3,2,2021-12-28,25-213,LAL,@,HOU,W (+9),1,31:54,3,8,.375,0,4,.000,3,3,1.000,0,5,5,2,1,0,0,5,9,6.5,-7
3,4,3,2021-12-29,25-214,LAL,@,MEM,L (-5),0,22:32,3,5,.600,1,3,.333,0,0,,0,3,3,0,1,2,2,3,7,4.8,-18
4,5,4,2021-12-31,25-216,LAL,,POR,W (+33),1,23:04,3,4,.750,2,3,.667,2,2,1.000,0,3,3,2,0,0,0,6,10,8.3,+25
5,6,5,2022-01-02,25-218,LAL,,MIN,W (+5),1,20:41,0,3,.000,0,3,.000,1,2,.500,1,1,2,2,2,0,0,3,1,1.7,-1
6,7,6,2022-01-07,25-223,LAL,,ATL,W (+16),1,19:33,1,2,.500,0,1,.000,1,1,1.000,1,1,2,2,2,1,1,3,3,4.9,+4
7,8,7,2022-01-09,25-225,LAL,,MEM,L (-8),1,13:13,1,4,.250,0,1,.000,0,0,,1,2,3,0,1,0,0,3,2,0.7,-11
8,9,8,2022-01-12,25-228,LAL,@,SAC,L (-9),0,11:39,3,5,.600,2,3,.667,0,0,,0,0,0,1,0,0,1,1,8,5.0,+3
9,10,9,2022-01-15,25-231,LAL,@,DEN,L (-37),0,13:13,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.8,-14
10,11,10,2022-01-17,25-233,LAL,,UTA,W (+6),0,24:32,7,9,.778,1,2,.500,0,1,.000,1,4,5,3,1,1,1,5,15,13.8,+18
11,12,11,2022-01-19,25-235,LAL,,IND,L (-7),0,16:26,1,3,.333,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,2,4,3.9,+2
12,13,12,2022-01-21,25-237,LAL,@,ORL,W (+11),0,21:34,3,5,.600,3,4,.750,2,4,.500,1,4,5,2,1,1,2,0,11,10.9,+9
13,14,13,2022-01-23,25-239,LAL,@,MIA,L (-6),0,22:30,2,3,.667,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,2,7,5.5,-4
14,15,14,2022-01-25,25-241,LAL,@,BRK,W (+10),1,28:50,2,5,.400,0,1,.000,0,0,,0,2,2,1,1,0,0,2,4,2.8,+10
15,16,15,2022-01-27,25-243,LAL,@,PHI,L (-18),1,25:04,1,6,.167,0,3,.000,0,0,,1,6,7,2,1,3,1,2,2,3.4,-2
16,17,16,2022-01-28,25-244,LAL,@,CHO,L (-3),1,27:45,2,7,.286,0,2,.000,0,0,,2,3,5,2,0,0,0,3,4,2.4,-13
17,18,17,2022-01-30,25-246,LAL,@,ATL,L (-8),1,29:13,4,6,.667,2,3,.667,0,1,.000,2,1,3,2,0,0,0,2,10,9.3,+5
18,19,18,2022-02-02,25-249,LAL,,POR,W (+5),1,17:15,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,1,0,1,2,3,-0.3,-5
19,20,19,2022-02-03,25-250,LAL,@,LAC,L (-1),1,22:36,1,3,.333,0,1,.000,0,0,,0,3,3,0,2,1,1,2,2,2.1,-9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,20,2022-02-05,25-252,LAL,,NYK,W (+7),1,22:11,4,7,.571,1,2,.500,0,0,,1,4,5,2,1,0,1,4,9,7.4,-5
22,22,21,2022-02-08,25-255,LAL,,MIL,L (-15),0,25:40,7,13,.538,1,4,.250,1,3,.333,3,3,6,1,0,0,1,5,16,9.6,+4
23,23,22,2022-02-09,25-256,LAL,@,POR,L (-2),0,25:40,3,5,.600,1,2,.500,4,6,.667,0,6,6,1,1,1,1,3,11,9.9,-5
24,24,23,2022-02-12,25-259,LAL,@,GSW,L (-2),1,16:17,2,4,.500,0,0,,0,0,,1,0,1,1,0,0,0,2,4,2.6,-5
25,25,24,2022-02-16,25-263,LAL,,UTA,W (+5),1,19:03,2,6,.333,0,1,.000,0,0,,0,2,2,4,0,0,0,1,4,3.6,0
26,26,25,2022-02-25,25-272,LAL,,LAC,L (-3),0,13:40,0,2,.000,0,0,,0,0,,0,2,2,2,0,0,0,0,0,0.6,-2
27,27,26,2022-02-27,25-274,LAL,,NOP,L (-28),0,12:10,1,2,.500,0,1,.000,2,2,1.000,0,1,1,2,0,0,0,0,4,4.7,-5
28,28,27,2022-03-01,25-276,LAL,,DAL,L (-5),1,22:16,4,6,.667,3,4,.750,0,0,,0,2,2,0,0,1,1,3,11,7.5,-4
29,29,28,2022-03-03,25-278,LAL,@,LAC,L (-21),0,19:48,3,5,.600,0,2,.000,2,2,1.000,0,2,2,2,2,0,2,3,8,6.5,-5
30,30,29,2022-03-05,25-280,LAL,,GSW,W (+8),1,26:14,2,7,.286,0,3,.000,0,0,,4,2,6,4,2,1,1,0,4,7.8,-4
31,31,30,2022-03-07,25-282,LAL,@,SAS,L (-7),0,30:29,3,8,.375,1,2,.500,0,0,,1,2,3,3,3,0,1,1,7,7.6,-6
32,32,31,2022-03-09,25-284,LAL,@,HOU,L (-9),1,24:44,2,3,.667,1,1,1.000,0,2,.000,0,2,2,1,3,0,1,3,5,5.0,+7
33,33,32,2022-03-11,25-286,LAL,,WAS,W (+13),1,27:26,3,5,.600,1,3,.333,0,0,,2,4,6,0,2,0,0,2,7,8.5,+20
34,34,33,2022-03-13,25-288,LAL,@,PHO,L (-29),1,10:52,0,2,.000,0,1,.000,2,2,1.000,0,3,3,1,0,0,0,2,2,1.4,-20
35,35,34,2022-03-14,25-289,LAL,,TOR,L (-11),1,15:27,0,1,.000,0,1,.000,2,2,1.000,0,3,3,1,0,1,1,1,2,2.2,-7
36,36,35,2022-03-16,25-291,LAL,@,MIN,L (-20),0,7:07,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,3.0,+2
37,37,36,2022-03-18,25-293,LAL,@,TOR,W (+5),0,30:05,2,9,.222,0,2,.000,0,0,,1,2,3,5,2,0,1,1,4,3.9,+6
38,38,37,2022-03-19,25-294,LAL,@,WAS,L (-8),1,25:25,5,9,.556,0,2,.000,2,2,1.000,0,4,4,3,1,0,0,2,12,11.2,-3
39,39,38,2022-03-21,25-296,LAL,@,CLE,W (+11),0,23:04,5,8,.625,2,4,.500,0,0,,1,2,3,1,3,0,0,2,12,12.6,+15
40,40,39,2022-03-23,25-298,LAL,,PHI,L (-5),1,35:06,5,7,.714,3,3,1.000,0,0,,1,4,5,8,0,0,1,3,13,15.4,-6
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,40,2022-03-27,25-302,LAL,@,NOP,L (-8),0,19:07,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,3,0,0.1,-11
43,42,41,2022-03-29,25-304,LAL,@,DAL,L (-18),1,34:59,6,10,.600,1,4,.250,3,3,1.000,3,2,5,3,1,1,0,1,16,17.5,+1
