,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9,10,,2021-11-07,29-021,WAS,,MIL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,11,,2021-11-10,29-024,WAS,@,CLE,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,12,1,2021-11-13,29-027,WAS,@,ORL,W (+12),0,9:44,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,0,0,2,3.1,+14
12,13,2,2021-11-15,29-029,WAS,,NOP,W (+5),0,4:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
13,14,3,2021-11-17,29-031,WAS,@,CHO,L (-10),0,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3
14,15,4,2021-11-18,29-032,WAS,@,MIA,L (-15),0,8:49,1,3,.333,0,0,,0,0,,1,1,2,1,0,1,0,2,2,1.9,-9
15,16,,2021-11-20,29-034,WAS,,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,17,,2021-11-22,29-036,WAS,,CHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,18,5,2021-11-24,29-038,WAS,@,NOP,L (-25),0,6:26,3,4,.750,2,2,1.000,0,0,,1,3,4,0,0,1,1,1,8,7.3,+3
18,19,,2021-11-26,29-040,WAS,@,OKC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,20,,2021-11-27,29-041,WAS,@,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,6,2021-11-29,29-043,WAS,@,SAS,L (-17),0,1:46,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-1
22,22,,2021-12-01,29-045,WAS,,MIN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,23,7,2021-12-03,29-047,WAS,,CLE,L (-15),0,5:14,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+3
24,24,8,2021-12-05,29-049,WAS,@,TOR,L (-12),0,3:37,1,1,1.000,0,0,,3,4,.750,0,3,3,0,0,0,0,0,5,5.2,+4
25,25,9,2021-12-06,29-050,WAS,@,IND,L (-6),0,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+8
26,26,10,2021-12-08,29-052,WAS,@,DET,W (+3),0,8:17,1,1,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,1,2,4,3.6,+11
27,27,11,2021-12-11,29-055,WAS,,UTA,L (-25),0,2:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5
28,28,,2021-12-13,29-057,WAS,@,DEN,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,29,,2021-12-15,29-059,WAS,@,SAC,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,30,12,2021-12-16,29-060,WAS,@,PHO,L (-20),0,8:29,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.9,+2
31,31,,2021-12-18,29-062,WAS,@,UTA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
