,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,30,,2021-12-17,30-315,ORL,,MIA,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,31,,2021-12-18,30-316,ORL,@,BRK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,32,,2021-12-22,30-320,ORL,@,ATL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,33,,2021-12-23,30-321,ORL,,NOP,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,34,,2021-12-26,30-324,ORL,@,MIA,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,35,,2021-12-28,30-326,ORL,,MIL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,36,,2021-12-30,30-328,ORL,,MIL,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,37,29,2022-01-02,30-331,ORL,@,BOS,L (-5),0,35:26,11,19,.579,4,8,.500,7,7,1.000,1,4,5,0,3,0,1,0,33,28.0,-3
38,38,30,2022-01-03,30-332,ORL,@,CHI,L (-4),0,29:12,5,17,.294,1,4,.250,4,4,1.000,0,4,4,4,0,0,1,2,15,7.3,-7
39,39,31,2022-01-05,30-334,ORL,,PHI,L (-10),0,26:43,8,16,.500,2,6,.333,0,0,,1,7,8,2,0,0,2,3,18,11.0,-12
40,40,32,2022-01-08,30-337,ORL,@,DET,L (-5),0,31:06,3,10,.300,1,4,.250,6,6,1.000,1,4,5,2,0,1,1,3,13,9.0,+1
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,33,2022-01-09,30-338,ORL,,WAS,L (-2),0,30:42,13,20,.650,2,4,.500,4,5,.800,0,2,2,2,1,0,1,2,32,24.0,+11
43,42,34,2022-01-12,30-341,ORL,@,WAS,L (-6),0,34:12,6,15,.400,3,6,.500,2,3,.667,0,4,4,3,0,2,1,3,17,11.0,+11
44,43,35,2022-01-14,30-343,ORL,@,CHO,W (+7),0,26:43,4,11,.364,2,7,.286,0,0,,0,3,3,3,0,0,2,2,10,4.1,+1
45,44,36,2022-01-15,30-344,ORL,@,DAL,L (-16),0,22:31,0,1,.000,0,0,,1,1,1.000,0,3,3,0,0,0,0,0,1,1.2,-9
46,45,37,2022-01-17,30-346,ORL,,POR,L (-10),0,20:49,1,4,.250,1,2,.500,1,2,.500,1,2,3,2,0,0,0,0,4,3.9,+4
47,46,38,2022-01-19,30-348,ORL,@,PHI,L (-13),0,10:54,0,4,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-0.8,+1
48,47,39,2022-01-21,30-350,ORL,,LAL,L (-11),0,8:54,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,1,1,2,-0.1,+10
49,48,,2022-01-23,30-352,ORL,,CHI,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,49,40,2022-01-26,30-355,ORL,,LAC,L (-9),0,16:42,3,9,.333,0,3,.000,1,1,1.000,0,5,5,0,0,1,1,0,7,3.1,-3
51,50,41,2022-01-28,30-357,ORL,,DET,W (+16),0,24:10,7,11,.636,4,6,.667,3,3,1.000,0,3,3,2,0,1,1,2,21,17.3,+9
52,51,42,2022-01-30,30-359,ORL,,DAL,W (+2),0,20:53,1,5,.200,1,3,.333,1,1,1.000,0,2,2,4,0,0,4,0,4,0.3,+2
53,52,43,2022-02-01,30-361,ORL,@,CHI,L (-11),0,19:32,2,7,.286,1,6,.167,0,0,,0,0,0,4,0,0,1,2,5,1.9,-11
54,53,44,2022-02-02,30-362,ORL,@,IND,W (+1),0,19:26,2,4,.500,1,2,.500,0,0,,0,3,3,1,0,0,0,0,5,4.6,+13
55,54,45,2022-02-05,31-000,ORL,,MEM,L (-20),0,10:44,2,5,.400,0,2,.000,0,0,,1,0,1,0,0,0,1,0,4,1.0,-16
56,55,46,2022-02-06,31-001,ORL,,BOS,L (-33),0,18:37,2,5,.400,1,2,.500,1,1,1.000,0,0,0,0,0,0,1,0,6,2.3,-20
57,56,47,2022-02-08,31-003,ORL,@,POR,W (+18),0,28:32,1,5,.200,0,3,.000,0,0,,0,3,3,3,3,1,1,0,2,4.6,+14
58,57,48,2022-02-11,31-006,ORL,@,UTA,L (-15),0,24:52,4,9,.444,3,7,.429,0,0,,0,2,2,3,0,0,1,0,11,8.0,-3
59,58,49,2022-02-12,31-007,ORL,@,PHO,L (-27),0,21:25,5,10,.500,3,5,.600,0,0,,0,1,1,1,0,0,1,0,13,8.0,-8
60,59,50,2022-02-14,31-009,ORL,@,DEN,L (-10),0,19:51,0,0,,0,0,,1,2,.500,0,2,2,1,0,0,1,2,1,0.1,-15
61,60,51,2022-02-16,31-011,ORL,,ATL,L (-21),0,17:13,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,0,0,1,4,0.5,-8
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,52,2022-02-25,31-020,ORL,,HOU,W (+8),0,20:41,5,12,.417,0,4,.000,0,0,,1,5,6,1,0,0,0,1,10,6.1,+1
64,62,53,2022-02-28,31-023,ORL,,IND,W (+16),0,14:07,1,5,.200,0,2,.000,0,0,,1,1,2,1,1,0,0,0,2,1.6,-6
65,63,54,2022-03-02,31-025,ORL,,IND,L (-8),0,16:13,2,6,.333,2,5,.400,0,0,,1,1,2,1,1,0,1,3,6,3.1,-9
66,64,,2022-03-04,31-027,ORL,@,TOR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,65,55,2022-03-05,31-028,ORL,@,MEM,L (-28),0,19:01,2,5,.400,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,0,5,2.9,-16
68,66,56,2022-03-08,31-031,ORL,,PHO,L (-3),0,19:51,2,10,.200,1,6,.167,4,5,.800,1,2,3,1,0,0,0,1,9,4.0,+3
69,67,57,2022-03-09,31-032,ORL,@,NOP,W (+6),0,21:50,5,13,.385,2,9,.222,2,2,1.000,0,4,4,4,0,0,3,1,14,7.5,0
